Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MINAS DE SÃO DOMINGOS,01/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,02/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,03/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,04/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,05/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,06/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,07/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,08/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,09/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,10/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,11/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,12/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,13/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,14/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,15/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,16/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,17/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,18/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,19/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,20/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,21/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,22/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,23/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,24/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,25/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,26/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,27/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,28/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,29/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,30/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,31/05/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,01/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,02/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,03/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,04/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,05/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,06/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,07/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,08/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,09/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,10/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,11/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,12/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,13/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,14/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,15/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,16/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,17/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,18/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,19/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,20/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,21/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,22/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,23/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,24/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,25/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,26/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,27/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,28/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,29/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,30/06/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,01/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,02/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,03/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,04/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,05/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,06/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,07/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,08/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,09/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,10/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,11/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,12/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,13/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,14/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,15/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,16/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,17/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,18/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,19/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,20/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,21/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,22/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,23/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,24/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,25/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,26/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,27/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,28/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,29/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,30/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,31/07/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,01/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,02/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,03/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,04/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,05/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,06/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,07/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,08/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,09/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,10/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,11/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,12/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,13/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,14/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,15/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,16/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,17/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,18/08/1985 09:00,,,,,
MINAS DE SÃO DOMINGOS,19/08/1985 09:00,,,,,
