Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MOINHOLA,01/05/1985 09:00,,0.0,19.0,,Évora
MOINHOLA,02/05/1985 09:00,,0.5,16.85,,Évora
MOINHOLA,03/05/1985 09:00,,0.6,15.75,,Évora
MOINHOLA,04/05/1985 09:00,,0.0,17.6,,Évora
MOINHOLA,05/05/1985 09:00,,0.6,13.5,,Évora
MOINHOLA,06/05/1985 09:00,,0.6,10.25,,Évora
MOINHOLA,07/05/1985 09:00,,4.2,10.5,,Évora
MOINHOLA,08/05/1985 09:00,,0.0,12.5,,Évora
MOINHOLA,09/05/1985 09:00,,0.0,14.75,,Évora
MOINHOLA,10/05/1985 09:00,,0.0,15.0,,Évora
MOINHOLA,11/05/1985 09:00,,0.0,13.85,,Évora
MOINHOLA,12/05/1985 09:00,,0.0,13.1,,Évora
MOINHOLA,13/05/1985 09:00,,0.0,13.1,,Évora
MOINHOLA,14/05/1985 09:00,,0.0,12.6,,Évora
MOINHOLA,15/05/1985 09:00,,0.0,13.35,,Évora
MOINHOLA,16/05/1985 09:00,,0.9,12.25,,Évora
MOINHOLA,17/05/1985 09:00,,0.5,15.35,,Évora
MOINHOLA,18/05/1985 09:00,,0.0,16.75,,Évora
MOINHOLA,19/05/1985 09:00,,0.0,18.25,,Évora
MOINHOLA,20/05/1985 09:00,,0.0,14.95,,Évora
MOINHOLA,21/05/1985 09:00,,0.0,14.6,,Évora
MOINHOLA,22/05/1985 09:00,,0.0,13.0,,Évora
MOINHOLA,23/05/1985 09:00,,0.0,13.5,,Évora
MOINHOLA,24/05/1985 09:00,,0.0,12.85,,Évora
MOINHOLA,25/05/1985 09:00,,0.0,14.95,,Évora
MOINHOLA,26/05/1985 09:00,,9.4,16.75,,Évora
MOINHOLA,27/05/1985 09:00,,2.3,16.35,,Évora
MOINHOLA,28/05/1985 09:00,,0.0,16.0,,Évora
MOINHOLA,29/05/1985 09:00,,2.5,15.5,,Évora
MOINHOLA,30/05/1985 09:00,,8.9,18.25,,Évora
MOINHOLA,31/05/1985 09:00,,0.0,17.75,,Évora
MOINHOLA,01/06/1985 09:00,,0.0,17.1,,Évora
MOINHOLA,02/06/1985 09:00,,2.4,17.5,,Évora
MOINHOLA,03/06/1985 09:00,,0.0,18.0,,Évora
MOINHOLA,04/06/1985 09:00,,0.0,17.0,,Évora
MOINHOLA,05/06/1985 09:00,,0.1,18.25,,Évora
MOINHOLA,06/06/1985 09:00,,0.0,17.75,,Évora
MOINHOLA,07/06/1985 09:00,,0.0,18.6,,Évora
MOINHOLA,08/06/1985 09:00,,0.0,18.1,,Évora
MOINHOLA,09/06/1985 09:00,,0.0,20.0,,Évora
MOINHOLA,10/06/1985 09:00,,0.0,21.1,,Évora
MOINHOLA,11/06/1985 09:00,,0.0,22.1,,Évora
MOINHOLA,12/06/1985 09:00,,0.0,21.0,,Évora
MOINHOLA,13/06/1985 09:00,,0.0,16.75,,Évora
MOINHOLA,14/06/1985 09:00,,0.0,18.1,,Évora
MOINHOLA,15/06/1985 09:00,,0.0,18.6,,Évora
MOINHOLA,16/06/1985 09:00,,0.0,21.75,,Évora
MOINHOLA,17/06/1985 09:00,,0.0,22.1,,Évora
MOINHOLA,18/06/1985 09:00,,0.0,22.0,,Évora
MOINHOLA,19/06/1985 09:00,,0.0,18.75,,Évora
MOINHOLA,20/06/1985 09:00,,0.0,20.5,,Évora
MOINHOLA,21/06/1985 09:00,,0.0,18.5,,Évora
MOINHOLA,22/06/1985 09:00,,0.0,18.6,,Évora
MOINHOLA,23/06/1985 09:00,,0.0,18.75,,Évora
MOINHOLA,24/06/1985 09:00,,0.0,23.35,,Évora
MOINHOLA,25/06/1985 09:00,,0.0,21.6,,Évora
MOINHOLA,26/06/1985 09:00,,0.0,23.25,,Évora
MOINHOLA,27/06/1985 09:00,,0.0,23.1,,Évora
MOINHOLA,28/06/1985 09:00,,0.0,21.75,,Évora
MOINHOLA,29/06/1985 09:00,,0.0,20.6,,Évora
MOINHOLA,30/06/1985 09:00,,0.0,21.5,,Évora
MOINHOLA,01/07/1985 09:00,,0.0,19.25,,Évora
MOINHOLA,02/07/1985 09:00,,1.5,18.75,,Évora
MOINHOLA,03/07/1985 09:00,,5.5,19.0,,Évora
MOINHOLA,04/07/1985 09:00,,0.0,21.75,,Évora
MOINHOLA,05/07/1985 09:00,,0.0,25.25,,Évora
MOINHOLA,06/07/1985 09:00,,0.0,26.85,,Évora
MOINHOLA,07/07/1985 09:00,,0.0,25.25,,Évora
MOINHOLA,08/07/1985 09:00,,0.0,22.6,,Évora
MOINHOLA,09/07/1985 09:00,,0.0,20.6,,Évora
MOINHOLA,10/07/1985 09:00,,0.0,20.0,,Évora
MOINHOLA,11/07/1985 09:00,,0.0,21.75,,Évora
MOINHOLA,12/07/1985 09:00,,0.0,22.75,,Évora
MOINHOLA,13/07/1985 09:00,,0.0,21.5,,Évora
MOINHOLA,14/07/1985 09:00,,0.0,20.6,,Évora
MOINHOLA,15/07/1985 09:00,,0.0,21.75,,Évora
MOINHOLA,16/07/1985 09:00,,0.0,21.6,,Évora
MOINHOLA,17/07/1985 09:00,,0.0,22.1,,Évora
MOINHOLA,18/07/1985 09:00,,0.0,21.75,,Évora
