Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MOLEDO,01/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,02/05/1985 09:00,,2.4,,,Lisboa
MOLEDO,03/05/1985 09:00,,3.1,,,Lisboa
MOLEDO,04/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,05/05/1985 09:00,,0.2,,,Lisboa
MOLEDO,06/05/1985 09:00,,1.4,,,Lisboa
MOLEDO,07/05/1985 09:00,,13.8,,,Lisboa
MOLEDO,08/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,09/05/1985 09:00,,0.1,,,Lisboa
MOLEDO,10/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,11/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,12/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,13/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,14/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,15/05/1985 09:00,,3.2,,,Lisboa
MOLEDO,16/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,17/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,18/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,19/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,20/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,21/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,22/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,23/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,24/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,25/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,26/05/1985 09:00,,5.7,,,Lisboa
MOLEDO,27/05/1985 09:00,,6.8,,,Lisboa
MOLEDO,28/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,29/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,30/05/1985 09:00,,6.8,,,Lisboa
MOLEDO,31/05/1985 09:00,,0.0,,,Lisboa
MOLEDO,01/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,02/06/1985 09:00,,6.4,,,Lisboa
MOLEDO,03/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,04/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,05/06/1985 09:00,,7.2,,,Lisboa
MOLEDO,06/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,07/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,08/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,09/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,10/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,11/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,12/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,13/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,14/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,15/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,16/06/1985 09:00,,3.2,,,Lisboa
MOLEDO,17/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,18/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,19/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,20/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,21/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,22/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,23/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,24/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,25/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,26/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,27/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,28/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,29/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,30/06/1985 09:00,,0.0,,,Lisboa
MOLEDO,01/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,02/07/1985 09:00,,2.3,,,Lisboa
MOLEDO,03/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,04/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,05/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,06/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,07/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,08/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,09/07/1985 09:00,,0.0,,,Lisboa
MOLEDO,10/07/1985 09:00,,0.0,,,Lisboa
