Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONCHIQUE,01/05/1985 09:00,,0.0,15.75,,Faro
MONCHIQUE,02/05/1985 09:00,,0.7,13.75,,Faro
MONCHIQUE,03/05/1985 09:00,,1.0,13.25,,Faro
MONCHIQUE,04/05/1985 09:00,,12.2,13.75,,Faro
MONCHIQUE,05/05/1985 09:00,,0.7,11.25,,Faro
MONCHIQUE,06/05/1985 09:00,,5.0,9.25,,Faro
MONCHIQUE,07/05/1985 09:00,,0.0,10.0,,Faro
MONCHIQUE,08/05/1985 09:00,,0.0,11.5,,Faro
MONCHIQUE,09/05/1985 09:00,,0.0,14.5,,Faro
MONCHIQUE,10/05/1985 09:00,,0.0,15.0,,Faro
MONCHIQUE,11/05/1985 09:00,,0.0,13.5,,Faro
MONCHIQUE,12/05/1985 09:00,,0.0,13.25,,Faro
MONCHIQUE,13/05/1985 09:00,,0.0,12.5,,Faro
MONCHIQUE,14/05/1985 09:00,,0.0,11.25,,Faro
MONCHIQUE,15/05/1985 09:00,,0.0,11.75,,Faro
MONCHIQUE,16/05/1985 09:00,,2.0,11.75,,Faro
MONCHIQUE,17/05/1985 09:00,,3.0,14.0,,Faro
MONCHIQUE,18/05/1985 09:00,,0.0,16.0,,Faro
MONCHIQUE,19/05/1985 09:00,,0.0,17.5,,Faro
MONCHIQUE,20/05/1985 09:00,,0.0,14.25,,Faro
MONCHIQUE,21/05/1985 09:00,,0.0,13.75,,Faro
MONCHIQUE,22/05/1985 09:00,,0.0,13.5,,Faro
MONCHIQUE,23/05/1985 09:00,,0.0,13.0,,Faro
MONCHIQUE,24/05/1985 09:00,,0.0,11.75,,Faro
MONCHIQUE,25/05/1985 09:00,,0.0,14.5,,Faro
MONCHIQUE,26/05/1985 09:00,,14.1,15.5,,Faro
MONCHIQUE,27/05/1985 09:00,,0.0,14.75,,Faro
MONCHIQUE,28/05/1985 09:00,,0.0,14.25,,Faro
MONCHIQUE,29/05/1985 09:00,,0.0,15.5,,Faro
MONCHIQUE,30/05/1985 09:00,,0.0,16.0,,Faro
MONCHIQUE,31/05/1985 09:00,,6.1,15.0,,Faro
MONCHIQUE,01/06/1985 09:00,,0.0,14.5,,Faro
MONCHIQUE,02/06/1985 09:00,,0.0,15.0,,Faro
MONCHIQUE,03/06/1985 09:00,,6.0,14.75,,Faro
MONCHIQUE,04/06/1985 09:00,,0.2,14.25,,Faro
MONCHIQUE,05/06/1985 09:00,,6.0,15.25,,Faro
MONCHIQUE,06/06/1985 09:00,,1.0,16.0,,Faro
MONCHIQUE,07/06/1985 09:00,,0.0,15.75,,Faro
MONCHIQUE,08/06/1985 09:00,,0.0,16.0,,Faro
MONCHIQUE,09/06/1985 09:00,,0.0,18.0,,Faro
MONCHIQUE,10/06/1985 09:00,,0.0,20.5,,Faro
MONCHIQUE,11/06/1985 09:00,,0.0,22.25,,Faro
MONCHIQUE,12/06/1985 09:00,,0.0,21.0,,Faro
MONCHIQUE,13/06/1985 09:00,,0.0,19.75,,Faro
MONCHIQUE,14/06/1985 09:00,,0.0,18.5,,Faro
MONCHIQUE,15/06/1985 09:00,,0.0,20.0,,Faro
MONCHIQUE,16/06/1985 09:00,,2.0,19.5,,Faro
MONCHIQUE,17/06/1985 09:00,,0.0,21.75,,Faro
MONCHIQUE,18/06/1985 09:00,,0.0,21.75,,Faro
MONCHIQUE,19/06/1985 09:00,,0.0,17.25,,Faro
MONCHIQUE,20/06/1985 09:00,,0.0,19.25,,Faro
MONCHIQUE,21/06/1985 09:00,,0.0,18.25,,Faro
MONCHIQUE,22/06/1985 09:00,,0.0,17.0,,Faro
MONCHIQUE,23/06/1985 09:00,,0.0,17.5,,Faro
MONCHIQUE,24/06/1985 09:00,,0.0,20.25,,Faro
MONCHIQUE,25/06/1985 09:00,,0.0,22.25,,Faro
MONCHIQUE,26/06/1985 09:00,,0.0,23.0,,Faro
MONCHIQUE,27/06/1985 09:00,,0.0,24.25,,Faro
MONCHIQUE,28/06/1985 09:00,,0.0,24.25,,Faro
MONCHIQUE,29/06/1985 09:00,,0.0,23.75,,Faro
MONCHIQUE,30/06/1985 09:00,,0.0,22.0,,Faro
MONCHIQUE,01/07/1985 09:00,,0.0,21.5,,Faro
MONCHIQUE,02/07/1985 09:00,,0.0,17.5,,Faro
MONCHIQUE,03/07/1985 09:00,,0.2,18.0,,Faro
MONCHIQUE,04/07/1985 09:00,,0.0,20.25,,Faro
