Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONFORTE DA BEIRA,01/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,02/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,03/05/1985 09:00,,3.6,,,Castelo Branco
MONFORTE DA BEIRA,04/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,05/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,06/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,07/05/1985 09:00,,1.9,,,Castelo Branco
MONFORTE DA BEIRA,08/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,09/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,10/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,11/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,12/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,13/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,14/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,15/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,16/05/1985 09:00,,2.6,,,Castelo Branco
MONFORTE DA BEIRA,17/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,18/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,19/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,20/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,21/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,22/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,23/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,24/05/1985 09:00,,0.0,,,Castelo Branco
MONFORTE DA BEIRA,25/05/1985 09:00,,0.0,,,Castelo Branco
