Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONTALVÃO,01/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,02/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,03/05/1985 09:00,,2.0,,,Portalegre
MONTALVÃO,04/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,05/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,06/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,07/05/1985 09:00,,4.5,,,Portalegre
MONTALVÃO,08/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,09/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,10/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,11/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,12/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,13/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,14/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,15/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,16/05/1985 09:00,,0.8,,,Portalegre
MONTALVÃO,17/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,18/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,19/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,20/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,21/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,22/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,23/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,24/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,25/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,26/05/1985 09:00,,1.3,,,Portalegre
MONTALVÃO,27/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,28/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,29/05/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,30/05/1985 09:00,,3.9,,,Portalegre
MONTALVÃO,31/05/1985 09:00,,1.1,,,Portalegre
MONTALVÃO,01/06/1985 09:00,,15.3,,,Portalegre
MONTALVÃO,02/06/1985 09:00,,4.3,,,Portalegre
MONTALVÃO,03/06/1985 09:00,,0.9,,,Portalegre
MONTALVÃO,04/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,05/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,06/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,07/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,08/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,09/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,10/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,11/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,12/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,13/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,14/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,15/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,16/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,17/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,18/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,19/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,20/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,21/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,22/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,23/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,24/06/1985 09:00,,0.0,,,Portalegre
MONTALVÃO,25/06/1985 09:00,,0.0,,,Portalegre
