Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONTE DA CAPARICA,01/05/1985 09:00,60.0,0.0,17.75,,Setúbal
MONTE DA CAPARICA,02/05/1985 09:00,80.0,0.4,15.75,,Setúbal
MONTE DA CAPARICA,03/05/1985 09:00,40.0,4.8,14.5,,Setúbal
MONTE DA CAPARICA,04/05/1985 09:00,64.5,0.0,16.25,,Setúbal
MONTE DA CAPARICA,05/05/1985 09:00,83.0,0.0,13.5,,Setúbal
MONTE DA CAPARICA,06/05/1985 09:00,66.0,1.5,11.25,,Setúbal
MONTE DA CAPARICA,07/05/1985 09:00,66.0,5.8,11.75,,Setúbal
MONTE DA CAPARICA,08/05/1985 09:00,61.0,0.0,13.25,,Setúbal
MONTE DA CAPARICA,09/05/1985 09:00,74.5,0.0,15.5,,Setúbal
MONTE DA CAPARICA,10/05/1985 09:00,41.0,0.0,13.75,,Setúbal
MONTE DA CAPARICA,11/05/1985 09:00,39.0,0.0,14.0,,Setúbal
MONTE DA CAPARICA,12/05/1985 09:00,63.0,0.0,13.75,,Setúbal
MONTE DA CAPARICA,13/05/1985 09:00,68.0,0.0,13.0,,Setúbal
MONTE DA CAPARICA,14/05/1985 09:00,66.5,0.0,13.75,,Setúbal
MONTE DA CAPARICA,15/05/1985 09:00,84.0,0.0,14.0,,Setúbal
MONTE DA CAPARICA,16/05/1985 09:00,83.0,3.4,13.25,,Setúbal
MONTE DA CAPARICA,17/05/1985 09:00,69.0,0.8,15.5,,Setúbal
MONTE DA CAPARICA,18/05/1985 09:00,53.0,0.0,18.75,,Setúbal
MONTE DA CAPARICA,19/05/1985 09:00,64.0,7.4,18.0,,Setúbal
MONTE DA CAPARICA,20/05/1985 09:00,52.0,0.0,14.5,,Setúbal
MONTE DA CAPARICA,21/05/1985 09:00,72.5,0.0,14.5,,Setúbal
MONTE DA CAPARICA,22/05/1985 09:00,78.0,0.0,14.0,,Setúbal
MONTE DA CAPARICA,23/05/1985 09:00,78.0,0.0,14.0,,Setúbal
MONTE DA CAPARICA,24/05/1985 09:00,78.5,0.0,14.25,,Setúbal
MONTE DA CAPARICA,25/05/1985 09:00,75.5,0.0,15.5,,Setúbal
MONTE DA CAPARICA,26/05/1985 09:00,85.0,4.2,14.75,,Setúbal
MONTE DA CAPARICA,27/05/1985 09:00,79.5,2.9,14.0,,Setúbal
MONTE DA CAPARICA,28/05/1985 09:00,69.0,0.0,15.0,,Setúbal
MONTE DA CAPARICA,29/05/1985 09:00,88.0,4.8,15.25,,Setúbal
MONTE DA CAPARICA,30/05/1985 09:00,85.5,12.2,15.75,,Setúbal
MONTE DA CAPARICA,31/05/1985 09:00,80.5,0.0,16.75,,Setúbal
MONTE DA CAPARICA,01/06/1985 09:00,80.0,0.0,,,Setúbal
MONTE DA CAPARICA,02/06/1985 09:00,80.5,2.2,,,Setúbal
MONTE DA CAPARICA,03/06/1985 09:00,61.0,0.0,,,Setúbal
MONTE DA CAPARICA,04/06/1985 09:00,,,,,Setúbal
MONTE DA CAPARICA,05/06/1985 09:00,80.0,1.4,15.75,,Setúbal
MONTE DA CAPARICA,06/06/1985 09:00,90.0,0.0,,,Setúbal
MONTE DA CAPARICA,07/06/1985 09:00,72.0,0.0,18.0,,Setúbal
MONTE DA CAPARICA,08/06/1985 09:00,71.0,0.0,,,Setúbal
