Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONTE DA TORRE,01/05/1985 09:00,,,,,Beja
MONTE DA TORRE,02/05/1985 09:00,,,,,Beja
MONTE DA TORRE,03/05/1985 09:00,,,,,Beja
MONTE DA TORRE,04/05/1985 09:00,,,,,Beja
MONTE DA TORRE,05/05/1985 09:00,,,,,Beja
MONTE DA TORRE,06/05/1985 09:00,,,,,Beja
MONTE DA TORRE,07/05/1985 09:00,,,,,Beja
MONTE DA TORRE,08/05/1985 09:00,,,,,Beja
MONTE DA TORRE,09/05/1985 09:00,,,,,Beja
MONTE DA TORRE,10/05/1985 09:00,,,,,Beja
MONTE DA TORRE,11/05/1985 09:00,,,,,Beja
MONTE DA TORRE,12/05/1985 09:00,,,,,Beja
MONTE DA TORRE,13/05/1985 09:00,,,,,Beja
MONTE DA TORRE,14/05/1985 09:00,,,,,Beja
MONTE DA TORRE,15/05/1985 09:00,,,,,Beja
MONTE DA TORRE,16/05/1985 09:00,,,,,Beja
MONTE DA TORRE,17/05/1985 09:00,,,,,Beja
MONTE DA TORRE,18/05/1985 09:00,,,,,Beja
MONTE DA TORRE,19/05/1985 09:00,,,,,Beja
MONTE DA TORRE,20/05/1985 09:00,,,,,Beja
MONTE DA TORRE,21/05/1985 09:00,,,,,Beja
MONTE DA TORRE,22/05/1985 09:00,,,,,Beja
MONTE DA TORRE,23/05/1985 09:00,,,,,Beja
MONTE DA TORRE,24/05/1985 09:00,,,,,Beja
MONTE DA TORRE,25/05/1985 09:00,,,,,Beja
MONTE DA TORRE,26/05/1985 09:00,,,,,Beja
MONTE DA TORRE,27/05/1985 09:00,,,,,Beja
MONTE DA TORRE,28/05/1985 09:00,,,,,Beja
MONTE DA TORRE,29/05/1985 09:00,,,,,Beja
MONTE DA TORRE,30/05/1985 09:00,,,,,Beja
MONTE DA TORRE,31/05/1985 09:00,,,,,Beja
MONTE DA TORRE,01/06/1985 09:00,,,,,Beja
MONTE DA TORRE,02/06/1985 09:00,,,,,Beja
MONTE DA TORRE,03/06/1985 09:00,,,,,Beja
MONTE DA TORRE,04/06/1985 09:00,,,,,Beja
MONTE DA TORRE,05/06/1985 09:00,,,,,Beja
MONTE DA TORRE,06/06/1985 09:00,,,,,Beja
MONTE DA TORRE,07/06/1985 09:00,,,,,Beja
MONTE DA TORRE,08/06/1985 09:00,,,,,Beja
MONTE DA TORRE,09/06/1985 09:00,,,,,Beja
MONTE DA TORRE,10/06/1985 09:00,,,,,Beja
MONTE DA TORRE,11/06/1985 09:00,,,,,Beja
MONTE DA TORRE,12/06/1985 09:00,,,,,Beja
MONTE DA TORRE,13/06/1985 09:00,,,,,Beja
MONTE DA TORRE,14/06/1985 09:00,,,,,Beja
