Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONTE REAL,01/05/1985 09:00,,0.0,19.15,,Leiria
MONTE REAL,02/05/1985 09:00,,0.0,18.85,,Leiria
MONTE REAL,03/05/1985 09:00,,0.0,16.0,,Leiria
MONTE REAL,04/05/1985 09:00,,0.0,15.2,,Leiria
MONTE REAL,05/05/1985 09:00,,0.0,13.9,,Leiria
MONTE REAL,06/05/1985 09:00,,3.2,9.9,,Leiria
MONTE REAL,07/05/1985 09:00,,8.8,9.65,,Leiria
MONTE REAL,08/05/1985 09:00,,0.0,10.5,,Leiria
MONTE REAL,09/05/1985 09:00,,0.0,14.5,,Leiria
MONTE REAL,10/05/1985 09:00,,0.0,11.85,,Leiria
MONTE REAL,11/05/1985 09:00,,0.0,11.6,,Leiria
MONTE REAL,12/05/1985 09:00,,0.0,11.8,,Leiria
MONTE REAL,13/05/1985 09:00,,0.0,14.8,,Leiria
MONTE REAL,14/05/1985 09:00,,0.0,14.4,,Leiria
MONTE REAL,15/05/1985 09:00,,0.4,13.2,,Leiria
MONTE REAL,16/05/1985 09:00,,4.5,13.75,,Leiria
MONTE REAL,17/05/1985 09:00,,0.0,15.0,,Leiria
MONTE REAL,18/05/1985 09:00,,0.0,13.8,,Leiria
MONTE REAL,19/05/1985 09:00,,0.0,14.2,,Leiria
MONTE REAL,20/05/1985 09:00,,0.0,16.0,,Leiria
MONTE REAL,21/05/1985 09:00,,0.0,12.5,,Leiria
MONTE REAL,22/05/1985 09:00,,0.0,12.25,,Leiria
MONTE REAL,23/05/1985 09:00,,0.0,14.5,,Leiria
MONTE REAL,24/05/1985 09:00,,0.0,14.2,,Leiria
MONTE REAL,25/05/1985 09:00,,0.0,15.15,,Leiria
MONTE REAL,26/05/1985 09:00,,13.0,17.5,,Leiria
MONTE REAL,27/05/1985 09:00,,16.5,16.5,,Leiria
MONTE REAL,28/05/1985 09:00,,0.0,14.15,,Leiria
MONTE REAL,29/05/1985 09:00,,0.0,16.4,,Leiria
MONTE REAL,30/05/1985 09:00,,2.2,16.1,,Leiria
MONTE REAL,31/05/1985 09:00,,0.6,19.75,,Leiria
MONTE REAL,01/06/1985 09:00,,1.8,18.5,,Leiria
MONTE REAL,02/06/1985 09:00,,8.3,18.3,,Leiria
MONTE REAL,03/06/1985 09:00,,2.5,17.0,,Leiria
MONTE REAL,04/06/1985 09:00,,0.0,17.0,,Leiria
MONTE REAL,05/06/1985 09:00,,3.0,19.0,,Leiria
MONTE REAL,06/06/1985 09:00,,0.0,18.0,,Leiria
MONTE REAL,07/06/1985 09:00,,0.0,20.6,,Leiria
MONTE REAL,08/06/1985 09:00,,0.0,17.5,,Leiria
MONTE REAL,09/06/1985 09:00,,0.0,19.0,,Leiria
MONTE REAL,10/06/1985 09:00,,0.0,17.5,,Leiria
MONTE REAL,11/06/1985 09:00,,0.0,19.5,,Leiria
MONTE REAL,12/06/1985 09:00,,0.0,20.0,,Leiria
MONTE REAL,13/06/1985 09:00,,0.0,22.5,,Leiria
MONTE REAL,14/06/1985 09:00,,0.0,22.25,,Leiria
MONTE REAL,15/06/1985 09:00,,0.0,17.15,,Leiria
MONTE REAL,16/06/1985 09:00,,2.7,20.4,,Leiria
MONTE REAL,17/06/1985 09:00,,0.0,20.5,,Leiria
MONTE REAL,18/06/1985 09:00,,0.0,23.0,,Leiria
MONTE REAL,19/06/1985 09:00,,0.0,20.5,,Leiria
MONTE REAL,20/06/1985 09:00,,0.0,18.75,,Leiria
MONTE REAL,21/06/1985 09:00,,0.0,18.45,,Leiria
MONTE REAL,22/06/1985 09:00,,0.0,17.75,,Leiria
MONTE REAL,23/06/1985 09:00,,0.0,16.6,,Leiria
MONTE REAL,24/06/1985 09:00,,0.0,19.15,,Leiria
MONTE REAL,25/06/1985 09:00,,0.0,19.0,,Leiria
MONTE REAL,26/06/1985 09:00,,0.0,19.75,,Leiria
MONTE REAL,27/06/1985 09:00,,0.0,20.5,,Leiria
MONTE REAL,28/06/1985 09:00,,0.0,17.0,,Leiria
MONTE REAL,29/06/1985 09:00,,0.0,20.4,,Leiria
MONTE REAL,30/06/1985 09:00,,0.0,19.8,,Leiria
MONTE REAL,01/07/1985 09:00,,0.0,19.1,,Leiria
MONTE REAL,02/07/1985 09:00,,3.8,17.65,,Leiria
MONTE REAL,03/07/1985 09:00,,0.0,19.0,,Leiria
MONTE REAL,04/07/1985 09:00,,0.0,22.25,,Leiria
MONTE REAL,05/07/1985 09:00,,0.0,20.5,,Leiria
MONTE REAL,06/07/1985 09:00,,0.0,21.85,,Leiria
MONTE REAL,07/07/1985 09:00,,0.0,23.7,,Leiria
MONTE REAL,08/07/1985 09:00,,0.0,20.0,,Leiria
MONTE REAL,09/07/1985 09:00,,0.0,21.0,,Leiria
MONTE REAL,10/07/1985 09:00,,0.0,21.5,,Leiria
MONTE REAL,11/07/1985 09:00,,0.0,22.0,,Leiria
MONTE REAL,12/07/1985 09:00,,0.0,21.75,,Leiria
MONTE REAL,13/07/1985 09:00,,0.4,21.5,,Leiria
MONTE REAL,14/07/1985 09:00,,0.0,20.5,,Leiria
MONTE REAL,15/07/1985 09:00,,0.0,18.9,,Leiria
MONTE REAL,16/07/1985 09:00,,0.0,19.8,,Leiria
MONTE REAL,17/07/1985 09:00,,0.0,17.9,,Leiria
