Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
MONTEZINHO,01/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,02/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,03/05/1985 09:00,,8.4,,,Bragança
MONTEZINHO,04/05/1985 09:00,,6.3,,,Bragança
MONTEZINHO,05/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,06/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,07/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,08/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,09/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,10/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,11/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,12/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,13/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,14/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,15/05/1985 09:00,,8.4,,,Bragança
MONTEZINHO,16/05/1985 09:00,,9.3,,,Bragança
MONTEZINHO,17/05/1985 09:00,,6.2,,,Bragança
MONTEZINHO,18/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,19/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,20/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,21/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,22/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,23/05/1985 09:00,,0.0,,,Bragança
MONTEZINHO,24/05/1985 09:00,,8.4,,,Bragança
MONTEZINHO,25/05/1985 09:00,,6.2,,,Bragança
MONTEZINHO,26/05/1985 09:00,,10.3,,,Bragança
MONTEZINHO,27/05/1985 09:00,,9.4,,,Bragança
MONTEZINHO,28/05/1985 09:00,,8.2,,,Bragança
MONTEZINHO,29/05/1985 09:00,,6.3,,,Bragança
MONTEZINHO,30/05/1985 09:00,,8.4,,,Bragança
MONTEZINHO,31/05/1985 09:00,,6.3,,,Bragança
MONTEZINHO,01/06/1985 09:00,,8.4,,,Bragança
MONTEZINHO,02/06/1985 09:00,,9.3,,,Bragança
MONTEZINHO,03/06/1985 09:00,,6.2,,,Bragança
MONTEZINHO,04/06/1985 09:00,,4.3,,,Bragança
MONTEZINHO,05/06/1985 09:00,,3.2,,,Bragança
MONTEZINHO,06/06/1985 09:00,,6.4,,,Bragança
MONTEZINHO,07/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,08/06/1985 09:00,,8.3,,,Bragança
MONTEZINHO,09/06/1985 09:00,,6.4,,,Bragança
MONTEZINHO,10/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,11/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,12/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,13/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,14/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,15/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,16/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,17/06/1985 09:00,,6.4,,,Bragança
MONTEZINHO,18/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,19/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,20/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,21/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,22/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,23/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,24/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,25/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,26/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,27/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,28/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,29/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,30/06/1985 09:00,,0.0,,,Bragança
MONTEZINHO,01/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,02/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,03/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,04/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,05/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,06/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,07/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,08/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,09/07/1985 09:00,,12.3,,,Bragança
MONTEZINHO,10/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,11/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,12/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,13/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,14/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,15/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,16/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,17/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,18/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,19/07/1985 09:00,,6.4,,,Bragança
MONTEZINHO,20/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,21/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,22/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,23/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,24/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,25/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,26/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,27/07/1985 09:00,,6.3,,,Bragança
MONTEZINHO,28/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,29/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,30/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,31/07/1985 09:00,,0.0,,,Bragança
MONTEZINHO,01/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,02/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,03/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,04/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,05/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,06/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,07/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,08/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,09/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,10/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,11/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,12/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,13/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,14/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,15/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,16/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,17/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,18/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,19/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,20/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,21/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,22/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,23/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,24/08/1985 09:00,,0.0,,,Bragança
MONTEZINHO,25/08/1985 09:00,,4.3,,,Bragança
