Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
ORJARIÇA,01/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,02/05/1985 09:00,,2.5,,,Lisboa
ORJARIÇA,03/05/1985 09:00,,1.5,,,Lisboa
ORJARIÇA,04/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,05/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,06/05/1985 09:00,,2.5,,,Lisboa
ORJARIÇA,07/05/1985 09:00,,9.5,,,Lisboa
ORJARIÇA,08/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,09/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,10/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,11/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,12/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,13/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,14/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,15/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,16/05/1985 09:00,,2.0,,,Lisboa
ORJARIÇA,17/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,18/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,19/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,20/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,21/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,22/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,23/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,24/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,25/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,26/05/1985 09:00,,21.5,,,Lisboa
ORJARIÇA,27/05/1985 09:00,,7.0,,,Lisboa
ORJARIÇA,28/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,29/05/1985 09:00,,3.0,,,Lisboa
ORJARIÇA,30/05/1985 09:00,,12.0,,,Lisboa
ORJARIÇA,31/05/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,01/06/1985 09:00,,3.0,,,Lisboa
ORJARIÇA,02/06/1985 09:00,,18.0,,,Lisboa
ORJARIÇA,03/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,04/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,05/06/1985 09:00,,5.5,,,Lisboa
ORJARIÇA,06/06/1985 09:00,,4.5,,,Lisboa
ORJARIÇA,07/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,08/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,09/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,10/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,11/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,12/06/1985 09:00,,0.0,,,Lisboa
ORJARIÇA,13/06/1985 09:00,,0.0,,,Lisboa
