Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
PENEDO,01/05/1985 09:00,,0.0,,,
PENEDO,02/05/1985 09:00,,0.0,,,
PENEDO,03/05/1985 09:00,,0.0,,,
PENEDO,04/05/1985 09:00,,0.0,,,
PENEDO,05/05/1985 09:00,,2.0,,,
PENEDO,06/05/1985 09:00,,4.2,,,
PENEDO,07/05/1985 09:00,,0.4,,,
PENEDO,08/05/1985 09:00,,0.0,,,
PENEDO,09/05/1985 09:00,,0.0,,,
PENEDO,10/05/1985 09:00,,0.0,,,
PENEDO,11/05/1985 09:00,,0.0,,,
PENEDO,12/05/1985 09:00,,0.0,,,
PENEDO,13/05/1985 09:00,,0.0,,,
PENEDO,14/05/1985 09:00,,0.0,,,
PENEDO,15/05/1985 09:00,,19.0,,,
PENEDO,16/05/1985 09:00,,3.5,,,
PENEDO,17/05/1985 09:00,,0.0,,,
PENEDO,18/05/1985 09:00,,0.0,,,
PENEDO,19/05/1985 09:00,,2.4,,,
PENEDO,20/05/1985 09:00,,0.0,,,
PENEDO,21/05/1985 09:00,,0.0,,,
PENEDO,22/05/1985 09:00,,0.0,,,
PENEDO,23/05/1985 09:00,,0.0,,,
PENEDO,24/05/1985 09:00,,0.0,,,
PENEDO,25/05/1985 09:00,,0.0,,,
PENEDO,26/05/1985 09:00,,10.0,,,
PENEDO,27/05/1985 09:00,,23.0,,,
PENEDO,28/05/1985 09:00,,10.0,,,
PENEDO,29/05/1985 09:00,,0.0,,,
PENEDO,30/05/1985 09:00,,6.0,,,
PENEDO,31/05/1985 09:00,,18.0,,,
PENEDO,01/06/1985 09:00,,6.6,,,
PENEDO,02/06/1985 09:00,,12.0,,,
PENEDO,03/06/1985 09:00,,23.5,,,
PENEDO,04/06/1985 09:00,,13.0,,,
PENEDO,05/06/1985 09:00,,21.8,,,
PENEDO,06/06/1985 09:00,,8.0,,,
PENEDO,07/06/1985 09:00,,4.0,,,
PENEDO,08/06/1985 09:00,,5.8,,,
PENEDO,09/06/1985 09:00,,0.0,,,
PENEDO,10/06/1985 09:00,,0.0,,,
PENEDO,11/06/1985 09:00,,0.0,,,
PENEDO,12/06/1985 09:00,,0.0,,,
PENEDO,13/06/1985 09:00,,0.0,,,
PENEDO,14/06/1985 09:00,,0.0,,,
PENEDO,15/06/1985 09:00,,6.0,,,
PENEDO,16/06/1985 09:00,,0.0,,,
PENEDO,17/06/1985 09:00,,0.0,,,
PENEDO,18/06/1985 09:00,,0.0,,,
PENEDO,19/06/1985 09:00,,0.0,,,
PENEDO,20/06/1985 09:00,,0.0,,,
PENEDO,21/06/1985 09:00,,0.0,,,
PENEDO,22/06/1985 09:00,,0.0,,,
PENEDO,23/06/1985 09:00,,0.0,,,
PENEDO,24/06/1985 09:00,,0.0,,,
PENEDO,25/06/1985 09:00,,0.0,,,
PENEDO,26/06/1985 09:00,,0.0,,,
PENEDO,27/06/1985 09:00,,0.0,,,
PENEDO,28/06/1985 09:00,,0.0,,,
PENEDO,29/06/1985 09:00,,0.0,,,
PENEDO,30/06/1985 09:00,,0.0,,,
PENEDO,01/07/1985 09:00,,0.0,,,
PENEDO,02/07/1985 09:00,,8.5,,,
PENEDO,03/07/1985 09:00,,8.2,,,
PENEDO,04/07/1985 09:00,,2.2,,,
PENEDO,05/07/1985 09:00,,0.0,,,
PENEDO,06/07/1985 09:00,,0.0,,,
PENEDO,07/07/1985 09:00,,0.0,,,
PENEDO,08/07/1985 09:00,,0.0,,,
PENEDO,09/07/1985 09:00,,0.0,,,
PENEDO,10/07/1985 09:00,,0.0,,,
PENEDO,11/07/1985 09:00,,0.0,,,
PENEDO,12/07/1985 09:00,,0.0,,,
PENEDO,13/07/1985 09:00,,0.0,,,
PENEDO,14/07/1985 09:00,,0.0,,,
PENEDO,15/07/1985 09:00,,0.0,,,
PENEDO,16/07/1985 09:00,,0.0,,,
PENEDO,17/07/1985 09:00,,0.0,,,
PENEDO,18/07/1985 09:00,,0.0,,,
