Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
PENHA GARCIA,01/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,02/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,03/05/1985 09:00,,2.0,,,Castelo Branco
PENHA GARCIA,04/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,05/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,06/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,07/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,08/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,09/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,10/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,11/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,12/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,13/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,14/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,15/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,16/05/1985 09:00,,17.0,,,Castelo Branco
PENHA GARCIA,17/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,18/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,19/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,20/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,21/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,22/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,23/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,24/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,25/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,26/05/1985 09:00,,2.0,,,Castelo Branco
PENHA GARCIA,27/05/1985 09:00,,16.0,,,Castelo Branco
PENHA GARCIA,28/05/1985 09:00,,1.0,,,Castelo Branco
PENHA GARCIA,29/05/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,30/05/1985 09:00,,5.0,,,Castelo Branco
PENHA GARCIA,31/05/1985 09:00,,1.0,,,Castelo Branco
PENHA GARCIA,01/06/1985 09:00,,36.0,,,Castelo Branco
PENHA GARCIA,02/06/1985 09:00,,11.2,,,Castelo Branco
PENHA GARCIA,03/06/1985 09:00,,4.8,,,Castelo Branco
PENHA GARCIA,04/06/1985 09:00,,0.0,,,Castelo Branco
PENHA GARCIA,05/06/1985 09:00,,0.0,,,Castelo Branco
