Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
PONTE DA BARCA,01/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,02/05/1985 09:00,,0.8,,,Viana do Castelo
PONTE DA BARCA,03/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,04/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,05/05/1985 09:00,,1.8,,,Viana do Castelo
PONTE DA BARCA,06/05/1985 09:00,,3.4,,,Viana do Castelo
PONTE DA BARCA,07/05/1985 09:00,,7.0,,,Viana do Castelo
PONTE DA BARCA,08/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,09/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,10/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,11/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,12/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,13/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,14/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,15/05/1985 09:00,,8.8,,,Viana do Castelo
PONTE DA BARCA,16/05/1985 09:00,,1.4,,,Viana do Castelo
PONTE DA BARCA,17/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,18/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,19/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,20/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,21/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,22/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,23/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,24/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,25/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,26/05/1985 09:00,,6.0,,,Viana do Castelo
PONTE DA BARCA,27/05/1985 09:00,,26.6,,,Viana do Castelo
PONTE DA BARCA,28/05/1985 09:00,,0.5,,,Viana do Castelo
PONTE DA BARCA,29/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,30/05/1985 09:00,,0.1,,,Viana do Castelo
PONTE DA BARCA,31/05/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,01/06/1985 09:00,,0.8,,,Viana do Castelo
PONTE DA BARCA,02/06/1985 09:00,,14.1,,,Viana do Castelo
PONTE DA BARCA,03/06/1985 09:00,,10.5,,,Viana do Castelo
PONTE DA BARCA,04/06/1985 09:00,,0.9,,,Viana do Castelo
PONTE DA BARCA,05/06/1985 09:00,,20.5,,,Viana do Castelo
PONTE DA BARCA,06/06/1985 09:00,,8.8,,,Viana do Castelo
PONTE DA BARCA,07/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,08/06/1985 09:00,,1.0,,,Viana do Castelo
PONTE DA BARCA,09/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,10/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,11/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,12/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,13/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,14/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,15/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,16/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,17/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,18/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,19/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,20/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,21/06/1985 09:00,,1.1,,,Viana do Castelo
PONTE DA BARCA,22/06/1985 09:00,,0.8,,,Viana do Castelo
PONTE DA BARCA,23/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,24/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,25/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,26/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,27/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,28/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,29/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,30/06/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,01/07/1985 09:00,,0.0,,,Viana do Castelo
PONTE DA BARCA,02/07/1985 09:00,,0.6,,,Viana do Castelo
PONTE DA BARCA,03/07/1985 09:00,,3.7,,,Viana do Castelo
PONTE DA BARCA,04/07/1985 09:00,,0.0,,,Viana do Castelo
