Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
PRAIA DE MIRA,01/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,02/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,03/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,04/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,05/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,06/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,07/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,08/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,09/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,10/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,11/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,12/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,13/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,14/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,15/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,16/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,17/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,18/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,19/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,20/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,21/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,22/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,23/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,24/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,25/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,26/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,27/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,28/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,29/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,30/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,31/05/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,01/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,02/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,03/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,04/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,05/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,06/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,07/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,08/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,09/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,10/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,11/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,12/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,13/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,14/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,15/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,16/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,17/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,18/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,19/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,20/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,21/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,22/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,23/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,24/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,25/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,26/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,27/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,28/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,29/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,30/06/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,01/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,02/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,03/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,04/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,05/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,06/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,07/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,08/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,09/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,10/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,11/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,12/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,13/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,14/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,15/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,16/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,17/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,18/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,19/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,20/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,21/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,22/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,23/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,24/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,25/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,26/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,27/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,28/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,29/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,30/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,31/07/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,01/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,02/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,03/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,04/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,05/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,06/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,07/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,08/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,09/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,10/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,11/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,12/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,13/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,14/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,15/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,16/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,17/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,18/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,19/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,20/08/1985 09:00,,,,,Coimbra
PRAIA DE MIRA,21/08/1985 09:00,,,,,Coimbra
