Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
RAMELA,01/05/1985 09:00,,0.0,,,Guarda
RAMELA,02/05/1985 09:00,,0.0,,,Guarda
RAMELA,03/05/1985 09:00,,19.1,,,Guarda
RAMELA,04/05/1985 09:00,,0.0,,,Guarda
RAMELA,05/05/1985 09:00,,0.0,,,Guarda
RAMELA,06/05/1985 09:00,,0.0,,,Guarda
RAMELA,07/05/1985 09:00,,0.0,,,Guarda
RAMELA,08/05/1985 09:00,,0.0,,,Guarda
RAMELA,09/05/1985 09:00,,0.0,,,Guarda
RAMELA,10/05/1985 09:00,,0.0,,,Guarda
RAMELA,11/05/1985 09:00,,0.0,,,Guarda
RAMELA,12/05/1985 09:00,,0.0,,,Guarda
RAMELA,13/05/1985 09:00,,0.0,,,Guarda
RAMELA,14/05/1985 09:00,,0.0,,,Guarda
RAMELA,15/05/1985 09:00,,0.0,,,Guarda
RAMELA,16/05/1985 09:00,,2.1,,,Guarda
RAMELA,17/05/1985 09:00,,0.0,,,Guarda
RAMELA,18/05/1985 09:00,,0.0,,,Guarda
RAMELA,19/05/1985 09:00,,0.0,,,Guarda
RAMELA,20/05/1985 09:00,,0.0,,,Guarda
RAMELA,21/05/1985 09:00,,0.0,,,Guarda
RAMELA,22/05/1985 09:00,,0.0,,,Guarda
RAMELA,23/05/1985 09:00,,0.0,,,Guarda
RAMELA,24/05/1985 09:00,,0.0,,,Guarda
RAMELA,25/05/1985 09:00,,0.0,,,Guarda
RAMELA,26/05/1985 09:00,,8.3,,,Guarda
RAMELA,27/05/1985 09:00,,7.2,,,Guarda
RAMELA,28/05/1985 09:00,,0.0,,,Guarda
RAMELA,29/05/1985 09:00,,0.0,,,Guarda
RAMELA,30/05/1985 09:00,,21.1,,,Guarda
RAMELA,31/05/1985 09:00,,30.3,,,Guarda
RAMELA,01/06/1985 09:00,,17.1,,,Guarda
RAMELA,02/06/1985 09:00,,5.3,,,Guarda
RAMELA,03/06/1985 09:00,,4.2,,,Guarda
RAMELA,04/06/1985 09:00,,0.0,,,Guarda
RAMELA,05/06/1985 09:00,,2.1,,,Guarda
RAMELA,06/06/1985 09:00,,3.2,,,Guarda
RAMELA,07/06/1985 09:00,,0.0,,,Guarda
RAMELA,08/06/1985 09:00,,0.0,,,Guarda
RAMELA,09/06/1985 09:00,,0.0,,,Guarda
RAMELA,10/06/1985 09:00,,0.0,,,Guarda
RAMELA,11/06/1985 09:00,,0.0,,,Guarda
RAMELA,12/06/1985 09:00,,0.0,,,Guarda
RAMELA,13/06/1985 09:00,,0.0,,,Guarda
RAMELA,14/06/1985 09:00,,0.0,,,Guarda
RAMELA,15/06/1985 09:00,,0.0,,,Guarda
RAMELA,16/06/1985 09:00,,0.4,,,Guarda
RAMELA,17/06/1985 09:00,,0.0,,,Guarda
RAMELA,18/06/1985 09:00,,0.0,,,Guarda
RAMELA,19/06/1985 09:00,,0.0,,,Guarda
RAMELA,20/06/1985 09:00,,0.0,,,Guarda
RAMELA,21/06/1985 09:00,,0.0,,,Guarda
RAMELA,22/06/1985 09:00,,0.0,,,Guarda
RAMELA,23/06/1985 09:00,,0.0,,,Guarda
RAMELA,24/06/1985 09:00,,0.0,,,Guarda
RAMELA,25/06/1985 09:00,,0.0,,,Guarda
RAMELA,26/06/1985 09:00,,0.0,,,Guarda
RAMELA,27/06/1985 09:00,,0.0,,,Guarda
RAMELA,28/06/1985 09:00,,0.0,,,Guarda
RAMELA,29/06/1985 09:00,,0.0,,,Guarda
RAMELA,30/06/1985 09:00,,0.0,,,Guarda
RAMELA,01/07/1985 09:00,,0.0,,,Guarda
RAMELA,02/07/1985 09:00,,0.0,,,Guarda
RAMELA,03/07/1985 09:00,,0.0,,,Guarda
RAMELA,04/07/1985 09:00,,0.0,,,Guarda
RAMELA,05/07/1985 09:00,,0.0,,,Guarda
RAMELA,06/07/1985 09:00,,0.0,,,Guarda
RAMELA,07/07/1985 09:00,,0.0,,,Guarda
RAMELA,08/07/1985 09:00,,0.0,,,Guarda
RAMELA,09/07/1985 09:00,,0.0,,,Guarda
RAMELA,10/07/1985 09:00,,0.0,,,Guarda
RAMELA,11/07/1985 09:00,,0.0,,,Guarda
RAMELA,12/07/1985 09:00,,0.0,,,Guarda
RAMELA,13/07/1985 09:00,,0.0,,,Guarda
RAMELA,14/07/1985 09:00,,0.0,,,Guarda
RAMELA,15/07/1985 09:00,,0.0,,,Guarda
RAMELA,16/07/1985 09:00,,0.0,,,Guarda
RAMELA,17/07/1985 09:00,,0.0,,,Guarda
RAMELA,18/07/1985 09:00,,0.0,,,Guarda
RAMELA,19/07/1985 09:00,,0.0,,,Guarda
RAMELA,20/07/1985 09:00,,0.0,,,Guarda
RAMELA,21/07/1985 09:00,,0.0,,,Guarda
RAMELA,22/07/1985 09:00,,0.0,,,Guarda
RAMELA,23/07/1985 09:00,,0.0,,,Guarda
RAMELA,24/07/1985 09:00,,0.0,,,Guarda
RAMELA,25/07/1985 09:00,,0.0,,,Guarda
RAMELA,26/07/1985 09:00,,0.0,,,Guarda
RAMELA,27/07/1985 09:00,,0.0,,,Guarda
RAMELA,28/07/1985 09:00,,0.0,,,Guarda
RAMELA,29/07/1985 09:00,,0.0,,,Guarda
RAMELA,30/07/1985 09:00,,0.0,,,Guarda
RAMELA,31/07/1985 09:00,,0.0,,,Guarda
RAMELA,01/08/1985 09:00,,0.0,,,Guarda
RAMELA,02/08/1985 09:00,,0.0,,,Guarda
RAMELA,03/08/1985 09:00,,0.0,,,Guarda
RAMELA,04/08/1985 09:00,,0.0,,,Guarda
RAMELA,05/08/1985 09:00,,0.0,,,Guarda
RAMELA,06/08/1985 09:00,,0.0,,,Guarda
RAMELA,07/08/1985 09:00,,0.0,,,Guarda
RAMELA,08/08/1985 09:00,,0.0,,,Guarda
RAMELA,09/08/1985 09:00,,0.0,,,Guarda
RAMELA,10/08/1985 09:00,,0.0,,,Guarda
RAMELA,11/08/1985 09:00,,0.0,,,Guarda
RAMELA,12/08/1985 09:00,,0.0,,,Guarda
