Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SALIR DE MATOS,01/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,02/05/1985 09:00,,0.2,,,Leiria
SALIR DE MATOS,03/05/1985 09:00,,0.3,,,Leiria
SALIR DE MATOS,04/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,05/05/1985 09:00,,1.2,,,Leiria
SALIR DE MATOS,06/05/1985 09:00,,3.6,,,Leiria
SALIR DE MATOS,07/05/1985 09:00,,13.0,,,Leiria
SALIR DE MATOS,08/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,09/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,10/05/1985 09:00,,0.1,,,Leiria
SALIR DE MATOS,11/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,12/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,13/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,14/05/1985 09:00,,1.0,,,Leiria
SALIR DE MATOS,15/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,16/05/1985 09:00,,6.5,,,Leiria
SALIR DE MATOS,17/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,18/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,19/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,20/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,21/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,22/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,23/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,24/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,25/05/1985 09:00,,28.5,,,Leiria
SALIR DE MATOS,26/05/1985 09:00,,4.2,,,Leiria
SALIR DE MATOS,27/05/1985 09:00,,4.0,,,Leiria
SALIR DE MATOS,28/05/1985 09:00,,0.2,,,Leiria
SALIR DE MATOS,29/05/1985 09:00,,1.3,,,Leiria
SALIR DE MATOS,30/05/1985 09:00,,4.7,,,Leiria
SALIR DE MATOS,31/05/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,01/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,02/06/1985 09:00,,6.0,,,Leiria
SALIR DE MATOS,03/06/1985 09:00,,2.5,,,Leiria
SALIR DE MATOS,04/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,05/06/1985 09:00,,5.1,,,Leiria
SALIR DE MATOS,06/06/1985 09:00,,0.7,,,Leiria
SALIR DE MATOS,07/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,08/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,09/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,10/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,11/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,12/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,13/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,14/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,15/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,16/06/1985 09:00,,3.2,,,Leiria
SALIR DE MATOS,17/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,18/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,19/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,20/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,21/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,22/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,23/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,24/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,25/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,26/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,27/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,28/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,29/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,30/06/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,01/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,02/07/1985 09:00,,1.5,,,Leiria
SALIR DE MATOS,03/07/1985 09:00,,0.5,,,Leiria
SALIR DE MATOS,04/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,05/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,06/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,07/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,08/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,09/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,10/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,11/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,12/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,13/07/1985 09:00,,0.7,,,Leiria
SALIR DE MATOS,14/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,15/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,16/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,17/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,18/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,19/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,20/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,21/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,22/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,23/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,24/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,25/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,26/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,27/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,28/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,29/07/1985 09:00,,1.5,,,Leiria
SALIR DE MATOS,30/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,31/07/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,01/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,02/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,03/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,04/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,05/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,06/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,07/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,08/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,09/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,10/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,11/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,12/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,13/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,14/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,15/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,16/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,17/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,18/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,19/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,20/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,21/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,22/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,23/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,24/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,25/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,26/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,27/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,28/08/1985 09:00,,0.0,,,Leiria
SALIR DE MATOS,29/08/1985 09:00,,0.0,,,Leiria
