Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SALVADA,01/05/1985 09:00,,0.0,,,Beja
SALVADA,02/05/1985 09:00,,0.0,,,Beja
SALVADA,03/05/1985 09:00,,0.4,,,Beja
SALVADA,04/05/1985 09:00,,5.0,,,Beja
SALVADA,05/05/1985 09:00,,0.0,,,Beja
SALVADA,06/05/1985 09:00,,0.0,,,Beja
SALVADA,07/05/1985 09:00,,7.0,,,Beja
SALVADA,08/05/1985 09:00,,0.0,,,Beja
SALVADA,09/05/1985 09:00,,0.0,,,Beja
SALVADA,10/05/1985 09:00,,0.0,,,Beja
SALVADA,11/05/1985 09:00,,0.0,,,Beja
SALVADA,12/05/1985 09:00,,0.0,,,Beja
SALVADA,13/05/1985 09:00,,0.0,,,Beja
SALVADA,14/05/1985 09:00,,0.0,,,Beja
SALVADA,15/05/1985 09:00,,0.0,,,Beja
SALVADA,16/05/1985 09:00,,0.0,,,Beja
SALVADA,17/05/1985 09:00,,0.0,,,Beja
SALVADA,18/05/1985 09:00,,0.0,,,Beja
SALVADA,19/05/1985 09:00,,0.0,,,Beja
SALVADA,20/05/1985 09:00,,3.5,,,Beja
SALVADA,21/05/1985 09:00,,0.0,,,Beja
SALVADA,22/05/1985 09:00,,0.0,,,Beja
SALVADA,23/05/1985 09:00,,0.0,,,Beja
SALVADA,24/05/1985 09:00,,0.0,,,Beja
SALVADA,25/05/1985 09:00,,0.0,,,Beja
SALVADA,26/05/1985 09:00,,8.7,,,Beja
SALVADA,27/05/1985 09:00,,10.0,,,Beja
SALVADA,28/05/1985 09:00,,0.0,,,Beja
SALVADA,29/05/1985 09:00,,0.0,,,Beja
SALVADA,30/05/1985 09:00,,0.0,,,Beja
SALVADA,31/05/1985 09:00,,0.0,,,Beja
SALVADA,01/06/1985 09:00,,0.0,,,Beja
SALVADA,02/06/1985 09:00,,15.2,,,Beja
SALVADA,03/06/1985 09:00,,2.5,,,Beja
SALVADA,04/06/1985 09:00,,0.0,,,Beja
SALVADA,05/06/1985 09:00,,0.0,,,Beja
SALVADA,06/06/1985 09:00,,0.0,,,Beja
SALVADA,07/06/1985 09:00,,0.0,,,Beja
SALVADA,08/06/1985 09:00,,0.0,,,Beja
SALVADA,09/06/1985 09:00,,0.0,,,Beja
SALVADA,10/06/1985 09:00,,0.0,,,Beja
SALVADA,11/06/1985 09:00,,0.0,,,Beja
SALVADA,12/06/1985 09:00,,0.0,,,Beja
SALVADA,13/06/1985 09:00,,0.0,,,Beja
SALVADA,14/06/1985 09:00,,0.0,,,Beja
SALVADA,15/06/1985 09:00,,0.0,,,Beja
SALVADA,16/06/1985 09:00,,0.5,,,Beja
SALVADA,17/06/1985 09:00,,0.0,,,Beja
SALVADA,18/06/1985 09:00,,0.0,,,Beja
SALVADA,19/06/1985 09:00,,0.0,,,Beja
SALVADA,20/06/1985 09:00,,0.0,,,Beja
SALVADA,21/06/1985 09:00,,0.0,,,Beja
SALVADA,22/06/1985 09:00,,0.0,,,Beja
SALVADA,23/06/1985 09:00,,0.0,,,Beja
SALVADA,24/06/1985 09:00,,0.0,,,Beja
SALVADA,25/06/1985 09:00,,0.0,,,Beja
SALVADA,26/06/1985 09:00,,0.0,,,Beja
SALVADA,27/06/1985 09:00,,0.0,,,Beja
SALVADA,28/06/1985 09:00,,0.0,,,Beja
SALVADA,29/06/1985 09:00,,0.0,,,Beja
SALVADA,30/06/1985 09:00,,0.0,,,Beja
SALVADA,01/07/1985 09:00,,0.0,,,Beja
SALVADA,02/07/1985 09:00,,0.0,,,Beja
SALVADA,03/07/1985 09:00,,0.0,,,Beja
SALVADA,04/07/1985 09:00,,0.0,,,Beja
SALVADA,05/07/1985 09:00,,0.0,,,Beja
SALVADA,06/07/1985 09:00,,0.0,,,Beja
SALVADA,07/07/1985 09:00,,0.0,,,Beja
SALVADA,08/07/1985 09:00,,0.0,,,Beja
SALVADA,09/07/1985 09:00,,0.0,,,Beja
SALVADA,10/07/1985 09:00,,0.0,,,Beja
SALVADA,11/07/1985 09:00,,0.0,,,Beja
SALVADA,12/07/1985 09:00,,0.0,,,Beja
SALVADA,13/07/1985 09:00,,0.0,,,Beja
SALVADA,14/07/1985 09:00,,0.0,,,Beja
SALVADA,15/07/1985 09:00,,0.0,,,Beja
SALVADA,16/07/1985 09:00,,0.0,,,Beja
SALVADA,17/07/1985 09:00,,0.0,,,Beja
SALVADA,18/07/1985 09:00,,0.0,,,Beja
SALVADA,19/07/1985 09:00,,0.0,,,Beja
SALVADA,20/07/1985 09:00,,0.0,,,Beja
SALVADA,21/07/1985 09:00,,0.0,,,Beja
SALVADA,22/07/1985 09:00,,0.0,,,Beja
SALVADA,23/07/1985 09:00,,0.0,,,Beja
SALVADA,24/07/1985 09:00,,0.0,,,Beja
SALVADA,25/07/1985 09:00,,0.0,,,Beja
SALVADA,26/07/1985 09:00,,0.0,,,Beja
SALVADA,27/07/1985 09:00,,0.0,,,Beja
SALVADA,28/07/1985 09:00,,0.0,,,Beja
SALVADA,29/07/1985 09:00,,0.6,,,Beja
SALVADA,30/07/1985 09:00,,0.0,,,Beja
SALVADA,31/07/1985 09:00,,0.0,,,Beja
SALVADA,01/08/1985 09:00,,0.0,,,Beja
SALVADA,02/08/1985 09:00,,0.0,,,Beja
SALVADA,03/08/1985 09:00,,0.0,,,Beja
SALVADA,04/08/1985 09:00,,0.0,,,Beja
SALVADA,05/08/1985 09:00,,0.0,,,Beja
SALVADA,06/08/1985 09:00,,0.0,,,Beja
SALVADA,07/08/1985 09:00,,0.0,,,Beja
SALVADA,08/08/1985 09:00,,0.0,,,Beja
SALVADA,09/08/1985 09:00,,0.0,,,Beja
SALVADA,10/08/1985 09:00,,0.0,,,Beja
SALVADA,11/08/1985 09:00,,0.0,,,Beja
SALVADA,12/08/1985 09:00,,0.0,,,Beja
SALVADA,13/08/1985 09:00,,0.0,,,Beja
SALVADA,14/08/1985 09:00,,0.0,,,Beja
SALVADA,15/08/1985 09:00,,0.0,,,Beja
SALVADA,16/08/1985 09:00,,0.0,,,Beja
SALVADA,17/08/1985 09:00,,0.0,,,Beja
SALVADA,18/08/1985 09:00,,0.0,,,Beja
SALVADA,19/08/1985 09:00,,0.0,,,Beja
SALVADA,20/08/1985 09:00,,0.0,,,Beja
SALVADA,21/08/1985 09:00,,0.0,,,Beja
SALVADA,22/08/1985 09:00,,0.0,,,Beja
SALVADA,23/08/1985 09:00,,0.0,,,Beja
SALVADA,24/08/1985 09:00,,0.0,,,Beja
SALVADA,25/08/1985 09:00,,0.0,,,Beja
SALVADA,26/08/1985 09:00,,0.0,,,Beja
SALVADA,27/08/1985 09:00,,0.0,,,Beja
SALVADA,28/08/1985 09:00,,0.0,,,Beja
SALVADA,29/08/1985 09:00,,0.0,,,Beja
SALVADA,30/08/1985 09:00,,0.0,,,Beja
SALVADA,31/08/1985 09:00,,0.0,,,Beja
SALVADA,01/09/1985 09:00,,0.0,,,Beja
SALVADA,02/09/1985 09:00,,0.0,,,Beja
SALVADA,03/09/1985 09:00,,0.0,,,Beja
SALVADA,04/09/1985 09:00,,0.0,,,Beja
SALVADA,05/09/1985 09:00,,0.0,,,Beja
SALVADA,06/09/1985 09:00,,0.0,,,Beja
SALVADA,07/09/1985 09:00,,0.0,,,Beja
SALVADA,08/09/1985 09:00,,0.0,,,Beja
SALVADA,09/09/1985 09:00,,0.0,,,Beja
SALVADA,10/09/1985 09:00,,0.0,,,Beja
SALVADA,11/09/1985 09:00,,0.0,,,Beja
SALVADA,12/09/1985 09:00,,0.0,,,Beja
SALVADA,13/09/1985 09:00,,0.0,,,Beja
SALVADA,14/09/1985 09:00,,0.0,,,Beja
SALVADA,15/09/1985 09:00,,0.0,,,Beja
SALVADA,16/09/1985 09:00,,0.0,,,Beja
SALVADA,17/09/1985 09:00,,0.0,,,Beja
SALVADA,18/09/1985 09:00,,0.0,,,Beja
SALVADA,19/09/1985 09:00,,0.0,,,Beja
SALVADA,20/09/1985 09:00,,0.0,,,Beja
SALVADA,21/09/1985 09:00,,0.5,,,Beja
SALVADA,22/09/1985 09:00,,0.0,,,Beja
SALVADA,23/09/1985 09:00,,0.0,,,Beja
SALVADA,24/09/1985 09:00,,0.0,,,Beja
SALVADA,25/09/1985 09:00,,0.0,,,Beja
SALVADA,26/09/1985 09:00,,0.0,,,Beja
SALVADA,27/09/1985 09:00,,0.0,,,Beja
SALVADA,28/09/1985 09:00,,0.0,,,Beja
SALVADA,29/09/1985 09:00,,0.0,,,Beja
SALVADA,30/09/1985 09:00,,0.0,,,Beja
SALVADA,01/10/1985 09:00,,0.0,,,Beja
SALVADA,02/10/1985 09:00,,0.0,,,Beja
SALVADA,03/10/1985 09:00,,0.0,,,Beja
SALVADA,04/10/1985 09:00,,0.3,,,Beja
SALVADA,05/10/1985 09:00,,0.0,,,Beja
SALVADA,06/10/1985 09:00,,0.0,,,Beja
SALVADA,07/10/1985 09:00,,0.0,,,Beja
SALVADA,08/10/1985 09:00,,0.0,,,Beja
SALVADA,09/10/1985 09:00,,0.0,,,Beja
SALVADA,10/10/1985 09:00,,0.0,,,Beja
SALVADA,11/10/1985 09:00,,0.0,,,Beja
SALVADA,12/10/1985 09:00,,0.0,,,Beja
SALVADA,13/10/1985 09:00,,0.0,,,Beja
SALVADA,14/10/1985 09:00,,0.0,,,Beja
SALVADA,15/10/1985 09:00,,0.0,,,Beja
SALVADA,16/10/1985 09:00,,0.0,,,Beja
SALVADA,17/10/1985 09:00,,0.0,,,Beja
SALVADA,18/10/1985 09:00,,0.0,,,Beja
SALVADA,19/10/1985 09:00,,0.0,,,Beja
SALVADA,20/10/1985 09:00,,0.0,,,Beja
SALVADA,21/10/1985 09:00,,0.0,,,Beja
SALVADA,22/10/1985 09:00,,0.0,,,Beja
SALVADA,23/10/1985 09:00,,0.0,,,Beja
SALVADA,24/10/1985 09:00,,0.0,,,Beja
SALVADA,25/10/1985 09:00,,0.0,,,Beja
SALVADA,26/10/1985 09:00,,0.0,,,Beja
SALVADA,27/10/1985 09:00,,0.0,,,Beja
SALVADA,28/10/1985 09:00,,0.0,,,Beja
SALVADA,29/10/1985 09:00,,0.0,,,Beja
SALVADA,30/10/1985 09:00,,0.0,,,Beja
SALVADA,31/10/1985 09:00,,0.0,,,Beja
SALVADA,01/11/1985 09:00,,0.0,,,Beja
SALVADA,02/11/1985 09:00,,0.5,,,Beja
SALVADA,03/11/1985 09:00,,0.0,,,Beja
SALVADA,04/11/1985 09:00,,0.3,,,Beja
SALVADA,05/11/1985 09:00,,18.0,,,Beja
SALVADA,06/11/1985 09:00,,0.0,,,Beja
SALVADA,07/11/1985 09:00,,0.0,,,Beja
SALVADA,08/11/1985 09:00,,0.0,,,Beja
SALVADA,09/11/1985 09:00,,0.0,,,Beja
SALVADA,10/11/1985 09:00,,0.0,,,Beja
SALVADA,11/11/1985 09:00,,0.0,,,Beja
SALVADA,12/11/1985 09:00,,0.0,,,Beja
SALVADA,13/11/1985 09:00,,0.0,,,Beja
SALVADA,14/11/1985 09:00,,0.0,,,Beja
SALVADA,15/11/1985 09:00,,0.0,,,Beja
SALVADA,16/11/1985 09:00,,0.0,,,Beja
SALVADA,17/11/1985 09:00,,0.0,,,Beja
SALVADA,18/11/1985 09:00,,0.0,,,Beja
SALVADA,19/11/1985 09:00,,0.0,,,Beja
SALVADA,20/11/1985 09:00,,0.0,,,Beja
SALVADA,21/11/1985 09:00,,0.0,,,Beja
SALVADA,22/11/1985 09:00,,0.0,,,Beja
SALVADA,23/11/1985 09:00,,0.0,,,Beja
SALVADA,24/11/1985 09:00,,0.0,,,Beja
SALVADA,25/11/1985 09:00,,3.0,,,Beja
SALVADA,26/11/1985 09:00,,0.0,,,Beja
SALVADA,27/11/1985 09:00,,0.0,,,Beja
SALVADA,28/11/1985 09:00,,0.0,,,Beja
SALVADA,29/11/1985 09:00,,0.0,,,Beja
SALVADA,30/11/1985 09:00,,0.0,,,Beja
SALVADA,01/12/1985 09:00,,0.0,,,Beja
SALVADA,02/12/1985 09:00,,0.0,,,Beja
SALVADA,03/12/1985 09:00,,0.0,,,Beja
SALVADA,04/12/1985 09:00,,0.0,,,Beja
SALVADA,05/12/1985 09:00,,9.5,,,Beja
SALVADA,06/12/1985 09:00,,0.0,,,Beja
SALVADA,07/12/1985 09:00,,0.3,,,Beja
SALVADA,08/12/1985 09:00,,6.5,,,Beja
SALVADA,09/12/1985 09:00,,0.0,,,Beja
SALVADA,10/12/1985 09:00,,0.5,,,Beja
SALVADA,11/12/1985 09:00,,4.4,,,Beja
SALVADA,12/12/1985 09:00,,0.0,,,Beja
SALVADA,13/12/1985 09:00,,0.0,,,Beja
SALVADA,14/12/1985 09:00,,0.0,,,Beja
SALVADA,15/12/1985 09:00,,0.0,,,Beja
SALVADA,16/12/1985 09:00,,0.0,,,Beja
SALVADA,17/12/1985 09:00,,0.0,,,Beja
