Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SANTA MARTA DA MONTANHA,01/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,02/05/1985 09:00,,4.5,,,Vila Real
SANTA MARTA DA MONTANHA,03/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,04/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,05/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,06/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,07/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,08/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,09/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,10/05/1985 09:00,,5.4,,,Vila Real
SANTA MARTA DA MONTANHA,11/05/1985 09:00,,27.7,,,Vila Real
SANTA MARTA DA MONTANHA,12/05/1985 09:00,,3.8,,,Vila Real
SANTA MARTA DA MONTANHA,13/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,14/05/1985 09:00,,2.5,,,Vila Real
SANTA MARTA DA MONTANHA,15/05/1985 09:00,,12.1,,,Vila Real
SANTA MARTA DA MONTANHA,16/05/1985 09:00,,14.8,,,Vila Real
SANTA MARTA DA MONTANHA,17/05/1985 09:00,,11.3,,,Vila Real
SANTA MARTA DA MONTANHA,18/05/1985 09:00,,8.6,,,Vila Real
SANTA MARTA DA MONTANHA,19/05/1985 09:00,,1.3,,,Vila Real
SANTA MARTA DA MONTANHA,20/05/1985 09:00,,4.5,,,Vila Real
SANTA MARTA DA MONTANHA,21/05/1985 09:00,,8.5,,,Vila Real
SANTA MARTA DA MONTANHA,22/05/1985 09:00,,3.2,,,Vila Real
SANTA MARTA DA MONTANHA,23/05/1985 09:00,,0.3,,,Vila Real
SANTA MARTA DA MONTANHA,24/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,25/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,26/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,27/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,28/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,29/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,30/05/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,31/05/1985 09:00,,0.7,,,Vila Real
SANTA MARTA DA MONTANHA,01/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,02/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,03/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,04/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,05/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,06/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,07/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,08/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,09/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,10/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,11/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,12/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,13/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,14/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,15/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,16/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,17/06/1985 09:00,,1.5,,,Vila Real
SANTA MARTA DA MONTANHA,18/06/1985 09:00,,4.1,,,Vila Real
SANTA MARTA DA MONTANHA,19/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,20/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,21/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,22/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,23/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,24/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,25/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,26/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,27/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,28/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,29/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,30/06/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,01/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,02/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,03/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,04/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,05/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,06/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,07/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,08/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,09/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,10/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,11/07/1985 09:00,,2.5,,,Vila Real
SANTA MARTA DA MONTANHA,12/07/1985 09:00,,20.7,,,Vila Real
SANTA MARTA DA MONTANHA,13/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,14/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,15/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,16/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,17/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,18/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,19/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,20/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,21/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,22/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,23/07/1985 09:00,,0.4,,,Vila Real
SANTA MARTA DA MONTANHA,24/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,25/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,26/07/1985 09:00,,6.3,,,Vila Real
SANTA MARTA DA MONTANHA,27/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,28/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,29/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,30/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,31/07/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,01/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,02/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,03/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,04/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,05/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,06/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,07/08/1985 09:00,,0.0,,,Vila Real
SANTA MARTA DA MONTANHA,08/08/1985 09:00,,0.0,,,Vila Real
