Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SANTIAGO MAIOR,01/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,02/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,03/05/1985 09:00,,6.5,,,Portalegre
SANTIAGO MAIOR,04/05/1985 09:00,,0.3,,,Portalegre
SANTIAGO MAIOR,05/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,06/05/1985 09:00,,2.2,,,Portalegre
SANTIAGO MAIOR,07/05/1985 09:00,,23.6,,,Portalegre
SANTIAGO MAIOR,08/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,09/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,10/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,11/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,12/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,13/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,14/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,15/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,16/05/1985 09:00,,2.6,,,Portalegre
SANTIAGO MAIOR,17/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,18/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,19/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,20/05/1985 09:00,,9.5,,,Portalegre
SANTIAGO MAIOR,21/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,22/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,23/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,24/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,25/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,26/05/1985 09:00,,4.0,,,Portalegre
SANTIAGO MAIOR,27/05/1985 09:00,,1.8,,,Portalegre
SANTIAGO MAIOR,28/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,29/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,30/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,31/05/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,01/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,02/06/1985 09:00,,1.2,,,Portalegre
SANTIAGO MAIOR,03/06/1985 09:00,,3.3,,,Portalegre
SANTIAGO MAIOR,04/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,05/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,06/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,07/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,08/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,09/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,10/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,11/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,12/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,13/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,14/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,15/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,16/06/1985 09:00,,0.5,,,Portalegre
SANTIAGO MAIOR,17/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,18/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,19/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,20/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,21/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,22/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,23/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,24/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,25/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,26/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,27/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,28/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,29/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,30/06/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,01/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,02/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,03/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,04/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,05/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,06/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,07/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,08/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,09/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,10/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,11/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,12/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,13/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,14/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,15/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,16/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,17/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,18/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,19/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,20/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,21/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,22/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,23/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,24/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,25/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,26/07/1985 09:00,,0.0,,,Portalegre
SANTIAGO MAIOR,27/07/1985 09:00,,0.0,,,Portalegre
