Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SANTO VARÃO,01/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,02/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,03/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,04/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,05/05/1985 09:00,,0.6,,,Coimbra
SANTO VARÃO,06/05/1985 09:00,,7.6,,,Coimbra
SANTO VARÃO,07/05/1985 09:00,,0.9,,,Coimbra
SANTO VARÃO,08/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,09/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,10/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,11/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,12/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,13/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,14/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,15/05/1985 09:00,,1.6,,,Coimbra
SANTO VARÃO,16/05/1985 09:00,,7.8,,,Coimbra
SANTO VARÃO,17/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,18/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,19/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,20/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,21/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,22/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,23/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,24/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,25/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,26/05/1985 09:00,,7.8,,,Coimbra
SANTO VARÃO,27/05/1985 09:00,,30.5,,,Coimbra
SANTO VARÃO,28/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,29/05/1985 09:00,,0.0,,,Coimbra
SANTO VARÃO,30/05/1985 09:00,,2.2,,,Coimbra
SANTO VARÃO,31/05/1985 09:00,,8.0,,,Coimbra
SANTO VARÃO,01/06/1985 09:00,,18.3,,,Coimbra
SANTO VARÃO,02/06/1985 09:00,,5.0,,,Coimbra
