Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SÃO BARNABÉ,01/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,02/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,03/05/1985 09:00,,4.0,,,Beja
SÃO BARNABÉ,04/05/1985 09:00,,2.0,,,Beja
SÃO BARNABÉ,05/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,06/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,07/05/1985 09:00,,7.0,,,Beja
SÃO BARNABÉ,08/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,09/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,10/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,11/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,12/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,13/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,14/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,15/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,16/05/1985 09:00,,2.0,,,Beja
SÃO BARNABÉ,17/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,18/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,19/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,20/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,21/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,22/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,23/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,24/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,25/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,26/05/1985 09:00,,6.0,,,Beja
SÃO BARNABÉ,27/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,28/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,29/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,30/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,31/05/1985 09:00,,0.0,,,Beja
SÃO BARNABÉ,01/06/1985 09:00,,0.0,,,Beja
