Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SÃO BENTO DA PORTA ABERTA,01/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/05/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/06/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/07/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/08/1985 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/08/1985 09:00,,,,,Braga
