Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SÃO BRÁS DE ALPORTEL,01/05/1985 09:00,69.0,0.0,18.5,,Faro
SÃO BRÁS DE ALPORTEL,02/05/1985 09:00,78.0,0.5,16.05,,Faro
SÃO BRÁS DE ALPORTEL,03/05/1985 09:00,82.0,2.4,14.35,,Faro
SÃO BRÁS DE ALPORTEL,04/05/1985 09:00,88.0,2.5,15.4,,Faro
SÃO BRÁS DE ALPORTEL,05/05/1985 09:00,87.0,0.0,15.4,,Faro
SÃO BRÁS DE ALPORTEL,06/05/1985 09:00,86.0,0.1,11.95,,Faro
SÃO BRÁS DE ALPORTEL,07/05/1985 09:00,78.0,5.7,10.45,,Faro
SÃO BRÁS DE ALPORTEL,08/05/1985 09:00,79.0,0.0,12.25,,Faro
SÃO BRÁS DE ALPORTEL,09/05/1985 09:00,94.0,0.0,14.0,,Faro
SÃO BRÁS DE ALPORTEL,10/05/1985 09:00,77.0,0.0,17.35,,Faro
SÃO BRÁS DE ALPORTEL,11/05/1985 09:00,60.0,0.0,16.25,,Faro
SÃO BRÁS DE ALPORTEL,12/05/1985 09:00,63.0,0.0,16.45,,Faro
SÃO BRÁS DE ALPORTEL,13/05/1985 09:00,87.0,0.0,14.75,,Faro
SÃO BRÁS DE ALPORTEL,14/05/1985 09:00,80.0,0.0,13.7,,Faro
SÃO BRÁS DE ALPORTEL,15/05/1985 09:00,81.0,0.0,12.75,,Faro
SÃO BRÁS DE ALPORTEL,16/05/1985 09:00,93.0,2.0,12.4,,Faro
SÃO BRÁS DE ALPORTEL,17/05/1985 09:00,94.0,0.0,12.75,,Faro
SÃO BRÁS DE ALPORTEL,18/05/1985 09:00,94.0,0.0,16.3,,Faro
SÃO BRÁS DE ALPORTEL,19/05/1985 09:00,89.0,0.0,17.6,,Faro
SÃO BRÁS DE ALPORTEL,20/05/1985 09:00,94.0,0.0,16.35,,Faro
SÃO BRÁS DE ALPORTEL,21/05/1985 09:00,75.0,0.0,16.65,,Faro
SÃO BRÁS DE ALPORTEL,22/05/1985 09:00,75.0,0.0,15.15,,Faro
SÃO BRÁS DE ALPORTEL,23/05/1985 09:00,75.0,0.0,15.0,,Faro
SÃO BRÁS DE ALPORTEL,24/05/1985 09:00,81.0,0.0,14.05,,Faro
SÃO BRÁS DE ALPORTEL,25/05/1985 09:00,88.0,0.0,15.1,,Faro
SÃO BRÁS DE ALPORTEL,26/05/1985 09:00,95.0,2.5,16.3,,Faro
SÃO BRÁS DE ALPORTEL,27/05/1985 09:00,94.0,1.6,15.9,,Faro
SÃO BRÁS DE ALPORTEL,28/05/1985 09:00,77.0,0.0,15.95,,Faro
SÃO BRÁS DE ALPORTEL,29/05/1985 09:00,72.0,0.0,17.5,,Faro
SÃO BRÁS DE ALPORTEL,30/05/1985 09:00,89.0,0.0,18.6,,Faro
SÃO BRÁS DE ALPORTEL,31/05/1985 09:00,89.0,0.0,17.95,,Faro
SÃO BRÁS DE ALPORTEL,01/06/1985 09:00,89.0,0.0,17.5,,Faro
SÃO BRÁS DE ALPORTEL,02/06/1985 09:00,95.0,0.2,17.0,,Faro
SÃO BRÁS DE ALPORTEL,03/06/1985 09:00,94.0,0.0,16.65,,Faro
SÃO BRÁS DE ALPORTEL,04/06/1985 09:00,88.0,0.0,16.55,,Faro
SÃO BRÁS DE ALPORTEL,05/06/1985 09:00,100.0,6.6,16.45,,Faro
SÃO BRÁS DE ALPORTEL,06/06/1985 09:00,100.0,0.1,16.4,,Faro
SÃO BRÁS DE ALPORTEL,07/06/1985 09:00,78.0,0.0,16.95,,Faro
SÃO BRÁS DE ALPORTEL,08/06/1985 09:00,84.0,0.0,18.35,,Faro
SÃO BRÁS DE ALPORTEL,09/06/1985 09:00,69.0,0.0,19.75,,Faro
SÃO BRÁS DE ALPORTEL,10/06/1985 09:00,76.0,0.0,21.7,,Faro
SÃO BRÁS DE ALPORTEL,11/06/1985 09:00,67.0,0.0,22.9,,Faro
SÃO BRÁS DE ALPORTEL,12/06/1985 09:00,63.0,0.0,23.9,,Faro
SÃO BRÁS DE ALPORTEL,13/06/1985 09:00,78.0,0.0,19.75,,Faro
SÃO BRÁS DE ALPORTEL,14/06/1985 09:00,89.0,0.0,19.45,,Faro
SÃO BRÁS DE ALPORTEL,15/06/1985 09:00,78.0,0.0,19.35,,Faro
SÃO BRÁS DE ALPORTEL,16/06/1985 09:00,76.0,0.0,20.25,,Faro
SÃO BRÁS DE ALPORTEL,17/06/1985 09:00,64.0,0.0,22.25,,Faro
SÃO BRÁS DE ALPORTEL,18/06/1985 09:00,73.0,0.0,25.75,,Faro
SÃO BRÁS DE ALPORTEL,19/06/1985 09:00,74.0,12.6,18.45,,Faro
SÃO BRÁS DE ALPORTEL,20/06/1985 09:00,74.0,0.0,20.85,,Faro
SÃO BRÁS DE ALPORTEL,21/06/1985 09:00,45.0,0.0,21.85,,Faro
SÃO BRÁS DE ALPORTEL,22/06/1985 09:00,73.0,0.0,21.3,,Faro
SÃO BRÁS DE ALPORTEL,23/06/1985 09:00,52.0,0.0,21.6,,Faro
SÃO BRÁS DE ALPORTEL,24/06/1985 09:00,85.0,0.0,22.0,,Faro
SÃO BRÁS DE ALPORTEL,25/06/1985 09:00,81.0,0.0,22.35,,Faro
SÃO BRÁS DE ALPORTEL,26/06/1985 09:00,73.0,0.0,22.85,,Faro
SÃO BRÁS DE ALPORTEL,27/06/1985 09:00,46.0,0.0,25.25,,Faro
SÃO BRÁS DE ALPORTEL,28/06/1985 09:00,53.0,0.0,26.7,,Faro
SÃO BRÁS DE ALPORTEL,29/06/1985 09:00,64.0,0.0,24.75,,Faro
SÃO BRÁS DE ALPORTEL,30/06/1985 09:00,91.0,0.0,24.25,,Faro
SÃO BRÁS DE ALPORTEL,01/07/1985 09:00,86.0,0.0,18.85,,Faro
SÃO BRÁS DE ALPORTEL,02/07/1985 09:00,84.0,0.0,21.65,,Faro
SÃO BRÁS DE ALPORTEL,03/07/1985 09:00,79.0,9.7,18.5,,Faro
SÃO BRÁS DE ALPORTEL,04/07/1985 09:00,84.0,0.0,20.05,,Faro
SÃO BRÁS DE ALPORTEL,05/07/1985 09:00,65.0,0.0,22.35,,Faro
SÃO BRÁS DE ALPORTEL,06/07/1985 09:00,50.0,0.0,24.95,,Faro
SÃO BRÁS DE ALPORTEL,07/07/1985 09:00,71.0,0.0,26.2,,Faro
SÃO BRÁS DE ALPORTEL,08/07/1985 09:00,74.0,0.0,25.95,,Faro
SÃO BRÁS DE ALPORTEL,09/07/1985 09:00,89.0,0.0,23.4,,Faro
SÃO BRÁS DE ALPORTEL,10/07/1985 09:00,76.0,0.0,23.1,,Faro
SÃO BRÁS DE ALPORTEL,11/07/1985 09:00,72.0,0.0,24.25,,Faro
SÃO BRÁS DE ALPORTEL,12/07/1985 09:00,68.0,0.0,23.35,,Faro
SÃO BRÁS DE ALPORTEL,13/07/1985 09:00,54.0,0.0,24.55,,Faro
SÃO BRÁS DE ALPORTEL,14/07/1985 09:00,70.0,0.0,23.0,,Faro
SÃO BRÁS DE ALPORTEL,15/07/1985 09:00,71.0,0.0,25.3,,Faro
SÃO BRÁS DE ALPORTEL,16/07/1985 09:00,61.0,0.0,24.1,,Faro
SÃO BRÁS DE ALPORTEL,17/07/1985 09:00,50.0,0.0,24.1,,Faro
SÃO BRÁS DE ALPORTEL,18/07/1985 09:00,71.0,0.0,24.0,,Faro
SÃO BRÁS DE ALPORTEL,19/07/1985 09:00,85.0,0.0,24.75,,Faro
SÃO BRÁS DE ALPORTEL,20/07/1985 09:00,53.0,0.0,24.25,,Faro
SÃO BRÁS DE ALPORTEL,21/07/1985 09:00,59.0,0.0,26.2,,Faro
SÃO BRÁS DE ALPORTEL,22/07/1985 09:00,73.0,0.0,26.05,,Faro
SÃO BRÁS DE ALPORTEL,23/07/1985 09:00,59.0,0.0,27.45,,Faro
