Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SÃO MARTINHO DAS MOITAS,01/05/1985 09:00,,4.0,,,Viseu
SÃO MARTINHO DAS MOITAS,02/05/1985 09:00,,9.0,,,Viseu
SÃO MARTINHO DAS MOITAS,03/05/1985 09:00,,5.5,,,Viseu
SÃO MARTINHO DAS MOITAS,04/05/1985 09:00,,7.3,,,Viseu
SÃO MARTINHO DAS MOITAS,05/05/1985 09:00,,10.0,,,Viseu
SÃO MARTINHO DAS MOITAS,06/05/1985 09:00,,18.2,,,Viseu
SÃO MARTINHO DAS MOITAS,07/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,08/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,09/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,10/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,11/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,12/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,13/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,14/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,15/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,16/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,17/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,18/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,19/05/1985 09:00,,2.5,,,Viseu
SÃO MARTINHO DAS MOITAS,20/05/1985 09:00,,7.8,,,Viseu
SÃO MARTINHO DAS MOITAS,21/05/1985 09:00,,15.5,,,Viseu
SÃO MARTINHO DAS MOITAS,22/05/1985 09:00,,10.0,,,Viseu
SÃO MARTINHO DAS MOITAS,23/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,24/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,25/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,26/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,27/05/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,28/05/1985 09:00,,5.0,,,Viseu
SÃO MARTINHO DAS MOITAS,29/05/1985 09:00,,16.3,,,Viseu
SÃO MARTINHO DAS MOITAS,30/05/1985 09:00,,20.0,,,Viseu
SÃO MARTINHO DAS MOITAS,31/05/1985 09:00,,19.0,,,Viseu
SÃO MARTINHO DAS MOITAS,01/06/1985 09:00,,13.6,,,Viseu
SÃO MARTINHO DAS MOITAS,02/06/1985 09:00,,17.0,,,Viseu
SÃO MARTINHO DAS MOITAS,03/06/1985 09:00,,19.5,,,Viseu
SÃO MARTINHO DAS MOITAS,04/06/1985 09:00,,14.0,,,Viseu
SÃO MARTINHO DAS MOITAS,05/06/1985 09:00,,10.0,,,Viseu
SÃO MARTINHO DAS MOITAS,06/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,07/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,08/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,09/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,10/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,11/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,12/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,13/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,14/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,15/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,16/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,17/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,18/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,19/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,20/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,21/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,22/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,23/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,24/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,25/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,26/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,27/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,28/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,29/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,30/06/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,01/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,02/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,03/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,04/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,05/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,06/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,07/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,08/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,09/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,10/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,11/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,12/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,13/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,14/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,15/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,16/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,17/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,18/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,19/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,20/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,21/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,22/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,23/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,24/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,25/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,26/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,27/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,28/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,29/07/1985 09:00,,9.5,,,Viseu
SÃO MARTINHO DAS MOITAS,30/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,31/07/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,01/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,02/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,03/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,04/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,05/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,06/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,07/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,08/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,09/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,10/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,11/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,12/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,13/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,14/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,15/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,16/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,17/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,18/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,19/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,20/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,21/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,22/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,23/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,24/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,25/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,26/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,27/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,28/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,29/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,30/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,31/08/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,01/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,02/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,03/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,04/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,05/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,06/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,07/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,08/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,09/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,10/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,11/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,12/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,13/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,14/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,15/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,16/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,17/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,18/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,19/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,20/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,21/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,22/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,23/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,24/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,25/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,26/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,27/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,28/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,29/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,30/09/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,01/10/1985 09:00,,10.5,,,Viseu
SÃO MARTINHO DAS MOITAS,02/10/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,03/10/1985 09:00,,0.0,,,Viseu
SÃO MARTINHO DAS MOITAS,04/10/1985 09:00,,3.0,,,Viseu
