Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
URRA,01/05/1985 09:00,,,,,Coimbra
URRA,02/05/1985 09:00,,,,,Coimbra
URRA,03/05/1985 09:00,,,,,Coimbra
URRA,04/05/1985 09:00,,,,,Coimbra
URRA,05/05/1985 09:00,,,,,Coimbra
URRA,06/05/1985 09:00,,,,,Coimbra
URRA,07/05/1985 09:00,,,,,Coimbra
URRA,08/05/1985 09:00,,,,,Coimbra
URRA,09/05/1985 09:00,,,,,Coimbra
URRA,10/05/1985 09:00,,,,,Coimbra
URRA,11/05/1985 09:00,,,,,Coimbra
URRA,12/05/1985 09:00,,,,,Coimbra
URRA,13/05/1985 09:00,,,,,Coimbra
URRA,14/05/1985 09:00,,,,,Coimbra
URRA,15/05/1985 09:00,,,,,Coimbra
URRA,16/05/1985 09:00,,,,,Coimbra
URRA,17/05/1985 09:00,,,,,Coimbra
URRA,18/05/1985 09:00,,,,,Coimbra
URRA,19/05/1985 09:00,,,,,Coimbra
URRA,20/05/1985 09:00,,,,,Coimbra
URRA,21/05/1985 09:00,,,,,Coimbra
URRA,22/05/1985 09:00,,,,,Coimbra
URRA,23/05/1985 09:00,,,,,Coimbra
URRA,24/05/1985 09:00,,,,,Coimbra
URRA,25/05/1985 09:00,,,,,Coimbra
URRA,26/05/1985 09:00,,,,,Coimbra
URRA,27/05/1985 09:00,,,,,Coimbra
URRA,28/05/1985 09:00,,,,,Coimbra
URRA,29/05/1985 09:00,,,,,Coimbra
URRA,30/05/1985 09:00,,,,,Coimbra
URRA,31/05/1985 09:00,,,,,Coimbra
URRA,01/06/1985 09:00,,,,,Coimbra
URRA,02/06/1985 09:00,,,,,Coimbra
URRA,03/06/1985 09:00,,,,,Coimbra
URRA,04/06/1985 09:00,,,,,Coimbra
URRA,05/06/1985 09:00,,,,,Coimbra
URRA,06/06/1985 09:00,,,,,Coimbra
URRA,07/06/1985 09:00,,,,,Coimbra
URRA,08/06/1985 09:00,,,,,Coimbra
URRA,09/06/1985 09:00,,,,,Coimbra
URRA,10/06/1985 09:00,,,,,Coimbra
URRA,11/06/1985 09:00,,,,,Coimbra
URRA,12/06/1985 09:00,,,,,Coimbra
URRA,13/06/1985 09:00,,,,,Coimbra
URRA,14/06/1985 09:00,,,,,Coimbra
URRA,15/06/1985 09:00,,,,,Coimbra
URRA,16/06/1985 09:00,,,,,Coimbra
URRA,17/06/1985 09:00,,,,,Coimbra
URRA,18/06/1985 09:00,,,,,Coimbra
URRA,19/06/1985 09:00,,,,,Coimbra
URRA,20/06/1985 09:00,,,,,Coimbra
URRA,21/06/1985 09:00,,,,,Coimbra
URRA,22/06/1985 09:00,,,,,Coimbra
URRA,23/06/1985 09:00,,,,,Coimbra
URRA,24/06/1985 09:00,,,,,Coimbra
URRA,25/06/1985 09:00,,,,,Coimbra
URRA,26/06/1985 09:00,,,,,Coimbra
URRA,27/06/1985 09:00,,,,,Coimbra
URRA,28/06/1985 09:00,,,,,Coimbra
URRA,29/06/1985 09:00,,,,,Coimbra
URRA,30/06/1985 09:00,,,,,Coimbra
URRA,01/07/1985 09:00,,,,,Coimbra
URRA,02/07/1985 09:00,,,,,Coimbra
URRA,03/07/1985 09:00,,,,,Coimbra
URRA,04/07/1985 09:00,,,,,Coimbra
URRA,05/07/1985 09:00,,,,,Coimbra
URRA,06/07/1985 09:00,,,,,Coimbra
URRA,07/07/1985 09:00,,,,,Coimbra
URRA,08/07/1985 09:00,,,,,Coimbra
URRA,09/07/1985 09:00,,,,,Coimbra
URRA,10/07/1985 09:00,,,,,Coimbra
URRA,11/07/1985 09:00,,,,,Coimbra
URRA,12/07/1985 09:00,,,,,Coimbra
URRA,13/07/1985 09:00,,,,,Coimbra
URRA,14/07/1985 09:00,,,,,Coimbra
URRA,15/07/1985 09:00,,,,,Coimbra
URRA,16/07/1985 09:00,,,,,Coimbra
URRA,17/07/1985 09:00,,,,,Coimbra
URRA,18/07/1985 09:00,,,,,Coimbra
URRA,19/07/1985 09:00,,,,,Coimbra
URRA,20/07/1985 09:00,,,,,Coimbra
URRA,21/07/1985 09:00,,,,,Coimbra
URRA,22/07/1985 09:00,,,,,Coimbra
URRA,23/07/1985 09:00,,,,,Coimbra
URRA,24/07/1985 09:00,,,,,Coimbra
URRA,25/07/1985 09:00,,,,,Coimbra
URRA,26/07/1985 09:00,,,,,Coimbra
URRA,27/07/1985 09:00,,,,,Coimbra
URRA,28/07/1985 09:00,,,,,Coimbra
URRA,29/07/1985 09:00,,,,,Coimbra
URRA,30/07/1985 09:00,,,,,Coimbra
URRA,31/07/1985 09:00,,,,,Coimbra
URRA,01/08/1985 09:00,,,,,Coimbra
URRA,02/08/1985 09:00,,,,,Coimbra
URRA,03/08/1985 09:00,,,,,Coimbra
URRA,04/08/1985 09:00,,,,,Coimbra
URRA,05/08/1985 09:00,,,,,Coimbra
URRA,06/08/1985 09:00,,,,,Coimbra
URRA,07/08/1985 09:00,,,,,Coimbra
URRA,08/08/1985 09:00,,,,,Coimbra
URRA,09/08/1985 09:00,,,,,Coimbra
URRA,10/08/1985 09:00,,,,,Coimbra
URRA,11/08/1985 09:00,,,,,Coimbra
URRA,12/08/1985 09:00,,,,,Coimbra
URRA,13/08/1985 09:00,,,,,Coimbra
URRA,14/08/1985 09:00,,,,,Coimbra
URRA,15/08/1985 09:00,,,,,Coimbra
URRA,16/08/1985 09:00,,,,,Coimbra
URRA,17/08/1985 09:00,,,,,Coimbra
URRA,18/08/1985 09:00,,,,,Coimbra
URRA,19/08/1985 09:00,,,,,Coimbra
URRA,20/08/1985 09:00,,,,,Coimbra
URRA,21/08/1985 09:00,,,,,Coimbra
URRA,22/08/1985 09:00,,,,,Coimbra
URRA,23/08/1985 09:00,,,,,Coimbra
URRA,24/08/1985 09:00,,,,,Coimbra
URRA,25/08/1985 09:00,,,,,Coimbra
URRA,26/08/1985 09:00,,,,,Coimbra
URRA,27/08/1985 09:00,,,,,Coimbra
URRA,28/08/1985 09:00,,,,,Coimbra
URRA,29/08/1985 09:00,,,,,Coimbra
URRA,30/08/1985 09:00,,,,,Coimbra
URRA,31/08/1985 09:00,,,,,Coimbra
URRA,01/09/1985 09:00,,,,,Coimbra
URRA,02/09/1985 09:00,,,,,Coimbra
URRA,03/09/1985 09:00,,,,,Coimbra
URRA,04/09/1985 09:00,,,,,Coimbra
URRA,05/09/1985 09:00,,,,,Coimbra
URRA,06/09/1985 09:00,,,,,Coimbra
URRA,07/09/1985 09:00,,,,,Coimbra
URRA,08/09/1985 09:00,,,,,Coimbra
URRA,09/09/1985 09:00,,,,,Coimbra
URRA,10/09/1985 09:00,,,,,Coimbra
URRA,11/09/1985 09:00,,,,,Coimbra
URRA,12/09/1985 09:00,,,,,Coimbra
URRA,13/09/1985 09:00,,,,,Coimbra
URRA,14/09/1985 09:00,,,,,Coimbra
URRA,15/09/1985 09:00,,,,,Coimbra
URRA,16/09/1985 09:00,,,,,Coimbra
URRA,17/09/1985 09:00,,,,,Coimbra
URRA,18/09/1985 09:00,,,,,Coimbra
