Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
VALE DE BARRIGA,01/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,02/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,03/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,04/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,05/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,06/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,07/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,08/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,09/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,10/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,11/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,12/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,13/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,14/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,15/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,16/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,17/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,18/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,19/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,20/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,21/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,22/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,23/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,24/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,25/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,26/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,27/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,28/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,29/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,30/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,31/05/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,01/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,02/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,03/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,04/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,05/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,06/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,07/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,08/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,09/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,10/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,11/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,12/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,13/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,14/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,15/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,16/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,17/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,18/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,19/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,20/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,21/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,22/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,23/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,24/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,25/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,26/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,27/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,28/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,29/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,30/06/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,01/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,02/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,03/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,04/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,05/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,06/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,07/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,08/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,09/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,10/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,11/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,12/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,13/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,14/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,15/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,16/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,17/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,18/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,19/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,20/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,21/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,22/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,23/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,24/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,25/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,26/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,27/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,28/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,29/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,30/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,31/07/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,01/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,02/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,03/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,04/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,05/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,06/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,07/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,08/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,09/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,10/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,11/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,12/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,13/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,14/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,15/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,16/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,17/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,18/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,19/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,20/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,21/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,22/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,23/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,24/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,25/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,26/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,27/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,28/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,29/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,30/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,31/08/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,01/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,02/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,03/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,04/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,05/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,06/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,07/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,08/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,09/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,10/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,11/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,12/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,13/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,14/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,15/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,16/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,17/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,18/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,19/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,20/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,21/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,22/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,23/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,24/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,25/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,26/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,27/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,28/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,29/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,30/09/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,01/10/1985 09:00,,,,,Setúbal
VALE DE BARRIGA,02/10/1985 09:00,,,,,Setúbal
