Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
VALE DE CAMELOS,01/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,02/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,03/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,04/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,05/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,06/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,07/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,08/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,09/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,10/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,11/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,12/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,13/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,14/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,15/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,16/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,17/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,18/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,19/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,20/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,21/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,22/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,23/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,24/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,25/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,26/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,27/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,28/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,29/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,30/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,31/05/1985 09:00,,,,,Beja
VALE DE CAMELOS,01/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,02/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,03/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,04/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,05/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,06/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,07/06/1985 09:00,,,,,Beja
VALE DE CAMELOS,08/06/1985 09:00,,,,,Beja
