Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
VIDAGO,01/05/1985 09:00,,,,,Vila Real
VIDAGO,02/05/1985 09:00,,,,,Vila Real
VIDAGO,03/05/1985 09:00,,,,,Vila Real
VIDAGO,04/05/1985 09:00,,,,,Vila Real
VIDAGO,05/05/1985 09:00,,,,,Vila Real
VIDAGO,06/05/1985 09:00,,,,,Vila Real
VIDAGO,07/05/1985 09:00,,,,,Vila Real
VIDAGO,08/05/1985 09:00,,,,,Vila Real
VIDAGO,09/05/1985 09:00,,,,,Vila Real
VIDAGO,10/05/1985 09:00,,,,,Vila Real
VIDAGO,11/05/1985 09:00,,,,,Vila Real
VIDAGO,12/05/1985 09:00,,,,,Vila Real
VIDAGO,13/05/1985 09:00,,,,,Vila Real
VIDAGO,14/05/1985 09:00,,,,,Vila Real
VIDAGO,15/05/1985 09:00,,,,,Vila Real
VIDAGO,16/05/1985 09:00,,,,,Vila Real
VIDAGO,17/05/1985 09:00,,,,,Vila Real
VIDAGO,18/05/1985 09:00,,,,,Vila Real
VIDAGO,19/05/1985 09:00,,,,,Vila Real
VIDAGO,20/05/1985 09:00,,,,,Vila Real
VIDAGO,21/05/1985 09:00,,,,,Vila Real
VIDAGO,22/05/1985 09:00,,,,,Vila Real
VIDAGO,23/05/1985 09:00,,,,,Vila Real
VIDAGO,24/05/1985 09:00,,,,,Vila Real
VIDAGO,25/05/1985 09:00,,,,,Vila Real
VIDAGO,26/05/1985 09:00,,,,,Vila Real
VIDAGO,27/05/1985 09:00,,,,,Vila Real
VIDAGO,28/05/1985 09:00,,,,,Vila Real
VIDAGO,29/05/1985 09:00,,,,,Vila Real
VIDAGO,30/05/1985 09:00,,,,,Vila Real
VIDAGO,31/05/1985 09:00,,,,,Vila Real
VIDAGO,01/06/1985 09:00,,,,,Vila Real
VIDAGO,02/06/1985 09:00,,,,,Vila Real
VIDAGO,03/06/1985 09:00,,,,,Vila Real
VIDAGO,04/06/1985 09:00,,,,,Vila Real
VIDAGO,05/06/1985 09:00,,,,,Vila Real
VIDAGO,06/06/1985 09:00,,,,,Vila Real
VIDAGO,07/06/1985 09:00,,,,,Vila Real
VIDAGO,08/06/1985 09:00,,,,,Vila Real
VIDAGO,09/06/1985 09:00,,,,,Vila Real
VIDAGO,10/06/1985 09:00,,,,,Vila Real
VIDAGO,11/06/1985 09:00,,,,,Vila Real
VIDAGO,12/06/1985 09:00,,,,,Vila Real
VIDAGO,13/06/1985 09:00,,,,,Vila Real
VIDAGO,14/06/1985 09:00,,,,,Vila Real
