Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
VIDIGAL,01/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,02/05/1985 09:00,,0.3,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,03/05/1985 09:00,,3.6,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,04/05/1985 09:00,,0.4,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,05/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,06/05/1985 09:00,,2.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,07/05/1985 09:00,,4.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,08/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,09/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,10/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,11/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,12/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,13/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,14/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,15/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,16/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,17/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,18/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,19/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,20/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,21/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,22/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,23/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,24/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,25/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,26/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,27/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,28/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,29/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,30/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,31/05/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,01/06/1985 09:00,,0.7,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,02/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,03/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,04/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,05/06/1985 09:00,,1.8,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,06/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,07/06/1985 09:00,,3.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,08/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,09/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,10/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,11/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,12/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,13/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,14/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,15/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,16/06/1985 09:00,,4.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,17/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,18/06/1985 09:00,,0.1,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,19/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,20/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,21/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,22/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,23/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,24/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,25/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,26/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,27/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
VIDIGAL,28/06/1985 09:00,,0.0,,,Região Metropolitana do Rio de Janeiro
