Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
VILA NOVA DE CERVEIRA,01/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,02/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,03/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,04/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,05/05/1985 09:00,,4.3,,,Viana do Castelo
VILA NOVA DE CERVEIRA,06/05/1985 09:00,,7.1,,,Viana do Castelo
VILA NOVA DE CERVEIRA,07/05/1985 09:00,,0.9,,,Viana do Castelo
VILA NOVA DE CERVEIRA,08/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,09/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,10/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,11/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,12/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,13/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,14/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,15/05/1985 09:00,,7.2,,,Viana do Castelo
VILA NOVA DE CERVEIRA,16/05/1985 09:00,,5.5,,,Viana do Castelo
VILA NOVA DE CERVEIRA,17/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,18/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,19/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,20/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,21/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,22/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,23/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,24/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,25/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,26/05/1985 09:00,,22.2,,,Viana do Castelo
VILA NOVA DE CERVEIRA,27/05/1985 09:00,,8.5,,,Viana do Castelo
VILA NOVA DE CERVEIRA,28/05/1985 09:00,,0.6,,,Viana do Castelo
VILA NOVA DE CERVEIRA,29/05/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,30/05/1985 09:00,,1.9,,,Viana do Castelo
VILA NOVA DE CERVEIRA,31/05/1985 09:00,,0.4,,,Viana do Castelo
VILA NOVA DE CERVEIRA,01/06/1985 09:00,,2.9,,,Viana do Castelo
VILA NOVA DE CERVEIRA,02/06/1985 09:00,,6.1,,,Viana do Castelo
VILA NOVA DE CERVEIRA,03/06/1985 09:00,,11.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,04/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,05/06/1985 09:00,,23.5,,,Viana do Castelo
VILA NOVA DE CERVEIRA,06/06/1985 09:00,,9.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,07/06/1985 09:00,,1.2,,,Viana do Castelo
VILA NOVA DE CERVEIRA,08/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,09/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,10/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,11/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,12/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,13/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,14/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,15/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,16/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,17/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,18/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,19/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,20/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,21/06/1985 09:00,,1.9,,,Viana do Castelo
VILA NOVA DE CERVEIRA,22/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,23/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,24/06/1985 09:00,,0.4,,,Viana do Castelo
VILA NOVA DE CERVEIRA,25/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,26/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,27/06/1985 09:00,,0.0,,,Viana do Castelo
VILA NOVA DE CERVEIRA,28/06/1985 09:00,,0.0,,,Viana do Castelo
