Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
VILA NOVA DE PAIVA,01/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,02/05/1985 09:00,,1.0,,,Viseu
VILA NOVA DE PAIVA,03/05/1985 09:00,,1.4,,,Viseu
VILA NOVA DE PAIVA,04/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,05/05/1985 09:00,,2.7,,,Viseu
VILA NOVA DE PAIVA,06/05/1985 09:00,,4.7,,,Viseu
VILA NOVA DE PAIVA,07/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,08/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,09/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,10/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,11/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,12/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,13/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,14/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,15/05/1985 09:00,,1.0,,,Viseu
VILA NOVA DE PAIVA,16/05/1985 09:00,,12.7,,,Viseu
VILA NOVA DE PAIVA,17/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/05/1985 09:00,,0.2,,,Viseu
VILA NOVA DE PAIVA,20/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,22/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,23/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,24/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,25/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,26/05/1985 09:00,,4.7,,,Viseu
VILA NOVA DE PAIVA,27/05/1985 09:00,,27.8,,,Viseu
VILA NOVA DE PAIVA,28/05/1985 09:00,,0.6,,,Viseu
VILA NOVA DE PAIVA,29/05/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,30/05/1985 09:00,,6.2,,,Viseu
VILA NOVA DE PAIVA,31/05/1985 09:00,,21.0,,,Viseu
VILA NOVA DE PAIVA,01/06/1985 09:00,,34.5,,,Viseu
VILA NOVA DE PAIVA,02/06/1985 09:00,,4.7,,,Viseu
VILA NOVA DE PAIVA,03/06/1985 09:00,,19.0,,,Viseu
VILA NOVA DE PAIVA,04/06/1985 09:00,,1.0,,,Viseu
VILA NOVA DE PAIVA,05/06/1985 09:00,,4.8,,,Viseu
VILA NOVA DE PAIVA,06/06/1985 09:00,,9.8,,,Viseu
VILA NOVA DE PAIVA,07/06/1985 09:00,,1.7,,,Viseu
VILA NOVA DE PAIVA,08/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,09/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,10/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,11/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,12/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,13/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,14/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,15/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,16/06/1985 09:00,,1.8,,,Viseu
VILA NOVA DE PAIVA,17/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,20/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,22/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,23/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,24/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,25/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,26/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,27/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,28/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,29/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,30/06/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,01/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,02/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,03/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,04/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,05/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,06/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,07/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,08/07/1985 09:00,,0.9,,,Viseu
VILA NOVA DE PAIVA,09/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,10/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,11/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,12/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,13/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,14/07/1985 09:00,,0.8,,,Viseu
VILA NOVA DE PAIVA,15/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,16/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,17/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,20/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,22/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,23/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,24/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,25/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,26/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,27/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,28/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,29/07/1985 09:00,,9.0,,,Viseu
VILA NOVA DE PAIVA,30/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,31/07/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,01/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,02/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,03/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,04/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,05/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,06/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,07/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,08/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,09/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,10/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,11/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,12/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,13/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,14/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,15/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,16/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,17/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,20/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,22/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,23/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,24/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,25/08/1985 09:00,,0.7,,,Viseu
VILA NOVA DE PAIVA,26/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,27/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,28/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,29/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,30/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,31/08/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,01/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,02/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,03/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,04/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,05/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,06/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,07/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,08/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,09/09/1985 09:00,,3.8,,,Viseu
VILA NOVA DE PAIVA,10/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,11/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,12/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,13/09/1985 09:00,,1.4,,,Viseu
VILA NOVA DE PAIVA,14/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,15/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,16/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,17/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,20/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/09/1985 09:00,,0.7,,,Viseu
VILA NOVA DE PAIVA,22/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,23/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,24/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,25/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,26/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,27/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,28/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,29/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,30/09/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,01/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,02/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,03/10/1985 09:00,,5.1,,,Viseu
VILA NOVA DE PAIVA,04/10/1985 09:00,,9.5,,,Viseu
VILA NOVA DE PAIVA,05/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,06/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,07/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,08/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,09/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,10/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,11/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,12/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,13/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,14/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,15/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,16/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,17/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,20/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,22/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,23/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,24/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,25/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,26/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,27/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,28/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,29/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,30/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,31/10/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,01/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,02/11/1985 09:00,,17.3,,,Viseu
VILA NOVA DE PAIVA,03/11/1985 09:00,,11.0,,,Viseu
VILA NOVA DE PAIVA,04/11/1985 09:00,,43.2,,,Viseu
VILA NOVA DE PAIVA,05/11/1985 09:00,,31.8,,,Viseu
VILA NOVA DE PAIVA,06/11/1985 09:00,,51.8,,,Viseu
VILA NOVA DE PAIVA,07/11/1985 09:00,,2.5,,,Viseu
VILA NOVA DE PAIVA,08/11/1985 09:00,,1.4,,,Viseu
VILA NOVA DE PAIVA,09/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,10/11/1985 09:00,,11.4,,,Viseu
VILA NOVA DE PAIVA,11/11/1985 09:00,,10.5,,,Viseu
VILA NOVA DE PAIVA,12/11/1985 09:00,,15.2,,,Viseu
VILA NOVA DE PAIVA,13/11/1985 09:00,,0.3,,,Viseu
VILA NOVA DE PAIVA,14/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,15/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,16/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,17/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,18/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,19/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,20/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,21/11/1985 09:00,,0.0,,,Viseu
VILA NOVA DE PAIVA,22/11/1985 09:00,,0.0,,,Viseu
