SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ABRIGADA (19C/03G),,ABRIGADA (19C/03G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/10/1990 09:00,0,(vco),,,
02/10/1990 09:00,0,(vco),,,
03/10/1990 09:00,5.5,(vco),,,
04/10/1990 09:00,4.1,(vco),,,
05/10/1990 09:00,0,(vco),,,
06/10/1990 09:00,0,(vco),,,
07/10/1990 09:00,0,(vco),,,
08/10/1990 09:00,0,(vco),,,
09/10/1990 09:00,0,(vco),,,
10/10/1990 09:00,0,(vco),,,
11/10/1990 09:00,0,(vco),,,
12/10/1990 09:00,0,(vco),,,
13/10/1990 09:00,7.4,(vco),,,
14/10/1990 09:00,25,(vco),,,
15/10/1990 09:00,20.7,(vco),,,
16/10/1990 09:00,26.4,(vco),,,
17/10/1990 09:00,4.3,(vco),,,
18/10/1990 09:00,44.3,(vco),,,
19/10/1990 09:00,4.3,(vco),,,
20/10/1990 09:00,0,(vco),,,
21/10/1990 09:00,4.5,(vco),,,
22/10/1990 09:00,25,(vco),,,
23/10/1990 09:00,7.1,(vco),,,
24/10/1990 09:00,4.2,(vco),,,
25/10/1990 09:00,1.3,(vco),,,
26/10/1990 09:00,7.8,(vco),,,
27/10/1990 09:00,0,(vco),,,
28/10/1990 09:00,0.3,(vco),,,
29/10/1990 09:00,2,(vco),,,
30/10/1990 09:00,2.5,(vco),,,
31/10/1990 09:00,4,(vco),,,
01/11/1990 09:00,0,(vco),,,
02/11/1990 09:00,0,(vco),,,
03/11/1990 09:00,0,(vco),,,
04/11/1990 09:00,0,(vco),,,
05/11/1990 09:00,0,(vco),,,
06/11/1990 09:00,0,(vco),,,
07/11/1990 09:00,19.4,(vco),,,
08/11/1990 09:00,34.7,(vco),,,
09/11/1990 09:00,9.5,(vco),,,
10/11/1990 09:00,2.5,(vco),,,
11/11/1990 09:00,0,(vco),,,
12/11/1990 09:00,0,(vco),,,
13/11/1990 09:00,0,(vco),,,
14/11/1990 09:00,0,(vco),,,
15/11/1990 09:00,0,(vco),,,
16/11/1990 09:00,0,(vco),,,
17/11/1990 09:00,0,(vco),,,
18/11/1990 09:00,0,(vco),,,
19/11/1990 09:00,0,(vco),,,
20/11/1990 09:00,0,(vco),,,
21/11/1990 09:00,4,(vco),,,
22/11/1990 09:00,4.4,(vco),,,
23/11/1990 09:00,0.3,(vco),,,
24/11/1990 09:00,14.5,(vco),,,
25/11/1990 09:00,17.4,(vco),,,
26/11/1990 09:00,9.9,(vco),,,
27/11/1990 09:00,7.9,(vco),,,
28/11/1990 09:00,0.6,(vco),,,
29/11/1990 09:00,0,(vco),,,
30/11/1990 09:00,0,(vco),,,
01/12/1990 09:00,0,(vco),,,
02/12/1990 09:00,0,(vco),,,
03/12/1990 09:00,0,(vco),,,
04/12/1990 09:00,8,(vco),,,
05/12/1990 09:00,0,(vco),,,
06/12/1990 09:00,7.4,(vco),,,
07/12/1990 09:00,0,(vco),,,
08/12/1990 09:00,3.5,(vco),,,
09/12/1990 09:00,3,(vco),,,
10/12/1990 09:00,6.4,(vco),,,
11/12/1990 09:00,3.3,(vco),,,
12/12/1990 09:00,0,(vco),,,
13/12/1990 09:00,0,(vco),,,
14/12/1990 09:00,0,(vco),,,
15/12/1990 09:00,0,(vco),,,
16/12/1990 09:00,0,(vco),,,
17/12/1990 09:00,0,(vco),,,
18/12/1990 09:00,0,(vco),,,
19/12/1990 09:00,7.5,(vco),,,
20/12/1990 09:00,0,(vco),,,
21/12/1990 09:00,0,(vco),,,
22/12/1990 09:00,0,(vco),,,
23/12/1990 09:00,0,(vco),,,
24/12/1990 09:00,0,(vco),,,
25/12/1990 09:00,0,(vco),,,
26/12/1990 09:00,7.8,(vco),,,
27/12/1990 09:00,2.4,(vco),,,
28/12/1990 09:00,0.3,(vco),,,
29/12/1990 09:00,1.9,(vco),,,
30/12/1990 09:00,0,(vco),,,
31/12/1990 09:00,7.1,(vco),,,
01/01/1991 09:00,0,(vco),,,
02/01/1991 09:00,0,(vco),,,
03/01/1991 09:00,0,(vco),,,
04/01/1991 09:00,3.8,(vco),,,
05/01/1991 09:00,0,(vco),,,
06/01/1991 09:00,0,(vco),,,
07/01/1991 09:00,8,(vco),,,
08/01/1991 09:00,3.5,(vco),,,
09/01/1991 09:00,8,(vco),,,
10/01/1991 09:00,2.8,(vco),,,
