SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALGÉS (21B/06G),,ALGÉS (21B/06G),,ALHASTROS (CARAPINHEIRA) (12F/04U),,ALHASTROS (CARAPINHEIRA) (12F/04U),,ALJEZUR (30E/01UG),,ALJEZUR (30E/01UG),,ALJUBARROTA (16D/01UG),,ALJUBARROTA (16D/01UG),,ALJUSTREL (26I/03UG),,ALJUSTREL (26I/03UG),,ALMACEDA (14K/01U),,ALMACEDA (14K/01U),,ALMAÇA (11H/01UG),,ALMAÇA (11H/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/05/1985 09:00,,,,,,,,,6.6,(vco),,,0,(vco),,,2,(vco),,,,,,,0,(vco),,,
04/05/1985 09:00,,,,,,,,,0,(vco),,,1.5,(vco),,,3,(vco),,,,,,,0,(vco),,,
05/05/1985 09:00,,,,,,,,,1.5,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
06/05/1985 09:00,,,,,,,,,1.5,(vco),,,4.5,(vco),,,0,(vco),,,,,,,10.1,(vco),,,
07/05/1985 09:00,,,,,,,,,2.8,(vco),,,12.5,(vco),,,0,(vco),,,,,,,4.9,(vco),,,
08/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/05/1985 09:00,,,,,,,,,0,(vco),,,2.5,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/05/1985 09:00,,,,,,,,,1.8,(vco),,,4,(vco),,,0,(vco),,,,,,,7,(vco),,,
17/05/1985 09:00,,,,,,,,,0,(vco),,,0.2,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,3,(vco),,,
20/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/05/1985 09:00,,,,,,,,,5.4,(vco),,,14,(vco),,,4,(vco),,,,,,,9.3,(vco),,,
27/05/1985 09:00,,,,,,,,,0,(vco),,,9.2,(vco),,,1,(vco),,,,,,,29.7,(vco),,,
28/05/1985 09:00,,,,,,,,,0,(vco),,,2.3,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/05/1985 09:00,,,,,,,,,0,(vco),,,3.1,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,4.5,(vco),,,
31/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,4.9,(vco),,,
02/06/1985 09:00,,,,,,,,,16.7,(vco),,,9.2,(vco),,,0,(vco),,,,,,,19,(vco),,,
03/06/1985 09:00,,,,,,,,,0,(vco),,,2.1,(vco),,,0,(vco),,,,,,,7.8,(vco),,,
04/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
