SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/05/1985 09:00,,,1.7,(vco),,,,,,,0,(vco),,,,,
03/05/1985 09:00,,,2.6,(vco),,,,,,,5.9,(vco),,,,,
04/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
05/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
06/05/1985 09:00,,,0.8,(vco),,,,,,,9.4,(vco),,,,,
07/05/1985 09:00,,,9.6,(vco),,,,,,,4.5,(vco),,,,,
08/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
10/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/05/1985 09:00,,,2.8,(vco),,,,,,,10,(vco),,,,,
17/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
26/05/1985 09:00,,,7.9,(vco),,,,,,,8.4,(vco),,,,,
27/05/1985 09:00,,,1.6,(vco),,,,,,,13.8,(vco),,,,,
28/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/05/1985 09:00,,,0.7,(vco),,,,,,,15,(vco),,,,,
31/05/1985 09:00,,,0,(vco),,,,,,,19.4,(vco),,,,,
01/06/1985 09:00,,,39,(vco),,,,,,,2.5,(vco),,,,,
02/06/1985 09:00,,,2.9,(vco),,,,,,,4.5,(vco),,,,,
03/06/1985 09:00,,,1.5,(vco),,,,,,,24.5,(vco),,,,,
04/06/1985 09:00,,,0,(vco),,,,,,,2.2,(vco),,,,,
05/06/1985 09:00,,,0,(vco),,,,,,,5.4,(vco),,,,,
06/06/1985 09:00,,,0,(vco),,,,,,,2.3,(vco),,,,,
07/06/1985 09:00,,,1.6,(vco),,,,,,,0,(vco),,,,,
08/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
10/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
17/06/1985 09:00,,,1.7,(vco),,,,,,,0,(vco),,,,,
18/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
26/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
27/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
28/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
01/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
03/07/1985 09:00,,,3.5,(vco),,,,,,,0,(vco),,,,,
04/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
05/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
06/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
07/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
08/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
10/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
17/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
26/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
27/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
28/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/07/1985 09:00,,,0.7,(vco),,,,,,,0,(vco),,,,,
30/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
31/07/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
01/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
03/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
04/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
05/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
06/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
07/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
08/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
10/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
17/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
