SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,68,(vco),0,(vco),19.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
02/05/1985 09:00,,,0.5,(vco),,,,,,,,,,,,,85,(vco),0.7,(vco),17.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,2.5,(vco),,,,,,,,,,,,,
03/05/1985 09:00,,,8.5,(vco),,,,,,,,,,,,,76,(vco),4.3,(vco),16.25,(vau),,,,,,,,,,,,,2.3,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
04/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,84,(vco),0,(vco),15.9,(vau),,,,,,,,,,,,,2.8,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
05/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,89,(vco),0.4,(vco),14.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,3.8,(vco),,,,,,,,,,,,,
06/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,67,(vco),0.7,(vco),12.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,7.4,(vco),,,,,,,,,,,,,
07/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,57,(vco),3.9,(vco),12.65,(vau),,,,,,,,,,,,,5.2,(vco),,,,,,,0.6,(vco),,,,,,,,,,,,,
08/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,62,(vco),0,(vco),14.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
09/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,74,(vco),0,(vco),17.25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
10/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,57,(vco),0,(vco),16.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
11/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,34,(vco),0,(vco),15.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
12/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,59,(vco),0,(vco),15.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
13/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,59,(vco),0,(vco),14.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
14/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,58,(vco),0,(vco),13.65,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
15/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,70,(vco),0,(vco),14,(vau),,,,,,,,,,,,,0,(vco),,,,,,,1.7,(vco),,,,,,,,,,,,,
