SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BARRAGEM DE MEIMOA (12O/04C),,BARRAGEM DE MEIMOA (12O/04C),,BARRAGEM DE MEIMOA (12O/04C),,BARRAGEM DE MEIMOA (12O/04C),,BARRAGEM DE MIRA (28G/01C),,BARRAGEM DE MIRA (28G/01C),,BARRAGEM DE MIRA (28G/01C),,BARRAGEM DE MIRA (28G/01C),,BARRAGEM DE MONTARGIL (19H/02C),,BARRAGEM DE MONTARGIL (19H/02C),,BARRAGEM DE MONTARGIL (19H/02C),,BARRAGEM DE MONTARGIL (19H/02C),,BARRAGEM DE MONTARGIL (ANTIGA) (19H/03U),,BARRAGEM DE MONTARGIL (ANTIGA) (19H/03U),,BARRAGEM DE MONTARGIL (ANTIGA) (19H/03U),,BARRAGEM DE MONTARGIL (ANTIGA) (19H/03U),,BARRAGEM DE ODELOUCA (30G/04U),,BARRAGEM DE ODELOUCA (30G/04U),,BARRAGEM DE ODELOUCA (30G/04U),,BARRAGEM DE ODELOUCA (30G/04U),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,67,(vco),0,(vco),17.7,(vau),,,81,(vco),0,(vco),20,(vau),,,,,,,,,,,,,,,,,,,
02/05/1985 09:00,,,,,,,,,94,(vco),0.7,(vco),16,(vau),,,89,(vco),0.2,(vco),17.25,(vau),,,,,,,,,,,,,,,,,,,
03/05/1985 09:00,,,,,,,,,100,(vco),5.3,(vco),16.3,(vau),,,89,(vco),2,(vco),15.5,(vau),,,,,,,,,,,,,,,,,,,
04/05/1985 09:00,,,,,,,,,89,(vco),0,(vco),16.5,(vau),,,89,(vco),0.6,(vco),16.75,(vau),,,,,,,,,,,,,,,,,,,
05/05/1985 09:00,,,,,,,,,89,(vco),0,(vco),13.3,(vau),,,78,(vco),0,(vco),13.25,(vau),,,,,,,,,,,,,,,,,,,
06/05/1985 09:00,,,,,,,,,100,(vco),3.7,(vco),10.8,(vau),,,80.5,(vco),1.1,(vco),8.5,(vau),,,,,,,,,,,,,,,,,,,
07/05/1985 09:00,,,,,,,,,59.5,(vco),6.2,(vco),11.9,(vau),,,67,(vco),16.5,(vco),10.25,(vau),,,,,,,,,,,,,,,,,,,
08/05/1985 09:00,,,,,,,,,71.5,(vco),0,(vco),13.1,(vau),,,75,(vco),0,(vco),12.5,(vau),,,,,,,,,,,,,,,,,,,
09/05/1985 09:00,,,,,,,,,78,(vco),0,(vco),15.4,(vau),,,68,(vco),0,(vco),15.5,(vau),,,,,,,,,,,,,,,,,,,
10/05/1985 09:00,,,,,,,,,74,(vco),0,(vco),15.3,(vau),,,72.5,(vco),0,(vco),15.5,(vau),,,,,,,,,,,,,,,,,,,
11/05/1985 09:00,,,,,,,,,53,(vco),0,(vco),15,(vau),,,63,(vco),0,(vco),15.5,(vau),,,,,,,,,,,,,,,,,,,
12/05/1985 09:00,,,,,,,,,72,(vco),0,(vco),13.95,(vau),,,70,(vco),0,(vco),15.25,(vau),,,,,,,,,,,,,,,,,,,
13/05/1985 09:00,,,,,,,,,78,(vco),0,(vco),13.5,(vau),,,66,(vco),0,(vco),13,(vau),,,,,,,,,,,,,,,,,,,
14/05/1985 09:00,,,,,,,,,76,(vco),0,(vco),13,(vau),,,77,(vco),0.2,(vco),12.75,(vau),,,,,,,,,,,,,,,,,,,
15/05/1985 09:00,,,,,,,,,78,(vco),0,(vco),13.35,(vau),,,78,(vco),0,(vco),12,(vau),,,,,,,,,,,,,,,,,,,
16/05/1985 09:00,,,,,,,,,78,(vco),1.4,(vco),13,(vau),,,78,(vco),5.5,(vco),13,(vau),,,,,,,,,,,,,,,,,,,
17/05/1985 09:00,,,,,,,,,84,(vco),0.2,(vco),17.7,(vau),,,76,(vco),0,(vco),15.25,(vau),,,,,,,,,,,,,,,,,,,
18/05/1985 09:00,,,,,,,,,66,(vco),0,(vco),18,(vau),,,71,(vco),0,(vco),17.75,(vau),,,,,,,,,,,,,,,,,,,
19/05/1985 09:00,,,,,,,,,63,(vco),0,(vco),18.3,(vau),,,50,(vco),0,(vco),18.25,(vau),,,,,,,,,,,,,,,,,,,
20/05/1985 09:00,,,,,,,,,69,(vco),0,(vco),16.6,(vau),,,58,(vco),0,(vco),14.5,(vau),,,,,,,,,,,,,,,,,,,
21/05/1985 09:00,,,,,,,,,72.5,(vco),0,(vco),14.8,(vau),,,62.5,(vco),0,(vco),14.75,(vau),,,,,,,,,,,,,,,,,,,
22/05/1985 09:00,,,,,,,,,83,(vco),0,(vco),14.2,(vau),,,67.5,(vco),0,(vco),15.5,(vau),,,,,,,,,,,,,,,,,,,
23/05/1985 09:00,,,,,,,,,64,(vco),0,(vco),14.2,(vau),,,72,(vco),0,(vco),14,(vau),,,,,,,,,,,,,,,,,,,
24/05/1985 09:00,,,,,,,,,69,(vco),0,(vco),14.3,(vau),,,76,(vco),0,(vco),13,(vau),,,,,,,,,,,,,,,,,,,
25/05/1985 09:00,,,,,,,,,67,(vco),0,(vco),16.9,(vau),,,68,(vco),0,(vco),13.5,(vau),,,,,,,,,,,,,,,,,,,
26/05/1985 09:00,,,,,,,,,76,(vco),4,(vco),17.6,(vau),,,72.5,(vco),5,(vco),14.5,(vau),,,,,,,,,,,,,,,,,,,
27/05/1985 09:00,,,,,,,,,75,(vco),0.9,(vco),17.3,(vau),,,70.5,(vco),2.5,(vco),15.75,(vau),,,,,,,,,,,,,,,,,,,
28/05/1985 09:00,,,,,,,,,70,(vco),0,(vco),17.25,(vau),,,77,(vco),0,(vco),14.25,(vau),,,,,,,,,,,,,,,,,,,
29/05/1985 09:00,,,,,,,,,74,(vco),0,(vco),18.5,(vau),,,77,(vco),0.6,(vco),13.5,(vau),,,,,,,,,,,,,,,,,,,
30/05/1985 09:00,,,,,,,,,77,(vco),0,(vco),19.6,(vau),,,85,(vco),6.9,(vco),17.25,(vau),,,,,,,,,,,,,,,,,,,
31/05/1985 09:00,,,,,,,,,68,(vco),0,(vco),18,(vau),,,80,(vco),2,(vco),19.5,(vau),,,,,,,,,,,,,,,,,,,
01/06/1985 09:00,,,,,,,,,90,(vco),3.7,(vco),16.7,(vau),,,85,(vco),0.3,(vco),18.75,(vau),,,,,,,,,,,,,,,,,,,
02/06/1985 09:00,,,,,,,,,76.5,(vco),12.8,(vco),18.3,(vau),,,74.5,(vco),19.5,(vco),16.25,(vau),,,,,,,,,,,,,,,,,,,
03/06/1985 09:00,,,,,,,,,84,(vco),0,(vco),17.6,(vau),,,78.5,(vco),13.9,(vco),16.5,(vau),,,,,,,,,,,,,,,,,,,
04/06/1985 09:00,,,,,,,,,66.5,(vco),0,(vco),17.6,(vau),,,80,(vco),0,(vco),16.5,(vau),,,,,,,,,,,,,,,,,,,
05/06/1985 09:00,,,,,,,,,76,(vco),0,(vco),19,(vau),,,80,(vco),0,(vco),17.75,(vau),,,,,,,,,,,,,,,,,,,
06/06/1985 09:00,,,,,,,,,89.5,(vco),0,(vco),18.5,(vau),,,78.5,(vco),0,(vco),17.25,(vau),,,,,,,,,,,,,,,,,,,
07/06/1985 09:00,,,,,,,,,76,(vco),0,(vco),18.9,(vau),,,75.5,(vco),0,(vco),19,(vau),,,,,,,,,,,,,,,,,,,
08/06/1985 09:00,,,,,,,,,71,(vco),0,(vco),19.4,(vau),,,80,(vco),0,(vco),18,(vau),,,,,,,,,,,,,,,,,,,
09/06/1985 09:00,,,,,,,,,72,(vco),0,(vco),20.5,(vau),,,74,(vco),0,(vco),20,(vau),,,,,,,,,,,,,,,,,,,
10/06/1985 09:00,,,,,,,,,65.5,(vco),0,(vco),22.5,(vau),,,66,(vco),0,(vco),23.5,(vau),,,,,,,,,,,,,,,,,,,
11/06/1985 09:00,,,,,,,,,56,(vco),0,(vco),23.6,(vau),,,66,(vco),0,(vco),24,(vau),,,,,,,,,,,,,,,,,,,
12/06/1985 09:00,,,,,,,,,53,(vco),0,(vco),22,(vau),,,65,(vco),0,(vco),20.75,(vau),,,,,,,,,,,,,,,,,,,
13/06/1985 09:00,,,,,,,,,65,(vco),0,(vco),19.4,(vau),,,84,(vco),0,(vco),17.75,(vau),,,,,,,,,,,,,,,,,,,
14/06/1985 09:00,,,,,,,,,73,(vco),0,(vco),19.7,(vau),,,85,(vco),0,(vco),18.25,(vau),,,,,,,,,,,,,,,,,,,
15/06/1985 09:00,,,,,,,,,81,(vco),0,(vco),21.4,(vau),,,66,(vco),0,(vco),19.25,(vau),,,,,,,,,,,,,,,,,,,
16/06/1985 09:00,,,,,,,,,69.5,(vco),1,(vco),22,(vau),,,71,(vco),0,(vco),17,(vau),,,,,,,,,,,,,,,,,,,
17/06/1985 09:00,,,,,,,,,69.5,(vco),0,(vco),23.5,(vau),,,77,(vco),0,(vco),22,(vau),,,,,,,,,,,,,,,,,,,
18/06/1985 09:00,,,,,,,,,77.5,(vco),0,(vco),23.1,(vau),,,81,(vco),0,(vco),21.75,(vau),,,,,,,,,,,,,,,,,,,
19/06/1985 09:00,,,,,,,,,72,(vco),2.3,(vco),19.2,(vau),,,63,(vco),0,(vco),19,(vau),,,,,,,,,,,,,,,,,,,
20/06/1985 09:00,,,,,,,,,67.5,(vco),0,(vco),20,(vau),,,85,(vco),0,(vco),21.75,(vau),,,,,,,,,,,,,,,,,,,
21/06/1985 09:00,,,,,,,,,63.5,(vco),0,(vco),19.8,(vau),,,72,(vco),0,(vco),19.25,(vau),,,,,,,,,,,,,,,,,,,
22/06/1985 09:00,,,,,,,,,63,(vco),0,(vco),19.5,(vau),,,81,(vco),0,(vco),19.5,(vau),,,,,,,,,,,,,,,,,,,
23/06/1985 09:00,,,,,,,,,71,(vco),0,(vco),18.9,(vau),,,81,(vco),0,(vco),19.5,(vau),,,,,,,,,,,,,,,,,,,
24/06/1985 09:00,,,,,,,,,77,(vco),0,(vco),21.9,(vau),,,81,(vco),0,(vco),20.5,(vau),,,,,,,,,,,,,,,,,,,
25/06/1985 09:00,,,,,,,,,52.5,(vco),0,(vco),22.9,(vau),,,78,(vco),0,(vco),23,(vau),,,,,,,,,,,,,,,,,,,
26/06/1985 09:00,,,,,,,,,55,(vco),0,(vco),24.1,(vau),,,63.5,(vco),0,(vco),24,(vau),,,,,,,,,,,,,,,,,,,
27/06/1985 09:00,,,,,,,,,60.5,(vco),0,(vco),24.4,(vau),,,81,(vco),0,(vco),23.5,(vau),,,,,,,,,,,,,,,,,,,
28/06/1985 09:00,,,,,,,,,68.5,(vco),0,(vco),23.7,(vau),,,90,(vco),0,(vco),22.5,(vau),,,,,,,,,,,,,,,,,,,
29/06/1985 09:00,,,,,,,,,51,(vco),0,(vco),23.2,(vau),,,80,(vco),0,(vco),22,(vau),,,,,,,,,,,,,,,,,,,
30/06/1985 09:00,,,,,,,,,43.5,(vco),0,(vco),22.7,(vau),,,80,(vco),0,(vco),23,(vau),,,,,,,,,,,,,,,,,,,
01/07/1985 09:00,,,,,,,,,61,(vco),0,(vco),20.9,(vau),,,43,(vco),0,(vco),21.5,(vau),,,,,,,,,,,,,,,,,,,
02/07/1985 09:00,,,,,,,,,95,(vco),1,(vco),20,(vau),,,81,(vco),0,(vco),18,(vau),,,,,,,,,,,,,,,,,,,
03/07/1985 09:00,,,,,,,,,65,(vco),0.6,(vco),20,(vau),,,72,(vco),0.8,(vco),19,(vau),,,,,,,,,,,,,,,,,,,
04/07/1985 09:00,,,,,,,,,68.5,(vco),0,(vco),21.5,(vau),,,73,(vco),0,(vco),22,(vau),,,,,,,,,,,,,,,,,,,
05/07/1985 09:00,,,,,,,,,81,(vco),0,(vco),25,(vau),,,77,(vco),0,(vco),24.75,(vau),,,,,,,,,,,,,,,,,,,
