SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BARRAGEM DO CABRIL (14I/02C),,BARRAGEM DO CABRIL (14I/02C),,BARRAGEM DO CABRIL (14I/02C),,BARRAGEM DO CABRIL (14I/02C),,BARRAGEM DO CAIA (19O/02C),,BARRAGEM DO CAIA (19O/02C),,BARRAGEM DO CAIA (19O/02C),,BARRAGEM DO CAIA (19O/02C),,BARRAGEM DO COVÃO DE FERRO (12L/01U),,BARRAGEM DO COVÃO DE FERRO (12L/01U),,BARRAGEM DO COVÃO DE FERRO (12L/01U),,BARRAGEM DO COVÃO DE FERRO (12L/01U),,BARRAGEM DO DIVOR (21J/03C),,BARRAGEM DO DIVOR (21J/03C),,BARRAGEM DO DIVOR (21J/03C),,BARRAGEM DO DIVOR (21J/03C),,BARRAGEM DO MARANHÃO (19J/04C),,BARRAGEM DO MARANHÃO (19J/04C),,BARRAGEM DO MARANHÃO (19J/04C),,BARRAGEM DO MARANHÃO (19J/04C),,BARRAGEM DO PICOTE (05S/02G),,BARRAGEM DO PICOTE (05S/02G),,BARRAGEM DO PICOTE (05S/02G),,BARRAGEM DO PICOTE (05S/02G),,BARRAGEM DO ROXO (26I/02C),,BARRAGEM DO ROXO (26I/02C),,BARRAGEM DO ROXO (26I/02C),,BARRAGEM DO ROXO (26I/02C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,41,(vco),0,(vco),20.5,(vau),,,,,,,,,,,91,(vco),0,(vco),18.2,(vau),,,53.5,(vco),0,(vco),20.4,(vau),,,,,,,,,,,72.5,(vco),0,(vco),18.05,(vau),,,
02/05/1985 09:00,,,,,,,,,89,(vco),2.4,(vco),15.75,(vau),,,,,,,,,,,90,(vco),1,(vco),15.05,(vau),,,80,(vco),0.7,(vco),17.15,(vau),,,,,,,,,,,89,(vco),0.7,(vco),15,(vau),,,
03/05/1985 09:00,,,,,,,,,89,(vco),9.5,(vco),17,(vau),,,,,,,,,,,100,(vco),3.7,(vco),14.05,(vau),,,89,(vco),1.5,(vco),15.75,(vau),,,,,,,,,,,100,(vco),1.1,(vco),14.5,(vau),,,
04/05/1985 09:00,,,,,,,,,61,(vco),0,(vco),17.75,(vau),,,,,,,,,,,89,(vco),0,(vco),16.5,(vau),,,73.5,(vco),0,(vco),17.5,(vau),,,,,,,,,,,89,(vco),4.3,(vco),17.75,(vau),,,
05/05/1985 09:00,,,,,,,,,66,(vco),0,(vco),12.75,(vau),,,,,,,,,,,100,(vco),0,(vco),14.4,(vau),,,72,(vco),0,(vco),13.2,(vau),,,,,,,,,,,78,(vco),0,(vco),13.6,(vau),,,
06/05/1985 09:00,,,,,,,,,68.5,(vco),0,(vco),9,(vau),,,,,,,,,,,100,(vco),1.3,(vco),13.3,(vau),,,74,(vco),0.5,(vco),10.2,(vau),,,,,,,,,,,76,(vco),0,(vco),11.2,(vau),,,
07/05/1985 09:00,,,,,,,,,58.5,(vco),13,(vco),11.25,(vau),,,,,,,,,,,75,(vco),20.1,(vco),12.7,(vau),,,52,(vco),12.7,(vco),11.45,(vau),,,,,,,,,,,71,(vco),5.2,(vco),11.6,(vau),,,
08/05/1985 09:00,,,,,,,,,76,(vco),0,(vco),14.25,(vau),,,,,,,,,,,87,(vco),0,(vco),12.85,(vau),,,70.5,(vco),0,(vco),13.4,(vau),,,,,,,,,,,83,(vco),0,(vco),13.3,(vau),,,
09/05/1985 09:00,,,,,,,,,78,(vco),0,(vco),16.5,(vau),,,,,,,,,,,100,(vco),0,(vco),15.05,(vau),,,68.5,(vco),0,(vco),15.6,(vau),,,,,,,,,,,73.5,(vco),0,(vco),15.75,(vau),,,
