SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BARRAGEM MONTE DA ROCHA (27H/02C),,BARRAGEM MONTE DA ROCHA (27H/02C),,BARRAGEM MONTE DA ROCHA (27H/02C),,BARRAGEM MONTE DA ROCHA (27H/02C),,BARRAGEM RIO DA MULA (21A/10G),,BARRAGEM RIO DA MULA (21A/10G),,BARRAGEM RIO DA MULA (21A/10G),,BARRAGEM RIO DA MULA (21A/10G),,BARRANCO DO VELHO (30J/01UG),,BARRANCO DO VELHO (30J/01UG),,BARRANCO DO VELHO (30J/01UG),,BARRANCO DO VELHO (30J/01UG),,BARRANCOS (25P/01UG),,BARRANCOS (25P/01UG),,BARRANCOS (25P/01UG),,BARRANCOS (25P/01UG),,BARROSELAS (04E/01UG),,BARROSELAS (04E/01UG),,BARROSELAS (04E/01UG),,BARROSELAS (04E/01UG),,BATALHA (16E/06C),,BATALHA (16E/06C),,BATALHA (16E/06C),,BATALHA (16E/06C),,BECO (15H/03U),,BECO (15H/03U),,BECO (15H/03U),,BECO (15H/03U),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,61,(vco),0,(vco),18,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
02/05/1985 09:00,100,(vco),0,(vco),14.2,(vau),,,,,,,,,,,,,0.5,(vco),,,,,,,5.8,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
03/05/1985 09:00,100,(vco),3.4,(vco),15.3,(vau),,,,,,,,,,,,,2,(vco),,,,,,,1.2,(vco),,,,,,,,,,,,,,,2,(vco),,,,,,,,,,,,,
04/05/1985 09:00,94,(vco),1,(vco),17.3,(vau),,,,,,,,,,,,,36.4,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
05/05/1985 09:00,89,(vco),0,(vco),13.35,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.5,(vco),,,,,,,,,,,,,
06/05/1985 09:00,76,(vco),0.6,(vco),11.4,(vau),,,,,,,,,,,,,2,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,12,(vco),,,,,,,,,,,,,
07/05/1985 09:00,65.5,(vco),2.2,(vco),15.25,(vau),,,,,,,,,,,,,9,(vco),,,,,,,28.7,(vco),,,,,,,,,,,,,,,15,(vco),,,,,,,,,,,,,
08/05/1985 09:00,71,(vco),0,(vco),13.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
09/05/1985 09:00,78,(vco),0,(vco),15.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
10/05/1985 09:00,73.5,(vco),0,(vco),15.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
11/05/1985 09:00,50,(vco),0,(vco),13.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
12/05/1985 09:00,72.5,(vco),0,(vco),14.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
13/05/1985 09:00,78,(vco),0,(vco),13.95,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
14/05/1985 09:00,62.5,(vco),0,(vco),13.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,3.5,(vco),,,,,,,,,,,,,
15/05/1985 09:00,69,(vco),0,(vco),12.95,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
16/05/1985 09:00,78,(vco),0,(vco),12.8,(vau),,,,,,,,,,,,,3,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,5.5,(vco),,,,,,,,,,,,,
17/05/1985 09:00,84,(vco),0,(vco),17.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
18/05/1985 09:00,75.5,(vco),0,(vco),17.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
19/05/1985 09:00,64,(vco),0,(vco),18.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
20/05/1985 09:00,68,(vco),0,(vco),16.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,2.7,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
21/05/1985 09:00,68,(vco),0,(vco),15.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
22/05/1985 09:00,74,(vco),0,(vco),14.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
23/05/1985 09:00,69,(vco),0,(vco),14.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
24/05/1985 09:00,73.5,(vco),0,(vco),14.05,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
25/05/1985 09:00,72,(vco),0,(vco),15.85,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
26/05/1985 09:00,77,(vco),0,(vco),18.25,(vau),,,,,,,,,,,,,12.5,(vco),,,,,,,18.9,(vco),,,,,,,,,,,,,,,12.5,(vco),,,,,,,,,,,,,
27/05/1985 09:00,67,(vco),0,(vco),17.7,(vau),,,,,,,,,,,,,1,(vco),,,,,,,0.9,(vco),,,,,,,,,,,,,,,11,(vco),,,,,,,,,,,,,
28/05/1985 09:00,71,(vco),2.8,(vco),18.6,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0.6,(vco),,,,,,,,,,,,,
29/05/1985 09:00,79,(vco),0,(vco),18.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
30/05/1985 09:00,77,(vco),0,(vco),19.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,5.4,(vco),,,,,,,,,,,,,
31/05/1985 09:00,68.5,(vco),0,(vco),18.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
01/06/1985 09:00,76,(vco),0,(vco),18.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,1.3,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
02/06/1985 09:00,76.5,(vco),4.8,(vco),18.9,(vau),,,,,,,,,,,,,2,(vco),,,,,,,5.4,(vco),,,,,,,,,,,,,,,9.1,(vco),,,,,,,,,,,,,
03/06/1985 09:00,75.5,(vco),0,(vco),18.6,(vau),,,,,,,,,,,,,0,(vco),,,,,,,6.6,(vco),,,,,,,,,,,,,,,1,(vco),,,,,,,,,,,,,
04/06/1985 09:00,67.5,(vco),0,(vco),17.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
05/06/1985 09:00,81,(vco),0,(vco),19.75,(vau),,,,,,,,,,,,,7,(vco),,,,,,,2.9,(vco),,,,,,,,,,,,,,,2.4,(vco),,,,,,,,,,,,,
06/06/1985 09:00,90,(vco),0,(vco),18.7,(vau),,,,,,,,,,,,,0.2,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.4,(vco),,,,,,,,,,,,,
07/06/1985 09:00,76.5,(vco),1.1,(vco),19.45,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
08/06/1985 09:00,70.5,(vco),0,(vco),19.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2.3,(vco),,,,,,,,,,,,,
09/06/1985 09:00,73,(vco),0,(vco),20.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
10/06/1985 09:00,69,(vco),0,(vco),22.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
11/06/1985 09:00,54,(vco),0,(vco),23.65,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
12/06/1985 09:00,61.5,(vco),0,(vco),22.6,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
13/06/1985 09:00,80,(vco),0,(vco),17.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
14/06/1985 09:00,73,(vco),0,(vco),19.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
15/06/1985 09:00,81,(vco),0,(vco),21.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
16/06/1985 09:00,63,(vco),0,(vco),22.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,1.3,(vco),,,,,,,,,,,,,
17/06/1985 09:00,66,(vco),0,(vco),23.45,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
18/06/1985 09:00,74,(vco),0,(vco),23.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
19/06/1985 09:00,73,(vco),0,(vco),20.5,(vau),,,,,,,,,,,,,13.1,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
20/06/1985 09:00,73,(vco),0,(vco),21.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
21/06/1985 09:00,73,(vco),0,(vco),20.35,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
22/06/1985 09:00,67.5,(vco),0,(vco),19,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
23/06/1985 09:00,76.5,(vco),0,(vco),19.45,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
24/06/1985 09:00,81,(vco),0,(vco),23.05,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
25/06/1985 09:00,61,(vco),0,(vco),23.65,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
26/06/1985 09:00,63.5,(vco),0,(vco),25.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
27/06/1985 09:00,68,(vco),0,(vco),25.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
28/06/1985 09:00,74,(vco),0,(vco),24.45,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
29/06/1985 09:00,67,(vco),0,(vco),23,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
30/06/1985 09:00,76,(vco),0,(vco),23.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
01/07/1985 09:00,68,(vco),0,(vco),22.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
02/07/1985 09:00,90,(vco),0.6,(vco),20.55,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
03/07/1985 09:00,69.5,(vco),0.9,(vco),19.8,(vau),,,,,,,,,,,,,16.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
04/07/1985 09:00,80.5,(vco),0,(vco),22.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
05/07/1985 09:00,75,(vco),0,(vco),25.95,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
06/07/1985 09:00,89,(vco),0,(vco),27.55,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
07/07/1985 09:00,92.5,(vco),0,(vco),28.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
08/07/1985 09:00,82,(vco),0,(vco),23.6,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
09/07/1985 09:00,73,(vco),0,(vco),22.35,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
10/07/1985 09:00,90,(vco),0,(vco),22.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
11/07/1985 09:00,81,(vco),0,(vco),25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
12/07/1985 09:00,78,(vco),0,(vco),25.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
13/07/1985 09:00,78,(vco),0,(vco),23.35,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
14/07/1985 09:00,78,(vco),0,(vco),22.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
15/07/1985 09:00,78,(vco),0,(vco),22.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
16/07/1985 09:00,81,(vco),0,(vco),22.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
17/07/1985 09:00,70.5,(vco),0,(vco),24.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
18/07/1985 09:00,77,(vco),0,(vco),22.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
19/07/1985 09:00,75,(vco),0,(vco),25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
20/07/1985 09:00,73.5,(vco),0,(vco),24.6,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
21/07/1985 09:00,69,(vco),0,(vco),26.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
22/07/1985 09:00,72,(vco),0,(vco),27.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
23/07/1985 09:00,72,(vco),0,(vco),29.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
24/07/1985 09:00,89,(vco),0,(vco),29.25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
25/07/1985 09:00,82,(vco),0,(vco),23.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
26/07/1985 09:00,86,(vco),0,(vco),21.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
27/07/1985 09:00,81,(vco),0,(vco),20.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
28/07/1985 09:00,65,(vco),0,(vco),19.45,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
29/07/1985 09:00,78,(vco),0,(vco),22.25,(vau),,,,,,,,,,,,,0.2,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,5,(vco),,,,,,,,,,,,,
30/07/1985 09:00,73,(vco),0,(vco),19.85,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
31/07/1985 09:00,82,(vco),0,(vco),21.6,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
01/08/1985 09:00,77.5,(vco),0,(vco),23.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
02/08/1985 09:00,84,(vco),0,(vco),25.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
03/08/1985 09:00,87.5,(vco),0,(vco),28.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
04/08/1985 09:00,88,(vco),0,(vco),28.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
05/08/1985 09:00,91,(vco),0,(vco),23.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
06/08/1985 09:00,86,(vco),0,(vco),21.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
07/08/1985 09:00,82,(vco),0,(vco),23.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
08/08/1985 09:00,88,(vco),0,(vco),22.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
09/08/1985 09:00,81,(vco),0,(vco),21.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
10/08/1985 09:00,68,(vco),0,(vco),21.55,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
11/08/1985 09:00,81.5,(vco),0,(vco),21.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
12/08/1985 09:00,78,(vco),0,(vco),23.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
13/08/1985 09:00,82,(vco),0,(vco),22.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
14/08/1985 09:00,82,(vco),0,(vco),23.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
15/08/1985 09:00,71,(vco),0,(vco),23.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
16/08/1985 09:00,81,(vco),0,(vco),21.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
17/08/1985 09:00,86,(vco),0,(vco),23.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
18/08/1985 09:00,73,(vco),0,(vco),24.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
19/08/1985 09:00,78.5,(vco),0,(vco),25.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
20/08/1985 09:00,82,(vco),0,(vco),26.1,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
21/08/1985 09:00,78.5,(vco),0,(vco),24.85,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
22/08/1985 09:00,91,(vco),0,(vco),26.25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
23/08/1985 09:00,78.5,(vco),0,(vco),23.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
24/08/1985 09:00,73,(vco),0,(vco),20.7,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
25/08/1985 09:00,81,(vco),0,(vco),19.95,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
26/08/1985 09:00,80,(vco),0,(vco),21.15,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
27/08/1985 09:00,84,(vco),0,(vco),23.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,
