SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BENSAFRIM (31E/02UG),,BENSAFRIM (31E/02UG),,BOALHOSA (03G/05UG),,BOALHOSA (03G/05UG),,BOLEIROS (16F/03U),,BOLEIROS (16F/03U),,BOLETA (CARAPINHEIRA) (12F/03UG),,BOLETA (CARAPINHEIRA) (12F/03UG),,BORNES (05O/01UG),,BORNES (05O/01UG),,BOTICAS (03L/03G),,BOTICAS (03L/03G),,BOUÇA DA MÓ (03I/02U),,BOUÇA DA MÓ (03I/02U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,2,(vco),,,0.8,(vco),,,,,,,
03/05/1985 09:00,5.2,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
04/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
05/05/1985 09:00,4.3,(vco),,,0,(vco),,,,,,,0,(vco),,,0.2,(vco),,,0.4,(vco),,,,,,,
06/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,9,(vco),,,1.1,(vco),,,1.2,(vco),,,,,,,
07/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,11,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,8,(vco),,,1,(vco),,,3.8,(vco),,,,,,,
16/05/1985 09:00,0,(vco),,,14.9,(vco),,,,,,,2.5,(vco),,,8.9,(vco),,,4.2,(vco),,,,,,,
17/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,9,(vco),,,,,,,
19/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0.8,(vco),,,0,(vco),,,,,,,
21/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/05/1985 09:00,2.2,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/05/1985 09:00,7.2,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/05/1985 09:00,2.1,(vco),,,14.5,(vco),,,,,,,4.5,(vco),,,1.2,(vco),,,4.8,(vco),,,,,,,
27/05/1985 09:00,0,(vco),,,4.2,(vco),,,,,,,14,(vco),,,7.5,(vco),,,24,(vco),,,,,,,
28/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,1.6,(vco),,,,,,,
29/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,2,(vco),,,7,(vco),,,6,(vco),,,,,,,
31/05/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,10.3,(vco),,,15,(vco),,,,,,,
01/06/1985 09:00,0,(vco),,,25.2,(vco),,,,,,,9.5,(vco),,,18.7,(vco),,,24.1,(vco),,,,,,,
02/06/1985 09:00,0,(vco),,,14.8,(vco),,,,,,,2,(vco),,,7.2,(vco),,,16,(vco),,,,,,,
03/06/1985 09:00,0,(vco),,,10.1,(vco),,,,,,,10.5,(vco),,,15.7,(vco),,,7.9,(vco),,,,,,,
04/06/1985 09:00,0,(vco),,,8.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0.1,(vco),,,,,,,
05/06/1985 09:00,0,(vco),,,9,(vco),,,,,,,5,(vco),,,0.2,(vco),,,7.8,(vco),,,,,,,
06/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,3.4,(vco),,,8.7,(vco),,,,,,,
07/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
