SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,CABANA MAIOR (02G/12UG),,CABANA MAIOR (02G/12UG),,CABANA MAIOR (02G/12UG),,CABANA MAIOR (02G/12UG),,CABANA MAIOR (extinta) (02G/10U),,CABANA MAIOR (extinta) (02G/10U),,CABANA MAIOR (extinta) (02G/10U),,CABANA MAIOR (extinta) (02G/10U),,CABANAS DE TORRES (19C/02U),,CABANAS DE TORRES (19C/02U),,CABANAS DE TORRES (19C/02U),,CABANAS DE TORRES (19C/02U),,CABECEIRAS DE BASTO (04J/06UG),,CABECEIRAS DE BASTO (04J/06UG),,CABECEIRAS DE BASTO (04J/06UG),,CABECEIRAS DE BASTO (04J/06UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO DE VIDE (19L/01UG),,CABEÇO MONTEIRO (14N/04C),,CABEÇO MONTEIRO (14N/04C),,CABEÇO MONTEIRO (14N/04C),,CABEÇO MONTEIRO (14N/04C),,CABREIRO (02G/05UG),,CABREIRO (02G/05UG),,CABREIRO (02G/05UG),,CABREIRO (02G/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/05/1985 09:00,,,1.2,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,2.5,(vco),,,,,,,,,,,,,,,20,(vco),,,,,
03/05/1985 09:00,,,4.2,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,3.8,(vco),,,,,,,,,,,,,,,7.5,(vco),,,,,
04/05/1985 09:00,,,6.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/05/1985 09:00,,,8.9,(vco),,,,,,,,,,,,,,,,,,,,,,,3,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0.7,(vco),,,,,
06/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,2,(vco),,,,,,,0.2,(vco),,,,,,,,,,,,,,,2.8,(vco),,,,,
07/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,10.5,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/05/1985 09:00,,,10.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/05/1985 09:00,,,7.8,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/05/1985 09:00,,,9.9,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/05/1985 09:00,,,15.6,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/05/1985 09:00,,,23.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/05/1985 09:00,,,17.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/05/1985 09:00,,,7.3,(vco),,,,,,,,,,,,,,,,,,,,,,,2.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/05/1985 09:00,,,3.2,(vco),,,,,,,,,,,,,,,,,,,,,,,5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,7,(vco),,,,,
16/05/1985 09:00,,,2.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,8.5,(vco),,,,,
17/05/1985 09:00,,,8.7,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/05/1985 09:00,,,11.3,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/05/1985 09:00,,,4.4,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
