SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,CANIÇO (04J/01G),,CANIÇO (04J/01G),,CANTANHEDE (11F/01UG),,CANTANHEDE (11F/01UG),,CAPINHA (12M/02UG),,CAPINHA (12M/02UG),,CARANGUEJEIRA (15E/03G),,CARANGUEJEIRA (15E/03G),,CARAPINHAL (13H/09UG),,CARAPINHAL (13H/09UG),,CARAPUÇÕES (SÃO TORCATO) (21G/03G),,CARAPUÇÕES (SÃO TORCATO) (21G/03G),,CARIA (12M/01UG),,CARIA (12M/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0.3,(vco),,,,,,,2.3,(vco),,,
03/05/1985 09:00,,,,,0,(vco),,,6,(vco),,,2.5,(vco),,,0,(vco),,,,,,,0,(vco),,,
04/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,6,(vco),,,,,,,0,(vco),,,
05/05/1985 09:00,,,,,9.3,(vco),,,0,(vco),,,2.3,(vco),,,6,(vco),,,,,,,0,(vco),,,
06/05/1985 09:00,,,,,17.8,(vco),,,0,(vco),,,6.5,(vco),,,10,(vco),,,,,,,0,(vco),,,
07/05/1985 09:00,,,,,13.5,(vco),,,1.1,(vco),,,11.2,(vco),,,7.5,(vco),,,,,,,1.4,(vco),,,
08/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/05/1985 09:00,,,,,4.7,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/05/1985 09:00,,,,,6.2,(vco),,,0,(vco),,,0.5,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,5.8,(vco),,,1.5,(vco),,,,,,,0,(vco),,,
17/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0.8,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,3.5,(vco),,,
26/05/1985 09:00,,,,,5.6,(vco),,,5.2,(vco),,,13.9,(vco),,,8.7,(vco),,,,,,,4.4,(vco),,,
27/05/1985 09:00,,,,,12.3,(vco),,,13.5,(vco),,,16.5,(vco),,,27,(vco),,,,,,,1.3,(vco),,,
28/05/1985 09:00,,,,,2.4,(vco),,,0,(vco),,,2.8,(vco),,,1.2,(vco),,,,,,,2.3,(vco),,,
29/05/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,1.9,(vco),,,
30/05/1985 09:00,,,,,0,(vco),,,10,(vco),,,6.1,(vco),,,4.5,(vco),,,,,,,4.5,(vco),,,
31/05/1985 09:00,,,,,0,(vco),,,25.1,(vco),,,0,(vco),,,8,(vco),,,,,,,8.4,(vco),,,
01/06/1985 09:00,,,,,4.2,(vco),,,18.7,(vco),,,6.9,(vco),,,17.3,(vco),,,,,,,9.5,(vco),,,
02/06/1985 09:00,,,,,10.7,(vco),,,1.8,(vco),,,3.4,(vco),,,29.7,(vco),,,,,,,8.7,(vco),,,
03/06/1985 09:00,,,,,3.5,(vco),,,0,(vco),,,9,(vco),,,13.7,(vco),,,,,,,3.5,(vco),,,
04/06/1985 09:00,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,1.5,(vco),,,
05/06/1985 09:00,,,,,16.2,(vco),,,0,(vco),,,2.9,(vco),,,2.5,(vco),,,,,,,0.7,(vco),,,
06/06/1985 09:00,,,,,2.3,(vco),,,0,(vco),,,2.3,(vco),,,1.5,(vco),,,,,,,0,(vco),,,
