SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,CRESPOS (16E/01UG),,CRESPOS (16E/01UG),,CUBA (24J/03UG),,CUBA (24J/03UG),,CUBALHÃO (01H/05G),,CUBALHÃO (01H/05G),,CUMEEIRA (06K/03U),,CUMEEIRA (06K/03U),,CUMIEIRA (14G/04UG),,CUMIEIRA (14G/04UG),,CÔJA (12J/01UG),,CÔJA (12J/01UG),,DEGOLADOS (19O/03UG),,DEGOLADOS (19O/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
02/05/1985 09:00,0,(vco),,,0,(vco),,,4,(vco),,,,,,,0,(vco),,,0,(vco),,,2,(vco),,,
03/05/1985 09:00,2,(vco),,,1.5,(vco),,,0,(vco),,,,,,,0,(vco),,,3.4,(vco),,,13.8,(vco),,,
04/05/1985 09:00,0,(vco),,,3.4,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
05/05/1985 09:00,2,(vco),,,0,(vco),,,0,(vco),,,,,,,8.3,(vco),,,6,(vco),,,0,(vco),,,
06/05/1985 09:00,18,(vco),,,0,(vco),,,9.5,(vco),,,,,,,11,(vco),,,0,(vco),,,0,(vco),,,
07/05/1985 09:00,15.5,(vco),,,8.9,(vco),,,6,(vco),,,,,,,0,(vco),,,0,(vco),,,10.8,(vco),,,
08/05/1985 09:00,0,(vco),,,0,(vco),,,2,(vco),,,,,,,0,(vco),,,6.5,(vco),,,0,(vco),,,
09/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
10/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
11/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
12/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
13/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
14/05/1985 09:00,1.5,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
15/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,7.7,(vco),,,0,(vco),,,
16/05/1985 09:00,5.5,(vco),,,0.8,(vco),,,11.5,(vco),,,,,,,7,(vco),,,0,(vco),,,0.5,(vco),,,
17/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
18/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
19/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,1.3,(vco),,,0,(vco),,,0,(vco),,,
20/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,6.3,(vco),,,
21/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
22/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
23/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
24/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
25/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
26/05/1985 09:00,16.5,(vco),,,5.8,(vco),,,5.5,(vco),,,,,,,10,(vco),,,27,(vco),,,4.2,(vco),,,
27/05/1985 09:00,11.5,(vco),,,0,(vco),,,15,(vco),,,,,,,28,(vco),,,0,(vco),,,0.3,(vco),,,
28/05/1985 09:00,0,(vco),,,0,(vco),,,4.5,(vco),,,,,,,2,(vco),,,0,(vco),,,0,(vco),,,
29/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,5.4,(vco),,,0.3,(vco),,,
30/05/1985 09:00,7,(vco),,,0,(vco),,,0,(vco),,,,,,,4.5,(vco),,,7.4,(vco),,,0,(vco),,,
31/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,5.5,(vco),,,6,(vco),,,6.8,(vco),,,
01/06/1985 09:00,3,(vco),,,0.8,(vco),,,25.9,(vco),,,,,,,7.5,(vco),,,0,(vco),,,0,(vco),,,
02/06/1985 09:00,7.5,(vco),,,2.2,(vco),,,7,(vco),,,,,,,4.5,(vco),,,15,(vco),,,2.1,(vco),,,
03/06/1985 09:00,1.5,(vco),,,0,(vco),,,6.1,(vco),,,,,,,1.5,(vco),,,7.7,(vco),,,6,(vco),,,
04/06/1985 09:00,0,(vco),,,0,(vco),,,0.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
05/06/1985 09:00,8.5,(vco),,,0,(vco),,,11,(vco),,,,,,,6,(vco),,,0.2,(vco),,,0,(vco),,,
06/06/1985 09:00,0,(vco),,,0,(vco),,,3.5,(vco),,,,,,,0,(vco),,,4,(vco),,,0,(vco),,,
07/06/1985 09:00,0,(vco),,,0,(vco),,,0.2,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
08/06/1985 09:00,0,(vco),,,0,(vco),,,0.2,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
09/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
10/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
11/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
12/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
13/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
14/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
15/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
16/06/1985 09:00,1,(vco),,,0,(vco),,,2,(vco),,,,,,,0.3,(vco),,,3,(vco),,,0.6,(vco),,,
17/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
18/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
19/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
20/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
21/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
22/06/1985 09:00,0,(vco),,,0,(vco),,,5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
23/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
24/06/1985 09:00,0,(vco),,,0,(vco),,,1,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
25/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
26/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
27/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
28/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
29/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
30/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
01/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
02/07/1985 09:00,1,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,1.6,(vco),,,0,(vco),,,
03/07/1985 09:00,0,(vco),,,6.2,(vco),,,0,(vco),,,,,,,11,(vco),,,2,(vco),,,0.3,(vco),,,
04/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
05/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
06/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
07/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
08/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
09/07/1985 09:00,0,(vco),,,0,(vco),,,1.4,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
10/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
11/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
12/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
13/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
14/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0.2,(vco),,,0,(vco),,,0,(vco),,,
15/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
16/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
17/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
18/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
19/07/1985 09:00,0,(vco),,,0,(vco),,,2.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
20/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
21/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
22/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
23/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
24/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
25/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
26/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
27/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
28/07/1985 09:00,0,(vco),,,0,(vco),,,10.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
29/07/1985 09:00,1.5,(vco),,,0,(vco),,,5,(vco),,,,,,,3,(vco),,,6.5,(vco),,,0,(vco),,,
30/07/1985 09:00,0,(vco),,,0,(vco),,,4.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
31/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
01/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
02/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
03/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
04/08/1985 09:00,0,(vco),,,0,(vco),,,2,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
05/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
06/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
07/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
08/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
09/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
10/08/1985 09:00,1,(vco),,,0,(vco),,,4,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
11/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
12/08/1985 09:00,0,(vco),,,0,(vco),,,3.8,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
13/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
14/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
15/08/1985 09:00,0,(vco),,,0,(vco),,,2,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
16/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
17/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
18/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
19/08/1985 09:00,0,(vco),,,0,(vco),,,0.6,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
