SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,HERDADE DE VALADA (26M/01C),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,IDANHA-A-VELHA (14O/01UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,ISNA (14J/02UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,IZEDA (04Q/01UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),17.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/05/1985 09:00,,,0.2,(vco),15,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,6.6,(vco),,,,,
03/05/1985 09:00,,,1.4,(vco),14,(vau),,,,,13.6,(vco),,,,,,,0,(vco),,,,,,,4.5,(vco),,,,,
04/05/1985 09:00,,,1.9,(vco),16.5,(vau),,,,,2.2,(vco),,,,,,,4,(vco),,,,,,,0,(vco),,,,,
05/05/1985 09:00,,,0,(vco),13,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/05/1985 09:00,,,0,(vco),10,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,2.1,(vco),,,,,
07/05/1985 09:00,,,6.6,(vco),11,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/05/1985 09:00,,,0,(vco),12,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/05/1985 09:00,,,0,(vco),14,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/05/1985 09:00,,,0,(vco),16,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/05/1985 09:00,,,0,(vco),14,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/05/1985 09:00,,,0,(vco),12.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/05/1985 09:00,,,0,(vco),12.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/05/1985 09:00,,,0,(vco),11.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/05/1985 09:00,,,0,(vco),11,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/05/1985 09:00,,,2.5,(vco),11.5,(vau),,,,,4.6,(vco),,,,,,,0,(vco),,,,,,,7.5,(vco),,,,,
17/05/1985 09:00,,,0,(vco),14.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/05/1985 09:00,,,0,(vco),17,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/05/1985 09:00,,,0,(vco),16.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/05/1985 09:00,,,30.8,(vco),16,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/05/1985 09:00,,,0,(vco),14.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/05/1985 09:00,,,0,(vco),15.5,(vau),,,,,0,(vco),,,,,,,5,(vco),,,,,,,0,(vco),,,,,
23/05/1985 09:00,,,0,(vco),14,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/05/1985 09:00,,,0,(vco),13,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/05/1985 09:00,,,0,(vco),18.5,(vau),,,,,0,(vco),,,,,,,1,(vco),,,,,,,0,(vco),,,,,
26/05/1985 09:00,,,17,(vco),17,(vau),,,,,4.7,(vco),,,,,,,8.4,(vco),,,,,,,0,(vco),,,,,
27/05/1985 09:00,,,1.9,(vco),16,(vau),,,,,7,(vco),,,,,,,16.1,(vco),,,,,,,12.1,(vco),,,,,
28/05/1985 09:00,,,1.4,(vco),16,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/05/1985 09:00,,,0.3,(vco),19,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/05/1985 09:00,,,0,(vco),19,(vau),,,,,6,(vco),,,,,,,12.4,(vco),,,,,,,8.5,(vco),,,,,
31/05/1985 09:00,,,0.4,(vco),20,(vau),,,,,13.2,(vco),,,,,,,9.1,(vco),,,,,,,44.8,(vco),,,,,
01/06/1985 09:00,,,0,(vco),16.5,(vau),,,,,27.2,(vco),,,,,,,0,(vco),,,,,,,25.4,(vco),,,,,
02/06/1985 09:00,,,14.2,(vco),18,(vau),,,,,21.1,(vco),,,,,,,0,(vco),,,,,,,3.5,(vco),,,,,
03/06/1985 09:00,,,0.2,(vco),16,(vau),,,,,4.3,(vco),,,,,,,0,(vco),,,,,,,11,(vco),,,,,
04/06/1985 09:00,,,0,(vco),17.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/06/1985 09:00,,,4.5,(vco),19,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/06/1985 09:00,,,0,(vco),19.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/06/1985 09:00,,,0,(vco),18,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/06/1985 09:00,,,0,(vco),18,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/06/1985 09:00,,,0,(vco),20,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/06/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/06/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/06/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/06/1985 09:00,,,0,(vco),18.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/06/1985 09:00,,,0,(vco),18.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/06/1985 09:00,,,0,(vco),20.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/06/1985 09:00,,,1.2,(vco),23,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/06/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/06/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/06/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/06/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/06/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/06/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/06/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/06/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/06/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/06/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/06/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/06/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/06/1985 09:00,,,0,(vco),24.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/06/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/07/1985 09:00,,,0,(vco),23,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/07/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/07/1985 09:00,,,0,(vco),19.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/07/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/07/1985 09:00,,,0,(vco),28.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/07/1985 09:00,,,0,(vco),27,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/07/1985 09:00,,,0,(vco),27,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/07/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/07/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/07/1985 09:00,,,0,(vco),23,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/07/1985 09:00,,,0,(vco),25,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/07/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/07/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/07/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/07/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/07/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/07/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/07/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/07/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/07/1985 09:00,,,0,(vco),25.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/07/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/07/1985 09:00,,,0,(vco),27.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/07/1985 09:00,,,0,(vco),27,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/07/1985 09:00,,,0,(vco),28.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/07/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/07/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/07/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/07/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/07/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,2.1,(vco),,,,,,,4.2,(vco),,,,,
30/07/1985 09:00,,,0,(vco),25,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
31/07/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
01/08/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/08/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
03/08/1985 09:00,,,0,(vco),29.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
04/08/1985 09:00,,,0,(vco),31,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/08/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/08/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/08/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/08/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/08/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/08/1985 09:00,,,0,(vco),22.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/08/1985 09:00,,,0,(vco),21.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/08/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/08/1985 09:00,,,0,(vco),23,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/08/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/08/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/08/1985 09:00,,,0,(vco),23.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
17/08/1985 09:00,,,0,(vco),24,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/08/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/08/1985 09:00,,,0,(vco),25,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/08/1985 09:00,,,0,(vco),26.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/08/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/08/1985 09:00,,,0,(vco),27.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/08/1985 09:00,,,0,(vco),26,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/08/1985 09:00,,,0,(vco),22,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/08/1985 09:00,,,0,(vco),20,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/08/1985 09:00,,,0,(vco),21,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/08/1985 09:00,,,0,(vco),25,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/08/1985 09:00,,,0,(vco),27.5,(vau),,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
