SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,LAMAS DE ALVADIA (05K/02UG),,LAMAS DE ALVADIA (05K/02UG),,LAMAS DE ALVADIA (05K/02UG),,LAMAS DE ALVADIA (05K/02UG),,LAMAS DE OLO (05K/03UG),,LAMAS DE OLO (05K/03UG),,LAMAS DE OLO (05K/03UG),,LAMAS DE OLO (05K/03UG),,LAMAS DE ORELHÃO (05N/04UG),,LAMAS DE ORELHÃO (05N/04UG),,LAMAS DE ORELHÃO (05N/04UG),,LAMAS DE ORELHÃO (05N/04UG),,LAMAS DE PODENCE (04P/05UG),,LAMAS DE PODENCE (04P/05UG),,LAMAS DE PODENCE (04P/05UG),,LAMAS DE PODENCE (04P/05UG),,LAMOSO (06G/02UG),,LAMOSO (06G/02UG),,LAMOSO (06G/02UG),,LAMOSO (06G/02UG),,LAPA (08L/06UG),,LAPA (08L/06UG),,LAPA (08L/06UG),,LAPA (08L/06UG),,LARANJAL (PONTE SÔR) (18I/01C),,LARANJAL (PONTE SÔR) (18I/01C),,LARANJAL (PONTE SÔR) (18I/01C),,LARANJAL (PONTE SÔR) (18I/01C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,64,(vco),0,(vco),20.5,(vau),,,
02/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,2.6,(vco),,,,,,,4.5,(vco),,,,,,,0,(vco),,,,,80,(vco),0.5,(vco),17.3,(vau),,,
03/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,20.2,(vco),,,,,89,(vco),2,(vco),17.2,(vau),,,
04/05/1985 09:00,,,0,(vco),,,,,,,25,(vco),,,,,,,0,(vco),,,,,,,4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,80,(vco),0.7,(vco),18.3,(vau),,,
05/05/1985 09:00,,,0,(vco),,,,,,,37,(vco),,,,,,,0,(vco),,,,,,,3.1,(vco),,,,,,,3,(vco),,,,,,,0,(vco),,,,,78,(vco),0.2,(vco),13.6,(vau),,,
06/05/1985 09:00,,,7.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,6.8,(vco),,,,,,,0,(vco),,,,,87,(vco),1.2,(vco),10,(vau),,,
07/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,63,(vco),12.3,(vco),11.8,(vau),,,
08/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,66,(vco),0,(vco),13.4,(vau),,,
09/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,78,(vco),0,(vco),15.7,(vau),,,
10/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,68,(vco),0,(vco),15.6,(vau),,,
11/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,55,(vco),0,(vco),14.6,(vau),,,
12/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,67,(vco),0,(vco),15.4,(vau),,,
13/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,67,(vco),0,(vco),15.4,(vau),,,
14/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,66,(vco),0,(vco),13.5,(vau),,,
15/05/1985 09:00,,,3.2,(vco),,,,,,,1.9,(vco),,,,,,,0,(vco),,,,,,,1,(vco),,,,,,,11,(vco),,,,,,,0,(vco),,,,,78,(vco),0,(vco),12.5,(vau),,,
16/05/1985 09:00,,,4.2,(vco),,,,,,,0,(vco),,,,,,,4.5,(vco),,,,,,,14,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,67,(vco),2.3,(vco),13.2,(vau),,,
17/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,69,(vco),0,(vco),15.9,(vau),,,
18/05/1985 09:00,,,0,(vco),,,,,,,12,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,5,(vco),,,,,,,0,(vco),,,,,56,(vco),0,(vco),17,(vau),,,
19/05/1985 09:00,,,0,(vco),,,,,,,9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,56,(vco),0,(vco),18.7,(vau),,,
20/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,68,(vco),0,(vco),15.7,(vau),,,
