SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,MARIANOS (18G/03UC),,MARIANOS (18G/03UC),,MARIANOS (18G/03UC),,MARIANOS (18G/03UC),,MARMELETE (30E/02UG),,MARMELETE (30E/02UG),,MARMELETE (30E/02UG),,MARMELETE (30E/02UG),,MARTIM LONGO (29K/01C),,MARTIM LONGO (29K/01C),,MARTIM LONGO (29K/01C),,MARTIM LONGO (29K/01C),,MATA (14M/02UG),,MATA (14M/02UG),,MATA (14M/02UG),,MATA (14M/02UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
02/05/1985 09:00,,,0,(vco),,,,,,,3.7,(vco),,,,,,,0.8,(vco),,,,,,,0.2,(vco),,,,,
03/05/1985 09:00,,,4.6,(vco),,,,,,,1.8,(vco),,,,,,,3.8,(vco),,,,,,,8.2,(vco),,,,,
04/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
05/05/1985 09:00,,,1.4,(vco),,,,,,,2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
06/05/1985 09:00,,,2.3,(vco),,,,,,,1.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
07/05/1985 09:00,,,18.3,(vco),,,,,,,8.5,(vco),,,,,,,2.2,(vco),,,,,,,1.7,(vco),,,,,
08/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/05/1985 09:00,,,0.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0.1,(vco),,,,,
16/05/1985 09:00,,,2,(vco),,,,,,,3.6,(vco),,,,,,,2.6,(vco),,,,,,,3.8,(vco),,,,,
17/05/1985 09:00,,,0,(vco),,,,,,,2.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
20/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,5.6,(vco),,,,,,,0,(vco),,,,,
21/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/05/1985 09:00,,,3.1,(vco),,,,,,,9.6,(vco),,,,,,,10.2,(vco),,,,,,,7.6,(vco),,,,,
27/05/1985 09:00,,,3,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,11.7,(vco),,,,,
28/05/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/05/1985 09:00,,,0.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/05/1985 09:00,,,18.9,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,6,(vco),,,,,
31/05/1985 09:00,,,0,(vco),,,,,,,1.1,(vco),,,,,,,0,(vco),,,,,,,13.2,(vco),,,,,
01/06/1985 09:00,,,0,(vco),,,,,,,8,(vco),,,,,,,0,(vco),,,,,,,19.2,(vco),,,,,
02/06/1985 09:00,,,0.1,(vco),,,,,,,30.2,(vco),,,,,,,1.6,(vco),,,,,,,6,(vco),,,,,
03/06/1985 09:00,,,8,(vco),,,,,,,0.8,(vco),,,,,,,0,(vco),,,,,,,1.7,(vco),,,,,
04/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0.3,(vco),,,,,
05/06/1985 09:00,,,3.1,(vco),,,,,,,1.7,(vco),,,,,,,1.8,(vco),,,,,,,0,(vco),,,,,
06/06/1985 09:00,,,2.3,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,
07/06/1985 09:00,,,10.1,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
08/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
09/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
10/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
11/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
12/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
13/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
14/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
15/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
16/06/1985 09:00,,,0,(vco),,,,,,,0.8,(vco),,,,,,,0,(vco),,,,,,,0.3,(vco),,,,,
17/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
18/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
19/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,6.8,(vco),,,,,,,0,(vco),,,,,
20/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
21/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
22/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
23/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
24/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
25/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
26/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
27/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
28/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
29/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
30/06/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,
