SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,MUGE (19E/01UG),,MUGE (19E/01UG),,MURES ASSECA (TERRUGEM) (20M/04G),,MURES ASSECA (TERRUGEM) (20M/04G),,MURÇA (05M/03U),,MURÇA (05M/03U),,MÉRTOLA (28L/01UG),,MÉRTOLA (28L/01UG),,NISA (16L/03UG),,NISA (16L/03UG),,NOGUEIRA (03E/02UG),,NOGUEIRA (03E/02UG),,ODEMIRA (28F/01UG),,ODEMIRA (28F/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.5,(vco),,,0.2,(vco),,,0,(vco),,,
03/05/1985 09:00,0,(vco),,,,,,,,,,,3.2,(vco),,,1.9,(vco),,,0,(vco),,,2.3,(vco),,,
04/05/1985 09:00,8.6,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,2,(vco),,,
05/05/1985 09:00,10.2,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
06/05/1985 09:00,8.1,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,15,(vco),,,2,(vco),,,
07/05/1985 09:00,6.7,(vco),,,,,,,,,,,1.2,(vco),,,7.9,(vco),,,3,(vco),,,4,(vco),,,
08/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
09/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/05/1985 09:00,0.3,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,10.5,(vco),,,0,(vco),,,
16/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,1.2,(vco),,,3.6,(vco),,,1,(vco),,,
17/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0.5,(vco),,,
18/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/05/1985 09:00,0,(vco),,,,,,,,,,,6.1,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/05/1985 09:00,3.1,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/05/1985 09:00,0.6,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,11.3,(vco),,,3,(vco),,,
27/05/1985 09:00,0.2,(vco),,,,,,,,,,,7.4,(vco),,,2.1,(vco),,,8.3,(vco),,,0,(vco),,,
28/05/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/05/1985 09:00,0.3,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/05/1985 09:00,7.9,(vco),,,,,,,,,,,0,(vco),,,5.3,(vco),,,1.6,(vco),,,0,(vco),,,
31/05/1985 09:00,0,(vco),,,,,,,,,,,0.2,(vco),,,2.9,(vco),,,0,(vco),,,0,(vco),,,
01/06/1985 09:00,0,(vco),,,,,,,,,,,0.3,(vco),,,1,(vco),,,4.5,(vco),,,0.3,(vco),,,
02/06/1985 09:00,4.2,(vco),,,,,,,,,,,9.1,(vco),,,0,(vco),,,8,(vco),,,0.5,(vco),,,
03/06/1985 09:00,13,(vco),,,,,,,,,,,0,(vco),,,6.1,(vco),,,19,(vco),,,0,(vco),,,
04/06/1985 09:00,0.3,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4,(vco),,,0,(vco),,,
05/06/1985 09:00,0.2,(vco),,,,,,,,,,,2,(vco),,,0,(vco),,,24.6,(vco),,,0,(vco),,,
06/06/1985 09:00,0.3,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0.3,(vco),,,1.7,(vco),,,
07/06/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,2.2,(vco),,,0,(vco),,,
