SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
02/05/1985 09:00,1.2,,,,0,,,,1.2,,,,0.2,,,,,,,,0,,,,0,,,,
03/05/1985 09:00,0.7,,,,0,,,,5.3,,,,0,,,,,,,,0,,,,5.1,,,,
04/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,2.5,,,,
05/05/1985 09:00,1.5,,,,0,,,,2.1,,,,0,,,,,,,,3,,,,0,,,,
06/05/1985 09:00,4,,,,8,,,,4.5,,,,3.8,,,,,,,,7,,,,2.3,,,,
07/05/1985 09:00,16,,,,0,,,,5.7,,,,0,,,,,,,,2,,,,1.5,,,,
08/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
09/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
10/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
11/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
12/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
13/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
14/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,1,,,,
15/05/1985 09:00,0,,,,16,,,,0,,,,0.2,,,,,,,,0,,,,2.3,,,,
16/05/1985 09:00,1,,,,11,,,,0,,,,9.1,,,,,,,,0,,,,3.2,,,,
17/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
18/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
19/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
20/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
21/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
22/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
23/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
24/05/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
25/05/1985 09:00,0,,,,4,,,,1.2,,,,0,,,,,,,,0,,,,0,,,,
26/05/1985 09:00,24,,,,8,,,,11.1,,,,9,,,,,,,,20.5,,,,2.5,,,,
27/05/1985 09:00,2.4,,,,43,,,,0,,,,0.8,,,,,,,,3,,,,0,,,,
28/05/1985 09:00,0,,,,0,,,,0,,,,8.1,,,,,,,,21,,,,0,,,,
29/05/1985 09:00,2.5,,,,0,,,,0,,,,19.8,,,,,,,,0,,,,0,,,,
30/05/1985 09:00,9.8,,,,2,,,,0,,,,13.2,,,,,,,,1,,,,3.8,,,,
31/05/1985 09:00,0,,,,15,,,,0,,,,24.5,,,,,,,,0,,,,2.1,,,,
01/06/1985 09:00,0,,,,5,,,,0,,,,16.2,,,,,,,,3,,,,2,,,,
02/06/1985 09:00,10,,,,6,,,,0,,,,7.3,,,,,,,,10.5,,,,2.2,,,,
03/06/1985 09:00,0,,,,9,,,,0,,,,12.8,,,,,,,,11,,,,2.3,,,,
04/06/1985 09:00,3.2,,,,15,,,,0,,,,0.6,,,,,,,,0,,,,3.1,,,,
05/06/1985 09:00,1.8,,,,10,,,,4.2,,,,0,,,,,,,,26,,,,1.8,,,,
06/06/1985 09:00,2.5,,,,20,,,,0,,,,0,,,,,,,,1.5,,,,2.5,,,,
07/06/1985 09:00,1,,,,10,,,,0,,,,0,,,,,,,,0,,,,0,,,,
08/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
09/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
10/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
11/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
12/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
13/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
14/06/1985 09:00,3,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
15/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
16/06/1985 09:00,0,,,,3,,,,5.1,,,,0,,,,,,,,0,,,,1.2,,,,
17/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
18/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
19/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
20/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
21/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
22/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
23/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,3,,,,0,,,,
24/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
25/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
26/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
27/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
28/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
29/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
30/06/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
01/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
02/07/1985 09:00,0,,,,2,,,,0,,,,0.2,,,,,,,,0,,,,0,,,,
03/07/1985 09:00,0,,,,3,,,,0,,,,0,,,,,,,,0,,,,0,,,,
04/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
05/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
06/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
07/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
08/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
09/07/1985 09:00,0,,,,0,,,,4.2,,,,0,,,,,,,,0,,,,0,,,,
10/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
11/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
12/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
13/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
14/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
15/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
16/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
17/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,2,,,,0,,,,
18/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
19/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
20/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
21/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
22/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
23/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
24/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
25/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
26/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
27/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,5.5,,,,0,,,,
28/07/1985 09:00,0,,,,8,,,,0,,,,0,,,,,,,,28,,,,0,,,,
29/07/1985 09:00,0,,,,5,,,,0,,,,0.5,,,,,,,,0,,,,0,,,,
30/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,1.8,,,,
31/07/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
01/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
02/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
03/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
04/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
05/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
06/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
07/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
08/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
09/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,9,,,,0,,,,
10/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,2,,,,0,,,,
11/08/1985 09:00,0,,,,2,,,,0,,,,0,,,,,,,,0,,,,0,,,,
12/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
13/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
14/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
15/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
16/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
17/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
18/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
19/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
20/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
21/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
22/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
23/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
24/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
25/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
26/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
27/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
28/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
29/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
30/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
31/08/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
01/09/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
02/09/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
03/09/1985 09:00,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,
