SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PENHAS JUNTAS (03O/02G),,PENHAS JUNTAS (03O/02G),,PENHAS JUNTAS (03O/02G),,PENHAS JUNTAS (03O/02G),,PENILHOS (28J/02UG),,PENILHOS (28J/02UG),,PENILHOS (28J/02UG),,PENILHOS (28J/02UG),,PEREDO (05P/02U),,PEREDO (05P/02U),,PEREDO (05P/02U),,PEREDO (05P/02U),,PEREIRO (29L/01UG),,PEREIRO (29L/01UG),,PEREIRO (29L/01UG),,PEREIRO (29L/01UG),,PEREIRO DA PALHACANA (19C/11U),,PEREIRO DA PALHACANA (19C/11U),,PEREIRO DA PALHACANA (19C/11U),,PEREIRO DA PALHACANA (19C/11U),,PERNES (17F/01UG),,PERNES (17F/01UG),,PERNES (17F/01UG),,PERNES (17F/01UG),,PICOTA (30K/02C),,PICOTA (30K/02C),,PICOTA (30K/02C),,PICOTA (30K/02C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),15.5,(vau),,,
02/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,7,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0.3,(vco),17,(vau),,,
03/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,4.4,(vco),16.5,(vau),,,
04/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0.9,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,4,(vco),18,(vau),,,
05/05/1985 09:00,,,,,,,,,,,,,,,,,,,7.2,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),15.5,(vau),,,
06/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,3,(vco),,,,,,,0,(vco),14,(vau),,,
07/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,1.5,(vco),,,,,,,,,,,,,,,14.5,(vco),,,,,,,1.3,(vco),15,(vau),,,
08/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),16,(vau),,,
09/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),16.75,(vau),,,
10/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),17.25,(vau),,,
11/05/1985 09:00,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),17,(vau),,,
