SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE SABOR (06O/02UG),,PONTE SABOR (06O/02UG),,PONTE SÔR (18I/02U),,PONTE SÔR (18I/02U),,PONTÉVEL (19E/03UG),,PONTÉVEL (19E/03UG),,PORCHES (31G/02UG),,PORCHES (31G/02UG),,PORRAIS (05Q/05G),,PORRAIS (05Q/05G),,PORTA COVA (02G/02U),,PORTA COVA (02G/02U),,PORTEL (24K/01UG),,PORTEL (24K/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
02/05/1985 09:00,,,,,,,,,1.2,(vco),,,3,(vco),,,,,,,,,,,0,(vco),,,
03/05/1985 09:00,,,,,,,,,4,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
04/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,2.8,(vco),,,
05/05/1985 09:00,,,,,,,,,1.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
06/05/1985 09:00,,,,,,,,,3.3,(vco),,,5,(vco),,,,,,,,,,,0,(vco),,,
07/05/1985 09:00,,,,,,,,,30,(vco),,,0,(vco),,,,,,,,,,,19.5,(vco),,,
08/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
09/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
10/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
11/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
12/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
13/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
14/05/1985 09:00,,,,,,,,,0.2,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
15/05/1985 09:00,,,,,,,,,0.4,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
16/05/1985 09:00,,,,,,,,,0.9,(vco),,,0,(vco),,,,,,,,,,,0.6,(vco),,,
17/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
18/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
19/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
20/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,5.4,(vco),,,
21/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
22/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
23/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
24/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
25/05/1985 09:00,,,,,,,,,0,(vco),,,4,(vco),,,,,,,,,,,0,(vco),,,
26/05/1985 09:00,,,,,,,,,8.5,(vco),,,0,(vco),,,,,,,,,,,4,(vco),,,
27/05/1985 09:00,,,,,,,,,0.5,(vco),,,0,(vco),,,,,,,,,,,0.5,(vco),,,
28/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
29/05/1985 09:00,,,,,,,,,0.6,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
30/05/1985 09:00,,,,,,,,,6.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
31/05/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
01/06/1985 09:00,,,,,,,,,1.1,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
02/06/1985 09:00,,,,,,,,,0.6,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
03/06/1985 09:00,,,,,,,,,0.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
04/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
05/06/1985 09:00,,,,,,,,,3.7,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
06/06/1985 09:00,,,,,,,,,0.6,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
07/06/1985 09:00,,,,,,,,,2.7,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
08/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
09/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
10/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
11/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
12/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
13/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
14/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
15/06/1985 09:00,,,,,,,,,0.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
16/06/1985 09:00,,,,,,,,,0.3,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
17/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
