SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PORTELA DO HOMEM (03I/01G),,PORTELA DO HOMEM (03I/01G),,PORTELA DO VADE (03G/03UG),,PORTELA DO VADE (03G/03UG),,PORTELINHA (01H/02G),,PORTELINHA (01H/02G),,PORTO CARRO (16D/02U),,PORTO CARRO (16D/02U),,PORTO CHÃO (02H/06U),,PORTO CHÃO (02H/06U),,PORTO DE MÓS (16E/03UG),,PORTO DE MÓS (16E/03UG),,POÇO DE BOLIQUEIME (31I/03U),,POÇO DE BOLIQUEIME (31I/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
03/05/1985 09:00,2.6,(vco),,,,,,,1,(vco),,,,,,,,,,,2,(vco),,,,,,,
04/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
05/05/1985 09:00,4.2,(vco),,,,,,,7.8,(vco),,,,,,,,,,,1,(vco),,,,,,,
06/05/1985 09:00,8.6,(vco),,,,,,,11.9,(vco),,,,,,,,,,,9.9,(vco),,,,,,,
07/05/1985 09:00,1,(vco),,,,,,,4,(vco),,,,,,,,,,,17.3,(vco),,,,,,,
08/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
11/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
12/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
13/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
14/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,3.7,(vco),,,,,,,
15/05/1985 09:00,15.2,(vco),,,,,,,3,(vco),,,,,,,,,,,1.1,(vco),,,,,,,
16/05/1985 09:00,4,(vco),,,,,,,5,(vco),,,,,,,,,,,5.7,(vco),,,,,,,
17/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
18/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
19/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
20/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
21/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
22/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
23/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
24/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.1,(vco),,,,,,,
26/05/1985 09:00,5,(vco),,,,,,,6.1,(vco),,,,,,,,,,,23.1,(vco),,,,,,,
27/05/1985 09:00,58,(vco),,,,,,,16.9,(vco),,,,,,,,,,,5.4,(vco),,,,,,,
28/05/1985 09:00,7.5,(vco),,,,,,,1.4,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/05/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.2,(vco),,,,,,,
30/05/1985 09:00,1.2,(vco),,,,,,,1,(vco),,,,,,,,,,,6.3,(vco),,,,,,,
31/05/1985 09:00,4.7,(vco),,,,,,,1.2,(vco),,,,,,,,,,,0,(vco),,,,,,,
01/06/1985 09:00,22.5,(vco),,,,,,,8.1,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/06/1985 09:00,17.5,(vco),,,,,,,12.6,(vco),,,,,,,,,,,12.6,(vco),,,,,,,
03/06/1985 09:00,15,(vco),,,,,,,5.2,(vco),,,,,,,,,,,2.6,(vco),,,,,,,
04/06/1985 09:00,10.5,(vco),,,,,,,2,(vco),,,,,,,,,,,0,(vco),,,,,,,
05/06/1985 09:00,19.8,(vco),,,,,,,10.8,(vco),,,,,,,,,,,5.5,(vco),,,,,,,
06/06/1985 09:00,50.2,(vco),,,,,,,18.5,(vco),,,,,,,,,,,0.3,(vco),,,,,,,
07/06/1985 09:00,0,(vco),,,,,,,1,(vco),,,,,,,,,,,0,(vco),,,,,,,
08/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
11/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
12/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
13/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
14/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
15/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
16/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.9,(vco),,,,,,,
