SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ROSMANINHAL (15O/01UG),,ROSMANINHAL (15O/01UG),,ROSÁRIO (ALMODÔVAR) (28I/02U),,ROSÁRIO (ALMODÔVAR) (28I/02U),,ROSÁRIO (CAPELINS) (22M/03UG),,ROSÁRIO (CAPELINS) (22M/03UG),,SABÓIA (29G/01UG),,SABÓIA (29G/01UG),,SACAVÉM DE CIMA (21C/01U),,SACAVÉM DE CIMA (21C/01U),,SALAMONDE (03I/09UG),,SALAMONDE (03I/09UG),,SALIR (30I/03UG),,SALIR (30I/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/05/1985 09:00,0.3,(vco),,,0,(vco),,,0.6,(vco),,,5,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/05/1985 09:00,8,(vco),,,2,(vco),,,5.6,(vco),,,4.2,(vco),,,22,(vco),,,,,,,0,(vco),,,
04/05/1985 09:00,0,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
06/05/1985 09:00,0,(vco),,,0,(vco),,,0.1,(vco),,,3,(vco),,,1,(vco),,,,,,,0,(vco),,,
07/05/1985 09:00,2,(vco),,,6,(vco),,,15.7,(vco),,,5,(vco),,,5.9,(vco),,,,,,,0,(vco),,,
08/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/05/1985 09:00,3.1,(vco),,,2,(vco),,,1.2,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0.5,(vco),,,,,,,0,(vco),,,
18/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/05/1985 09:00,0,(vco),,,4.2,(vco),,,3.7,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0.2,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/05/1985 09:00,3,(vco),,,6.2,(vco),,,5.7,(vco),,,6,(vco),,,4.2,(vco),,,,,,,0,(vco),,,
27/05/1985 09:00,9.1,(vco),,,5,(vco),,,3.2,(vco),,,2,(vco),,,1.5,(vco),,,,,,,0,(vco),,,
28/05/1985 09:00,3,(vco),,,0,(vco),,,0.3,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/05/1985 09:00,0,(vco),,,0,(vco),,,0.6,(vco),,,0,(vco),,,3,(vco),,,,,,,0,(vco),,,
30/05/1985 09:00,0,(vco),,,0,(vco),,,0.2,(vco),,,0,(vco),,,11.5,(vco),,,,,,,0,(vco),,,
31/05/1985 09:00,7.8,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/06/1985 09:00,13.4,(vco),,,0,(vco),,,0,(vco),,,2,(vco),,,0.9,(vco),,,,,,,0,(vco),,,
02/06/1985 09:00,6,(vco),,,0,(vco),,,8.2,(vco),,,16.3,(vco),,,2,(vco),,,,,,,0,(vco),,,
03/06/1985 09:00,7.5,(vco),,,0,(vco),,,0.1,(vco),,,0,(vco),,,0.5,(vco),,,,,,,2.1,(vco),,,
04/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/06/1985 09:00,0,(vco),,,0,(vco),,,0.1,(vco),,,0,(vco),,,4.3,(vco),,,,,,,0,(vco),,,
06/06/1985 09:00,0,(vco),,,0,(vco),,,0.1,(vco),,,0,(vco),,,0.5,(vco),,,,,,,0,(vco),,,
07/06/1985 09:00,0,(vco),,,1,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,3,(vco),,,,,,,0,(vco),,,
15/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/06/1985 09:00,0,(vco),,,2.1,(vco),,,0.5,(vco),,,1,(vco),,,0.5,(vco),,,,,,,0,(vco),,,
17/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,3.4,(vco),,,
04/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,3,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
06/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
07/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
31/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
04/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
06/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
07/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
