SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SARZEDO (07L/13U),,SARZEDO (07L/13U),,SEDA (19K/01UG),,SEDA (19K/01UG),,SEIA (11K/01UG),,SEIA (11K/01UG),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SENDAS (04P/03UG),,SENDAS (04P/03UG),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
02/05/1985 09:00,11,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
03/05/1985 09:00,1.4,(vco),,,0,(vco),,,7,(vco),,,,,,,,,,,,,,,,,,,
04/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
05/05/1985 09:00,1.5,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
06/05/1985 09:00,2.8,(vco),,,0,(vco),,,4.1,(vco),,,,,,,,,,,,,,,,,,,
07/05/1985 09:00,0,(vco),,,11,(vco),,,0.8,(vco),,,,,,,,,,,,,,,,,,,
08/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
09/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
10/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
11/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
12/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
13/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
14/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
15/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
16/05/1985 09:00,3.8,(vco),,,3.5,(vco),,,9,(vco),,,,,,,,,,,,,,,,,,,
17/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
18/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
19/05/1985 09:00,2.6,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
20/05/1985 09:00,0.2,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
21/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
22/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
23/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
24/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
25/05/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
26/05/1985 09:00,4.5,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
27/05/1985 09:00,11.6,(vco),,,0,(vco),,,16.3,(vco),,,,,,,,,,,,,,,,,,,
28/05/1985 09:00,3,(vco),,,2,(vco),,,1.8,(vco),,,,,,,,,,,,,,,,,,,
29/05/1985 09:00,0,(vco),,,2.5,(vco),,,2.6,(vco),,,,,,,,,,,,,,,,,,,
30/05/1985 09:00,5.5,(vco),,,0,(vco),,,5.4,(vco),,,,,,,,,,,,,,,,,,,
31/05/1985 09:00,22.5,(vco),,,0,(vco),,,14.2,(vco),,,,,,,,,,,,,,,,,,,
01/06/1985 09:00,31.4,(vco),,,9.5,(vco),,,7.3,(vco),,,,,,,,,,,,,,,,,,,
02/06/1985 09:00,2.7,(vco),,,7,(vco),,,7.4,(vco),,,,,,,,,,,,,,,,,,,
03/06/1985 09:00,6.6,(vco),,,2,(vco),,,1.7,(vco),,,,,,,,,,,,,,,,,,,
04/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
05/06/1985 09:00,1.7,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
06/06/1985 09:00,6.7,(vco),,,0,(vco),,,9.7,(vco),,,,,,,,,,,,,,,,,,,
07/06/1985 09:00,1.8,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
08/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
09/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
10/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
11/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
12/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
13/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
14/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
15/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
16/06/1985 09:00,2.6,(vco),,,0,(vco),,,1.3,(vco),,,,,,,,,,,,,,,,,,,
