SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SOUTO (03G/01U),,SOUTO (03G/01U),,SOUTO (03G/01U),,SOUTO (03G/01U),,SÁTÃO (09K/01G),,SÁTÃO (09K/01G),,SÁTÃO (09K/01G),,SÁTÃO (09K/01G),,SÃO BARNABÉ (29I/01UG),,SÃO BARNABÉ (29I/01UG),,SÃO BARNABÉ (29I/01UG),,SÃO BARNABÉ (29I/01UG),,SÃO BARTOLOMEU DE MESSINES (30H/03UG),,SÃO BARTOLOMEU DE MESSINES (30H/03UG),,SÃO BARTOLOMEU DE MESSINES (30H/03UG),,SÃO BARTOLOMEU DE MESSINES (30H/03UG),,SÃO BENTO DA PORTA ABERTA (03H/03UG),,SÃO BENTO DA PORTA ABERTA (03H/03UG),,SÃO BENTO DA PORTA ABERTA (03H/03UG),,SÃO BENTO DA PORTA ABERTA (03H/03UG),,SÃO BENTO DE ANA LOURA (20M/03U),,SÃO BENTO DE ANA LOURA (20M/03U),,SÃO BENTO DE ANA LOURA (20M/03U),,SÃO BENTO DE ANA LOURA (20M/03U),,SÃO BRÁS DE ALPORTEL (31J/01C),,SÃO BRÁS DE ALPORTEL (31J/01C),,SÃO BRÁS DE ALPORTEL (31J/01C),,SÃO BRÁS DE ALPORTEL (31J/01C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,69,(vco),0,(vco),18.5,(vau),,,
02/05/1985 09:00,,,,,,,,,,,7,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,78,(vco),0.5,(vco),16.05,(vau),,,
03/05/1985 09:00,,,,,,,,,,,1.6,(vco),,,,,,,4,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,,,,,,,,,82,(vco),2.4,(vco),14.35,(vau),,,
04/05/1985 09:00,,,,,,,,,,,0.4,(vco),,,,,,,2,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,88,(vco),2.5,(vco),15.4,(vau),,,
05/05/1985 09:00,,,,,,,,,,,2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,87,(vco),0,(vco),15.4,(vau),,,
06/05/1985 09:00,,,,,,,,,,,1.4,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,86,(vco),0.1,(vco),11.95,(vau),,,
07/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,7,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,78,(vco),5.7,(vco),10.45,(vau),,,
08/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,79,(vco),0,(vco),12.25,(vau),,,
09/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,94,(vco),0,(vco),14,(vau),,,
