SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SÃO VICENTE DE CHÃ (03K/03UG),,SÃO VICENTE DE CHÃ (03K/03UG),,TABUAÇO (07L/09G),,TABUAÇO (07L/09G),,TAIPAS (05G/04UG),,TAIPAS (05G/04UG),,TAMANHOS (09N/01UG),,TAMANHOS (09N/01UG),,TAMEL (04F/02UG),,TAMEL (04F/02UG),,TAROUCA (07K/08U),,TAROUCA (07K/08U),,TAVEIRO (12G/03U),,TAVEIRO (12G/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,9.5,(vco),,,0,(vco),,,
02/05/1985 09:00,,,,,,,,,,,,,13.8,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/05/1985 09:00,,,,,,,,,,,,,12,(vco),,,,,,,0,(vco),,,0,(vco),,,
04/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
05/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,3.5,(vco),,,0.9,(vco),,,
06/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,10.2,(vco),,,
07/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,8.7,(vco),,,
08/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/05/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
