SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
01/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/05/1985 09:00,,,0.9,(vco),,,,,,,,,,,,,,,0.3,(vco),,,,,
03/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,3.6,(vco),,,,,
04/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0.4,(vco),,,,,
05/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/05/1985 09:00,,,5.1,(vco),,,,,,,,,,,,,,,2,(vco),,,,,
07/05/1985 09:00,,,0.4,(vco),,,,,,,,,,,,,,,4,(vco),,,,,
08/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/05/1985 09:00,,,6.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/05/1985 09:00,,,9.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/05/1985 09:00,,,11.9,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/05/1985 09:00,,,10.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/05/1985 09:00,,,0.6,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/05/1985 09:00,,,7,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/05/1985 09:00,,,9,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/06/1985 09:00,,,7.1,(vco),,,,,,,,,,,,,,,0.7,(vco),,,,,
02/06/1985 09:00,,,21.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/06/1985 09:00,,,6.3,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,1.8,(vco),,,,,
06/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,3,(vco),,,,,
08/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/06/1985 09:00,,,21.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/06/1985 09:00,,,6.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,4,(vco),,,,,
17/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0.1,(vco),,,,,
19/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/06/1985 09:00,,,15.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
